date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_179,aVWAP_peak_173,aVWAP_peak_166,aVWAP_peak_154,aVWAP_peak_134,aVWAP_peak_126,aVWAP_peak_119,aVWAP_peak_100,aVWAP_peak_90,aVWAP_peak_66,aVWAP_peak_56,aVWAP_peak_40,aVWAP_peak_34,aVWAP_peak_16,aVWAP_valley_171,aVWAP_valley_161,aVWAP_valley_149,aVWAP_valley_145,aVWAP_valley_140,aVWAP_valley_129,aVWAP_valley_110,aVWAP_valley_102,aVWAP_valley_92,aVWAP_valley_78,aVWAP_valley_62,aVWAP_valley_44,aVWAP_valley_35,aVWAP_valley_27,aVWAP_valley_19,aVWAP_valley_4,aVWAP_OB_bull_176,aVWAP_OB_bull_110,aVWAP_OB_bear_66,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,6.86,6.98,6.655,6.9,4206854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,4206854.0,False,False,False,False
2022-01-07 00:00:00+00:00,6.37,7.015,6.29,6.74,4590011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4590011,-340000.8148148148,False,False,False,False,4235236.0,False,False,False,False
2022-01-14 00:00:00+00:00,6.57,6.705,6.19,6.31,5005454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,8.693132425383949,-71.73283106345987,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,415443,-284042.0137174211,False,False,False,False,4292289.185185185,False,False,False,False
2022-01-21 00:00:00+00:00,6.84,7.31,6.44,6.55,6337165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,20.977297632253972,-59.64505046182737,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6752608,237191.3206320175,False,False,False,False,4443761.46776406,False,False,False,False
2022-01-28 00:00:00+00:00,6.15,6.9,5.965,6.77,8833486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.338333333333333,,,,6.338333333333333,#000000,,6.338333333333333,,23.023988960233005,-57.38217034026215,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2080878,65482.48206668289,False,False,False,False,4768926.247929686,False,False,False,False
2022-02-04 00:00:00+00:00,6.22,6.86,6.15,6.17,8063784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.372534391847519,,,,6.372534391847519,#000000,,6.372534391847519,,25.454602660259575,-54.44386504279612,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5982906,503810.1500617434,False,False,False,False,5012989.785120079,False,False,False,False
2022-02-11 00:00:00+00:00,6.7,6.79,6.245,6.3,7607643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.436425452248425,,,,6.436425452248425,#000000,,6.436425452248425,,32.22635258922309,-47.18658025092296,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13590549,1473198.2130201326,False,False,False,False,5205186.319555629,False,False,False,False
2022-02-18 00:00:00+00:00,7.05,7.29,6.58,6.86,6564475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.549865677163215,,,,6.549865677163215,#000000,,6.549865677163215,,39.49557754699465,-39.48357632798706,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,20155024,2857037.1602038266,False,False,False,False,5305874.369958916,False,False,False,False
2022-02-25 00:00:00+00:00,7.06,7.45,6.7601,7.06,6668445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.645315734031858,,,,6.645315734031858,#000000,,6.645315734031858,,44.749555529471806,-33.73201396692608,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,26823469,4632328.4075961355,False,False,False,False,5406805.527739737,False,False,False,False
2022-03-04 00:00:00+00:00,7.46,7.48,6.91,7.1,7657477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.752939298938591,,,,6.752939298938591,#000000,,6.752939298938591,,50.66047816983104,-27.318357345227042,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,34480946,6843337.11814457,False,False,False,False,5573521.933092349,False,False,False,False
2022-03-11 00:00:00+00:00,7.69,7.89,7.32,7.52,10659066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.920351351097014,,,,6.920351351097014,#000000,,6.920351351097014,,55.865090795085564,-21.57629696353005,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45140012,9680127.85013386,False,False,False,False,5950228.901011434,False,False,False,False
2022-03-18 00:00:00+00:00,7.84,8.13,7.34,7.53,12460133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.074869500947603,,,,7.074869500947603,#000000,,7.074869500947603,,60.160720376144326,-16.675329502930808,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,57600145,13229758.750123944,False,False,False,False,6432444.0194550315,False,False,False,False
2022-03-25 00:00:00+00:00,7.72,8.07,7.605,7.9,6744850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.139707350946656,,,,7.139707350946656,#000000,,7.139707350946656,,62.15990318401221,-13.90270191148447,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,50855295,16016835.509374022,False,False,False,False,6455585.2031991035,False,False,False,False
2022-04-01 00:00:00+00:00,7.97,7.985,7.4188,7.62,7463657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1984940766106345,,,,7.1984940766106345,#000000,,7.1984940766106345,,64.57682991311484,-10.618553995835256,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,58318952,19150325.619790763,False,False,False,False,6530257.188147318,False,False,False,False
2022-04-08 00:00:00+00:00,7.91,8.1799,7.62,8.0,6434494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.249359892459611,,,,7.249359892459611,#000000,,7.249359892459611,,65.77082586016564,-8.432210607611708,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,51884458,21575076.16647293,False,False,False,False,6523163.6186549235,False,False,False,False
2022-04-15 00:00:00+00:00,8.2,8.24,7.67,7.99,5772914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2972376339423075,,,,7.2972376339423075,#000000,,7.2972376339423075,,67.6968185873029,-5.47360715328287,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,57657372,24247838.82080827,False,False,False,False,6467589.572828633,False,False,False,False
2022-04-22 00:00:00+00:00,7.46,8.36,7.32,8.23,8929746,,,,,,,,,,,,,,,7.713333333333334,,,,,,,,,,,,,,,,7.333012935554603,,,,7.523173134443969,#000000,,7.523173134443969,,63.94772458298344,-5.47360715328287,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,48727626,26061156.389637284,False,False,False,False,6649971.530396882,False,False,False,False
2022-04-29 00:00:00+00:00,6.22,7.32,6.22,7.17,9279761,,,,,,,,,,,,,,,7.139171858597454,,,,,,,,,,,,,,,,7.271797457188068,,,,7.205484657892761,#000000,,7.205484657892761,,56.47450536150334,-5.47360715328287,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,39447865,27052764.434849337,False,False,False,False,6844770.750367483,False,False,False,False
2022-05-06 00:00:00+00:00,5.77,6.44,5.75,6.09,8022280,,,,,,,,,,,,,,,6.7867094300514115,,,,,,,,,,,,,,,,7.186707568574332,,,,6.986708499312872,#000000,,6.986708499312872,,49.983261977212486,-5.47360715328287,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,31425585,27376677.069304943,False,False,False,False,6931993.657747669,False,False,False,False
2022-05-13 00:00:00+00:00,5.51,5.77,5.22,5.67,12738816,,,,,,,,,,,,,,,6.366106375105359,,,,,,,,,,,,,,,5.5,7.026240857875572,,,,6.2974490776603105,#000000,,6.2974490776603105,,44.748549139456784,-5.47360715328287,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18686769,26732980.175282355,False,False,False,False,7362128.646062656,False,False,False,False
2022-05-20 00:00:00+00:00,5.68,5.79,5.395,5.51,7555656,,,,,,,,,,,,,,,6.245212701928174,,,,,,,,,,,,,,,5.5452966443275775,6.951218036824037,,,,6.2472424610265955,#000000,,6.2472424610265955,,41.82243740779291,11.989753904928321,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,26242425,26696642.754891068,False,False,False,False,7376464.00561357,False,False,False,False
2022-05-27 00:00:00+00:00,5.76,5.85,5.56,5.8,8723136,,,,,,,,,,,,,,,6.162814972363046,,,,,,,,,,,,,,,5.5988171912722775,6.8798968344668205,,,,6.2138429993673805,#000000,,6.2138429993673805,,40.11711356794366,9.692861809513616,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,34965561,27309155.21749173,False,False,False,False,7476217.486679232,False,False,False,False
2022-06-03 00:00:00+00:00,5.96,6.2,5.51,5.82,6493297,,,,,,,,,,,,,,,6.134123825537118,,,,,,,,,,,,,,,5.652061017594455,6.838870688375791,,,,6.208351843835788,#000000,,6.208351843835788,,39.855738612030066,8.686990284559698,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,41458858,28357281.34952938,False,False,False,False,7403408.56174003,False,False,False,False
2022-06-10 00:00:00+00:00,5.9,6.06,5.43,6.04,6296172,,,,,,,,,,,,,,,6.102896256615925,,,,,,,,,,,,,,,5.67383871898052,6.798606072506742,,,,6.191780349367729,#000000,,6.191780349367729,,39.48420879072998,7.471535007307196,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,35162686,28861385.39771239,False,False,False,False,7321391.038648175,False,False,False,False
