date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_230,aVWAP_BoS_CHoCH_bull_269,aVWAP_BoS_CHoCH_bull_433,aVWAP_BoS_CHoCH_bull_523,aVWAP_BoS_CHoCH_bear_90,aVWAP_BoS_CHoCH_bear_242,aVWAP_BoS_CHoCH_bear_538,aVWAP_BoS_CHoCH_bear_649,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,4.77,4.82,4.52,4.52,1660266,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,4.66,4.82,4.53,4.8,3135733,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-05 00:00:00+00:00,4.86,5.31,4.81,5.0,6868252,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,22.222222222222264,-94.44444444444454,False,False,False,True,True,
2022-01-06 00:00:00+00:00,4.43,5.03,4.41,5.02,4141316,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,23.439221886828648,-91.47700956670349,False,False,False,True,True,
2022-01-07 00:00:00+00:00,4.64,4.69,4.365,4.4,2311174,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,30.36343413491819,-82.11100634534644,False,False,False,True,True,
2022-01-10 00:00:00+00:00,4.65,4.66,4.48,4.65,1622045,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,35.21747548774699,-74.23037913825472,False,False,False,True,True,
2022-01-11 00:00:00+00:00,4.71,4.81,4.44,4.64,1706048,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,39.88286820479482,-66.20064412033379,False,False,False,True,True,
2022-01-12 00:00:00+00:00,4.85,5.09,4.742,4.76,2232750,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,45.8127199904597,-56.870722487725544,False,False,False,True,True,
2022-01-13 00:00:00+00:00,4.64,5.015,4.5968,4.92,2047065,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,45.62173110202459,-53.25303854320331,False,False,False,True,True,
2022-01-14 00:00:00+00:00,4.61,4.6267,4.395,4.57,2078361,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,45.00029770745943,-49.9237138742833,False,False,False,True,True,
2022-01-18 00:00:00+00:00,4.31,4.59,4.31,4.54,1608434,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,40.72170705861059,-49.9237138742833,False,False,False,True,True,
