date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,7.94,8.07,7.53,7.79,7811867,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,7.5,8.06,7.28,8.035,2397938,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-05 00:00:00+00:00,7.1,7.535,7.09,7.44,2470201,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-06 00:00:00+00:00,6.98,7.29,6.84,7.02,3260038,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-07 00:00:00+00:00,6.89,7.14,6.835,6.93,3962864,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-10 00:00:00+00:00,6.91,6.95,6.49,6.79,3707711,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.8312100319744407,-49.238057470690094,False,False,False,True,True,
2022-01-11 00:00:00+00:00,7.35,7.36,6.8,6.93,3818986,,#000000,,,,0,,,0.0,0.0,0.0,0.0,13.617460977264793,-37.56350577261696,False,False,False,True,True,
2022-01-12 00:00:00+00:00,6.91,7.3,6.855,7.08,3206270,,#000000,,,,0,,,0.0,0.0,0.0,0.0,18.316977255116186,-33.9948245854351,False,False,False,True,True,
2022-01-13 00:00:00+00:00,6.65,7.0,6.63,6.99,2401042,,#000000,,,,0,,,0.0,0.0,0.0,0.0,19.97291310772149,-33.19796881571876,False,False,False,True,True,
2022-01-14 00:00:00+00:00,6.55,6.82,6.3,6.54,3277875,,#000000,,,,0,,,0.0,0.0,0.0,0.0,20.585127541808042,-33.14527558860564,False,False,False,True,True,
2022-01-18 00:00:00+00:00,6.49,6.82,6.27,6.4,4308675,,#000000,,,,0,,,0.0,0.0,0.0,0.0,20.701483464089073,-33.14527558860564,False,False,False,True,True,
