date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_78,aVWAP_BoS_CHoCH_bear_93,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-01-23 00:00:00+00:00,24.5689186576,24.5836452821,24.5689186576,24.5836452821,50003,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-01-24 00:00:00+00:00,24.587572382,24.5934630318,24.587572382,24.5934630318,200116,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2025-01-27 00:00:00+00:00,24.6060297515,24.6060297515,24.6032807816,24.6032807816,25020,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-01-28 00:00:00+00:00,24.6076987689,24.6130985313,24.6076987689,24.6130985313,400000,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-01-29 00:00:00+00:00,24.5983719067,24.622916281,24.5983719067,24.622916281,100023,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,92.24950887779336,42.89538313797725,False,False,True,False,False,
2025-01-30 00:00:00+00:00,24.6256652509,24.6425517804,24.6256652509,24.6425517804,95008,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,90.40023449907493,41.63079779760794,False,False,True,False,False,
2025-01-31 00:00:00+00:00,24.5952302268,24.622916281,24.5952302268,24.622916281,125029,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,79.21709852935271,31.751441565923557,False,False,True,False,False,
2025-02-03 00:00:00+00:00,24.6376429055,24.6376429055,24.6376429055,24.6376429055,8,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,76.73031431044215,30.306893543432622,False,False,True,False,False,
2025-02-04 00:00:00+00:00,24.657278405,24.657278405,24.657278405,24.657278405,36,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,76.48090165291751,30.306893543432622,False,False,True,False,False,
2025-02-05 00:00:00+00:00,24.7112760284,24.7309115278,24.7112760284,24.7309115278,101,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,78.80895107740497,30.306893543432622,False,False,True,False,False,
2025-02-06 00:00:00+00:00,24.7005746812,24.7005746812,24.7005746812,24.7005746812,101,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,78.59152673927234,30.306893543432622,False,False,True,False,False,
2025-02-07 00:00:00+00:00,24.6621872798,24.6621872798,24.6621872798,24.6621872798,0,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,73.22018472071217,28.700381002089614,False,False,True,False,False,
2025-02-10 00:00:00+00:00,24.6867316541,24.6867316541,24.6818227793,24.6818227793,100,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,71.18583174083845,27.018678540154824,False,False,True,False,False,
2025-02-11 00:00:00+00:00,24.6474606553,24.6474606553,24.6474606553,24.6474606553,100,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,65.83104000598476,22.192992120682177,False,False,True,False,False,
2025-02-12 00:00:00+00:00,24.5492831581,24.5492831581,24.5492831581,24.5492831581,1,,,24.5492831581,#000000,,24.5492831581,,0,,,0.0,0.0,0.0,0.0,56.20637749836729,13.5610981767503,False,False,True,False,False,
2025-02-13 00:00:00+00:00,24.6081896564,24.6081896564,24.6081896564,24.6081896564,1,,,24.57873640725,#000000,,24.57873640725,,0,,,0.0,0.0,0.0,0.0,53.54392783588325,11.605644136522066,False,False,False,False,False,
2025-02-14 00:00:00+00:00,24.6474606553,24.6474606553,24.6474606553,24.6474606553,25,,,24.642369970259264,#000000,,24.642369970259264,,0,,,0.0,0.0,0.0,0.0,53.768201233808966,11.605644136522066,False,False,False,False,False,
2025-02-18 00:00:00+00:00,24.6130985313,24.6130985313,24.6130985313,24.6130985313,5,,,24.63779630792188,#000000,,24.63779630792188,,0,,,0.0,0.0,0.0,0.0,52.10501959117096,10.557601244860628,False,False,False,False,False,
