date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_89,aVWAP_BoS_CHoCH_bull_153,aVWAP_BoS_CHoCH_bull_174,aVWAP_BoS_CHoCH_bull_207,aVWAP_BoS_CHoCH_bull_365,aVWAP_BoS_CHoCH_bull_407,aVWAP_BoS_CHoCH_bull_439,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,47.0,47.0,47.0,47.0,41164,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-05 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-06 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-10 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-11 00:00:00+00:00,47.0,47.0,47.0,47.0,41164,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-12 00:00:00+00:00,47.0,47.0,47.0,47.0,0,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-13 00:00:00+00:00,48.25,48.25,47.25,47.25,6533,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,48.0,48.0,48.0,48.0,4500,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,93.98907103825137,25.95628415300547,False,False,True,False,True,
2022-01-18 00:00:00+00:00,48.0,48.0,48.0,48.0,0,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,89.98178506375228,25.95628415300547,False,False,True,False,True,
2022-01-19 00:00:00+00:00,48.0,48.0,48.0,48.0,0,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,87.3102610807529,25.95628415300547,False,False,True,False,True,
2022-01-20 00:00:00+00:00,49.5,50.0,47.0,47.0,1225330,,,,,,,,48.833333333333336,#000000,,48.833333333333336,,0,,,0.0,0.0,0.0,0.0,89.07677788150502,25.95628415300547,False,False,True,False,True,
2022-01-21 00:00:00+00:00,49.5,49.5,49.5,49.5,10000,,,,,,,,48.838730001969786,#000000,,48.838730001969786,,0,,,0.0,0.0,0.0,0.0,90.25445574867311,25.95628415300547,False,False,True,False,True,
2022-01-24 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,,,,,,48.838730001969786,#000000,,48.838730001969786,,0,,,0.0,0.0,0.0,0.0,91.03957432678517,25.95628415300547,False,False,True,False,True,
2022-01-25 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,,,,,,48.838730001969786,#000000,,48.838730001969786,,0,,,0.0,0.0,0.0,0.0,91.56298671219321,27.4447838832549,False,False,True,False,True,
2022-01-26 00:00:00+00:00,49.5,49.5,49.5,49.5,2000,,,,,,,,48.83979886799264,#000000,,48.83979886799264,,0,,,0.0,0.0,0.0,0.0,91.91192830246524,28.86803662761716,False,False,True,False,True,
2022-01-27 00:00:00+00:00,49.5,49.5,49.5,49.5,54,,,,,,,,48.83982767947003,#000000,,48.83982767947003,,0,,,0.0,0.0,0.0,0.0,92.14455602931326,30.189658447425174,False,False,True,False,True,
2022-01-28 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,,,,,,48.83982767947003,#000000,,48.83982767947003,,0,,,0.0,0.0,0.0,0.0,92.29964118054528,31.42014622232918,False,False,True,False,True,
2022-01-31 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,,,,,,48.83982767947003,#000000,,48.83982767947003,,0,,,0.0,0.0,0.0,0.0,92.40303128136662,32.56393605224919,False,False,True,False,True,
2022-02-01 00:00:00+00:00,49.5,49.5,49.5,49.5,0,,,,,,,,48.83982767947003,#000000,,48.83982767947003,,0,,,0.0,0.0,0.0,0.0,92.47195801524751,33.622926904322895,False,False,True,False,True,
2022-02-02 00:00:00+00:00,47.55,49.0,47.55,49.0,1779185,,,,,,,,48.36415394443157,#000000,,48.36415394443157,,0,,,0.0,0.0,0.0,0.0,72.63723824612461,32.205811724872106,False,False,True,False,False,
2022-02-03 00:00:00+00:00,49.25,49.25,48.5,48.5,44065,,,,,,,,48.3733084387091,#000000,,48.3733084387091,,0,,,0.0,0.0,0.0,0.0,67.94500024340851,28.138482047849692,False,False,True,False,False,
2022-02-04 00:00:00+00:00,46.55,46.55,46.55,46.55,1295,,,,,,,,47.76502486395558,#000000,,47.76502486395558,,0,,,0.0,0.0,0.0,0.0,57.006270578843825,18.26212503138487,False,False,True,False,False,
