date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_377,aVWAP_BoS_CHoCH_bull_506,aVWAP_BoS_CHoCH_bull_565,aVWAP_BoS_CHoCH_bull_775,aVWAP_BoS_CHoCH_bull_846,aVWAP_BoS_CHoCH_bear_49,aVWAP_BoS_CHoCH_bear_196,aVWAP_BoS_CHoCH_bear_628,aVWAP_BoS_CHoCH_bear_718,aVWAP_BoS_CHoCH_bear_773,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,4.2,4.29,3.94,3.99,2696341,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,4.11,4.18,3.95,4.14,2775202,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-05 00:00:00+00:00,3.86,4.19,3.85,4.06,2504343,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-06 00:00:00+00:00,3.81,3.97,3.74,3.87,2913367,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-07 00:00:00+00:00,3.9,4.03,3.815,3.83,1799396,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,7.322709017220186,-43.28751673421483,False,False,False,True,True,
2022-01-10 00:00:00+00:00,3.96,4.07,3.84,3.97,3202793,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,15.813422599385401,-35.91117978485339,False,False,False,True,True,
2022-01-11 00:00:00+00:00,4.06,4.15,3.88,3.94,2247253,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,26.01668091934525,-27.284160031441743,False,False,False,True,True,
2022-01-12 00:00:00+00:00,4.03,4.14,3.945,4.09,1595185,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,31.84826133778288,-22.94146473712164,False,False,False,True,True,
2022-01-13 00:00:00+00:00,3.9,4.0601,3.88,4.03,1884127,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,32.39773662952328,-22.94146473712164,False,False,False,True,True,
2022-01-14 00:00:00+00:00,3.93,3.94,3.785,3.88,1915215,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,33.98773461441239,-22.379259452673264,False,False,False,True,True,
2022-01-18 00:00:00+00:00,3.68,3.86,3.67,3.83,3004389,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,30.88503351408688,-22.379259452673264,False,False,False,True,True,
2022-01-19 00:00:00+00:00,3.59,3.74,3.58,3.7,2484793,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,27.85053174825709,-22.379259452673264,False,False,False,True,False,
2022-01-20 00:00:00+00:00,3.57,3.77,3.56,3.62,2526976,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,25.624934211003776,-16.79027775636061,False,False,False,True,False,
2022-01-21 00:00:00+00:00,3.43,3.565,3.41,3.52,2689089,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,22.89294153973521,-19.313778155817474,False,False,False,True,False,
2022-01-24 00:00:00+00:00,3.43,3.44,3.12,3.3,3976204,,,,,,,,,,,3.33,#000000,,3.33,,0,,,0.0,0.0,0.0,0.0,21.07161309222284,-21.055022941291444,False,False,False,True,False,
2022-01-25 00:00:00+00:00,3.48,3.55,3.335,3.38,2147426,,,,,,,,,,,3.3738348250955728,#000000,,3.3738348250955728,,0,,,0.0,0.0,0.0,0.0,21.81163316618815,-21.055022941291444,False,False,False,True,False,
2022-01-26 00:00:00+00:00,3.41,3.59,3.37,3.54,2026104,,,,,,,,,,,3.3944276353068705,#000000,,3.3944276353068705,,0,,,0.0,0.0,0.0,0.0,21.539726275714628,-21.055022941291444,False,False,False,True,False,
2022-01-27 00:00:00+00:00,3.3,3.45,3.27,3.45,2177122,,,,,,,,,,,3.3829531262951664,#000000,,3.3829531262951664,,0,,,0.0,0.0,0.0,0.0,20.339627503293553,-22.44374460089832,False,False,False,True,False,
2022-01-28 00:00:00+00:00,3.41,3.505,3.22,3.28,2822592,,,,,,,,,,,3.381961465606769,#000000,,3.381961465606769,,0,,,0.0,0.0,0.0,0.0,23.315157337480006,-22.44374460089832,False,False,False,True,False,
2022-01-31 00:00:00+00:00,3.69,3.7163,3.37,3.39,2047515,,,,,,,,,,,3.410273819940208,#000000,,3.410273819940208,,0,,,0.0,0.0,0.0,0.0,31.871204191078338,-25.599569475787924,False,False,False,True,True,
2022-02-01 00:00:00+00:00,3.83,3.88,3.66,3.7,2274453,,,,,,,,,,,3.4597070970950496,#000000,,3.4597070970950496,,0,,,0.0,0.0,0.0,0.0,39.83582872217741,-18.375297386746908,False,False,False,True,True,
2022-02-02 00:00:00+00:00,3.72,3.83,3.685,3.83,998371,,,,,,,,,,,3.4751283989631285,#000000,,3.4751283989631285,,0,,,0.0,0.0,0.0,0.0,43.2300128497011,-15.550008740475946,False,False,False,True,True,
2022-02-03 00:00:00+00:00,3.48,3.67,3.48,3.66,1670691,,,,,,,,,,,3.4807861281395613,#000000,,3.4807861281395613,,0,,,0.0,0.0,0.0,0.0,42.18685352946626,-15.550008740475946,False,False,False,True,True,
2022-02-04 00:00:00+00:00,3.63,3.65,3.43,3.49,1705412,,,,,,,,,,,3.4877506604903723,#000000,,3.4877506604903723,,0,,,0.0,0.0,0.0,0.0,43.88672204603532,-15.18791036717709,False,False,False,True,True,
2022-02-07 00:00:00+00:00,3.65,3.81,3.63,3.63,1398733,,,,,,,,,,,3.500322071610569,#000000,,3.500322071610569,,0,,,0.0,0.0,0.0,0.0,45.323788205357424,-13.657765530398827,False,False,False,True,True,
2022-02-08 00:00:00+00:00,3.72,3.725,3.59,3.67,1606094,,,,,,,,,,,3.5118268832981094,#000000,,3.5118268832981094,,0,,,0.0,0.0,0.0,0.0,47.3595711265568,-11.477505611739389,False,False,False,False,True,
2022-02-09 00:00:00+00:00,3.96,4.005,3.76,3.76,3056805,,,,,,,,,,,3.5552575719490016,#000000,,3.5552575719490016,,0,,,0.0,0.0,0.0,0.0,51.80154567398214,-7.059890007855117,False,False,True,False,True,
2022-02-10 00:00:00+00:00,3.94,4.09,3.7808,3.86,2704008,,,,,,,,,,,3.5889721334945803,#000000,,3.5889721334945803,,0,,,0.0,0.0,0.0,0.0,54.415611109585186,-4.434428300404811,False,False,True,False,True,
2022-02-11 00:00:00+00:00,4.04,4.13,3.89,3.96,3369609,,,,,,,,,,,3.825856677341412,#000000,,3.825856677341412,,0,,,0.0,0.0,0.0,0.0,57.31883420241084,-1.5193919595876366,False,False,True,False,True,
2022-02-14 00:00:00+00:00,3.81,4.06,3.793,3.94,2454027,,,,,,,,,,,3.8065942928228322,#000000,,3.8065942928228322,,0,,,0.0,0.0,0.0,0.0,55.484486777724506,-1.5193919595876366,False,False,True,False,True,
2022-02-15 00:00:00+00:00,3.95,3.9899,3.87,3.91,1551759,,,,,,,,,,,3.8095663954761387,#000000,,3.8095663954761387,,0,,,0.0,0.0,0.0,0.0,55.98192698562622,-1.5193919595876366,False,False,True,False,True,
2022-02-16 00:00:00+00:00,3.98,4.04,3.85,3.96,1355080,,,,,,,,,,,3.8145266732562977,#000000,,3.8145266732562977,,0,,,0.0,0.0,0.0,0.0,56.66671179282615,-1.4328860153671599,False,False,True,False,True,
2022-02-17 00:00:00+00:00,3.79,3.965,3.75,3.91,1304730,,,,,,,,,,,3.80915442817681,#000000,,3.80915442817681,,0,,,0.0,0.0,0.0,0.0,54.290362823270875,-1.4328860153671599,False,False,True,False,True,
