date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_171,aVWAP_BoS_CHoCH_bull_703,aVWAP_BoS_CHoCH_bear_286,aVWAP_BoS_CHoCH_bear_342,aVWAP_BoS_CHoCH_bear_449,aVWAP_BoS_CHoCH_bear_553,aVWAP_BoS_CHoCH_bear_681,aVWAP_BoS_CHoCH_bear_737,aVWAP_BoS_CHoCH_bear_827,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-02-03 15:00:00+00:00,44.37,44.6,42.785,43.03,3038.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-02-03 16:00:00+00:00,43.035,43.555,42.895,43.34,1217.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2025-02-03 17:00:00+00:00,43.34,43.67,43.1,43.445,2559.0,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-02-03 18:00:00+00:00,43.445,43.685,43.26,43.39,1088.0,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,95.3382514518914,45.804426306702254,False,False,True,False,False,
2025-02-03 19:00:00+00:00,43.39,43.41,43.1,43.19,300.0,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,81.79632098922674,33.89639380319059,False,False,True,False,False,
2025-02-03 20:00:00+00:00,43.185,43.5,43.1,43.41,402.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,77.45578467952797,30.951602905761035,False,False,True,False,False,
2025-02-04 15:00:00+00:00,42.94,43.09,42.59,42.91,805.0,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,64.41642272338962,19.969621480039507,False,False,True,False,False,
2025-02-04 16:00:00+00:00,42.9,42.92,42.5,42.55,907.0,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,52.35132840193803,10.20563217993385,False,False,False,True,False,
2025-02-04 17:00:00+00:00,42.55,42.88,42.48,42.5,800.0,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,43.9354265116697,3.789855541233919,False,False,False,True,False,
2025-02-04 18:00:00+00:00,42.505,42.695,42.47,42.62,2.0,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,40.671826529234664,1.7385185568635961,False,False,False,True,False,
2025-02-04 19:00:00+00:00,42.62,42.63,42.305,42.415,612.0,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,36.71410499365668,-1.4902501875003367,False,False,False,True,False,
2025-02-04 20:00:00+00:00,42.415,42.5,42.16,42.235,1117.0,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,32.78982748718261,-5.027395949703724,False,False,False,True,False,
