date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_106,aVWAP_BoS_CHoCH_bull_192,aVWAP_BoS_CHoCH_bull_379,aVWAP_BoS_CHoCH_bull_523,aVWAP_BoS_CHoCH_bull_830,aVWAP_BoS_CHoCH_bear_49,aVWAP_BoS_CHoCH_bear_88,aVWAP_BoS_CHoCH_bear_132,aVWAP_BoS_CHoCH_bear_211,aVWAP_BoS_CHoCH_bear_549,aVWAP_BoS_CHoCH_bear_627,aVWAP_BoS_CHoCH_bear_665,aVWAP_BoS_CHoCH_bear_735,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,8.75,9.45,8.642,8.99,448681,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,8.57,8.9051,8.57,8.8,376882,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-05 00:00:00+00:00,7.82921,8.731,7.817724,8.41,1543536,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-06 00:00:00+00:00,8.1,8.1154,7.6893,8.0,619357,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,8.258342306699348,-42.4298528855256,False,False,False,True,True,
2022-01-07 00:00:00+00:00,8.4,8.41,8.0,8.0,483424,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,19.578922501120136,-32.51145116878984,False,False,False,True,True,
2022-01-10 00:00:00+00:00,8.34,8.72,8.01,8.5,584861,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,26.442819448048937,-27.135214752777763,False,False,False,True,True,
2022-01-11 00:00:00+00:00,8.403,8.65,8.13,8.15,424332,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,32.07753226663756,-22.903769087740734,False,False,False,True,True,
2022-01-12 00:00:00+00:00,8.31,8.98,8.0087,8.4,457276,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,34.68724765863987,-21.347651575194494,False,False,False,True,True,
2022-01-13 00:00:00+00:00,8.22,8.4,8.09,8.1,606770,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,35.390753096913244,-21.266800694348547,False,False,False,True,True,
2022-01-14 00:00:00+00:00,8.23,8.27,8.0,8.22,342480,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,36.058461774364304,-20.902201355141298,False,False,False,True,True,
2022-01-18 00:00:00+00:00,8.252,8.28,7.81,7.93,505237,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,36.96930196817793,-20.084405353217406,False,False,False,True,True,
2022-01-19 00:00:00+00:00,8.2522,8.295,7.81,8.25,505237,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,37.58108083424101,-19.3922857669887,False,False,False,True,True,
2022-01-20 00:00:00+00:00,7.738581,8.17,7.72,8.0,613727,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,32.988305546097294,-19.3922857669887,False,False,False,True,False,
2022-01-21 00:00:00+00:00,7.6,7.815,7.28,7.77,1257067,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,29.109779787634174,-13.565290293378872,False,False,False,True,False,
2022-01-24 00:00:00+00:00,7.45,7.47,6.9,7.3,1806110,,,,,,,,,,,,,,7.273333333333334,#000000,,7.273333333333334,,0,,,0.0,0.0,0.0,0.0,25.747045671830183,-16.699649592880164,False,False,False,True,False,
2022-01-25 00:00:00+00:00,7.6,7.62,7.06,7.37,798405,,,,,,,,,,,,,,7.3203371325051565,#000000,,7.3203371325051565,,0,,,0.0,0.0,0.0,0.0,26.399262860434572,-16.699649592880164,False,False,False,True,False,
2022-01-26 00:00:00+00:00,7.66,8.0,7.1965,7.97,629031,,,,,,,,,,,,,,7.378404456645017,#000000,,7.378404456645017,,0,,,0.0,0.0,0.0,0.0,27.91971180540882,-16.699649592880164,False,False,False,True,False,
2022-01-27 00:00:00+00:00,7.5106,7.76,7.246,7.61,501160,,,,,,,,,,,,,,7.3954638738631635,#000000,,7.3954638738631635,,0,,,0.0,0.0,0.0,0.0,27.799797521545322,-16.699649592880164,False,False,False,True,False,
2022-01-28 00:00:00+00:00,7.04,7.59,6.91,7.59,951417,,,,,,,,,,,,,,7.3517185448397315,#000000,,7.3517185448397315,,0,,,0.0,0.0,0.0,0.0,25.18740195220836,-17.75034092157393,False,False,False,True,False,
2022-01-31 00:00:00+00:00,7.25,7.4,6.99,7.01,752613,,,,,,,,,,,,,,7.332568781146942,#000000,,7.332568781146942,,0,,,0.0,0.0,0.0,0.0,26.625602343667516,-17.75034092157393,False,False,False,True,False,
2022-02-01 00:00:00+00:00,7.58,7.67,7.09,7.25,754457,,,,,,,,,,,,,,7.346468226621281,#000000,,7.346468226621281,,0,,,0.0,0.0,0.0,0.0,31.59875189354367,-17.75034092157393,False,False,False,True,True,
2022-02-02 00:00:00+00:00,7.49,7.97,7.34,7.6,567630,,,,,,,,,,,,,,7.367754428097486,#000000,,7.367754428097486,,0,,,0.0,0.0,0.0,0.0,34.239076458405364,-22.821413283984654,False,False,False,True,True,
2022-02-03 00:00:00+00:00,7.4,7.51,7.18,7.49,331341,,,,,,,,,,,,,,7.367547877605951,#000000,,7.367547877605951,,0,,,0.0,0.0,0.0,0.0,35.32882993302452,-21.68987627760594,False,False,False,True,True,
2022-02-04 00:00:00+00:00,7.72,7.8,7.04,7.12,827176,,,,,,,,,,,,,,7.383471519827831,#000000,,7.383471519827831,,0,,,0.0,0.0,0.0,0.0,39.51347124867512,-17.6299746686868,False,False,False,True,True,
2022-02-07 00:00:00+00:00,7.89,7.99,7.53,7.53,630864,,,,,,,,,,,,,,7.414450395082191,#000000,,7.414450395082191,,0,,,0.0,0.0,0.0,0.0,43.839551061861386,-13.552597249680623,False,False,False,True,True,
