date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_121,aVWAP_BoS_CHoCH_bull_165,aVWAP_BoS_CHoCH_bear_27,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,1.9350533879,2.0509782453,1.8726323109,1.9528879814,1009725,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,2.0688128387,2.1401512125,1.9173079675,1.9350533879,601201,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,2.3274144435,2.345249037,1.9796398715,2.0688128387,707596,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2022-01-21 00:00:00+00:00,2.122316619,2.3898355206,2.0527617046,2.3630836304,635719,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,89.59119022532515,40.16042200987768,False,False,True,False,False,
2022-01-28 00:00:00+00:00,2.0955647289,2.2649933665,1.9439706847,2.0509782453,468857,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,81.2764174186917,32.72728717952138,False,False,True,False,False,
2022-02-04 00:00:00+00:00,1.9618052781,2.2292350067,1.9319323341,2.1133993223,1003661,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,71.7761075986388,24.398859788326888,False,False,True,False,False,
2022-02-11 00:00:00+00:00,2.1044820256,2.1401512125,1.8637150142,1.9350533879,1039388,,,,,"rgba(38, 166, 154, 0.5)",,2.0361160841,,0,,,0.0,0.0,0.0,0.0,67.82064358098872,21.51595219077285,False,False,True,False,False,
2022-02-18 00:00:00+00:00,2.0457980729,2.28282796,2.0278524758,2.1401512125,1188106,,,,,"rgba(38, 166, 154, 0.5)",,2.0802321844367286,,0,,,0.0,0.0,0.0,0.0,63.71272546215606,18.396122656172025,False,False,True,False,False,
2022-02-25 00:00:00+00:00,2.2521724399,2.2521724399,1.9470972887,2.0727164686,847538,,,,,"rgba(38, 166, 154, 0.5)",,2.0995940335932843,,0,,,0.0,0.0,0.0,0.0,63.78458603700642,18.396122656172025,False,False,True,False,False,
2022-03-04 00:00:00+00:00,2.7097851667,2.7187579653,2.1983356485,2.2342268428,2363497,,,,,"rgba(38, 166, 154, 0.5)",,2.291983833496195,,0,,,0.0,0.0,0.0,0.0,67.43267129161929,18.396122656172025,False,False,True,False,True,
