date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_230,aVWAP_BoS_CHoCH_bull_282,aVWAP_BoS_CHoCH_bull_402,aVWAP_BoS_CHoCH_bull_490,aVWAP_BoS_CHoCH_bull_536,aVWAP_BoS_CHoCH_bull_678,aVWAP_BoS_CHoCH_bull_730,aVWAP_BoS_CHoCH_bull_793,aVWAP_BoS_CHoCH_bear_115,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,77.5762172417,78.9861169356,76.5335261497,78.1202299853,2170163,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,79.9154720393,80.4050835086,77.7212873067,77.7802220206,2885340,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-05 00:00:00+00:00,78.8637140683,81.212035745,78.7186440033,80.3960166295,1770119,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,88.96957123107995,5.878284924319814,False,False,True,False,True,
2022-01-06 00:00:00+00:00,79.4530612072,80.015207709,78.827446552,79.4983956025,1297320,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,83.48465043121135,5.878284924319814,False,False,True,False,True,
2022-01-07 00:00:00+00:00,79.6343987884,81.0805659986,78.6914433661,79.4349274491,2817425,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,80.32487944148306,5.878284924319814,False,False,True,False,True,
2022-01-10 00:00:00+00:00,79.3714592957,79.4349274491,78.5826408174,79.2626567469,2519738,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,76.25448335967357,5.878284924319814,False,False,True,False,True,
2022-01-11 00:00:00+00:00,78.2743669294,79.4077268119,76.8508669169,79.3351917794,1841394,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,67.4649817517947,5.878284924319814,False,False,True,False,False,
2022-01-12 00:00:00+00:00,78.2562331712,79.0450516495,77.920758646,78.0114274366,1888080,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,61.52479761514731,5.878284924319814,False,False,True,False,False,
2022-01-13 00:00:00+00:00,79.5255962397,80.0424083462,77.8663573716,78.4557045106,2236647,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,62.12321133166116,5.878284924319814,False,False,True,False,False,
2022-01-14 00:00:00+00:00,79.3442586585,79.9517395555,78.3015675665,79.416793691,1807093,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,61.65825288548784,5.878284924319814,False,False,True,False,False,
2022-01-18 00:00:00+00:00,79.0450516495,79.4077268119,77.9842267994,79.1991885935,2078775,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,59.948467933748645,5.878284924319814,False,False,True,False,False,
2022-01-19 00:00:00+00:00,77.5490166045,79.6615994256,77.4855484511,79.570930635,2459246,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,53.61668769112229,25.910793839322494,False,False,False,False,False,
2022-01-20 00:00:00+00:00,77.9570261622,79.8248032487,77.7938223391,78.1383637434,2109461,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,50.89823954685097,21.867782954641882,False,False,False,False,False,
