date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_33,aVWAP_BoS_CHoCH_bull_84,aVWAP_BoS_CHoCH_bull_119,aVWAP_BoS_CHoCH_bull_133,aVWAP_BoS_CHoCH_bear_27,aVWAP_BoS_CHoCH_bear_136,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,23.0771038293,23.3052135871,22.364355882,22.4878202884,3562738,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,22.6969208997,24.0085520069,22.5828660208,23.1911587082,5767437,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-14 00:00:00+00:00,23.4762959054,23.7614331027,22.041105346,22.5163340081,4003051,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,19.632881085552672,-99.08220271388168,False,False,False,True,True,
2022-01-21 00:00:00+00:00,21.7939864418,23.3432318801,21.7464635756,23.0961129758,3435070,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,21.606132709727248,-96.14319010353799,False,False,False,True,True,
2022-01-28 00:00:00+00:00,20.7960062515,21.8225001615,19.8170352076,21.4423172319,7668644,,,,,,,,"rgba(239, 83, 80, 0.5)",,20.81184720686667,,0,,,0.0,0.0,0.0,0.0,20.88764857324096,-95.10297241724538,False,False,False,True,True,
2022-02-04 00:00:00+00:00,21.8320047347,22.4783157151,20.539382774,20.6819513726,5498325,,,,,,,,"rgba(239, 83, 80, 0.5)",,21.14788620204505,,0,,,0.0,0.0,0.0,0.0,25.873515487370987,-88.01216056394038,False,False,False,True,True,
2022-02-11 00:00:00+00:00,22.1456556517,23.4287730392,21.6466655565,21.8700230277,4487890,,,,,,,,"rgba(239, 83, 80, 0.5)",,21.467962687128207,,0,,,0.0,0.0,0.0,0.0,30.696908995907123,-80.84273423054475,False,False,False,True,True,
2022-02-18 00:00:00+00:00,22.5258385813,23.5333233449,21.8605184545,22.1931785179,6012362,,,,,,,,"rgba(239, 83, 80, 0.5)",,21.7656770679948,,0,,,0.0,0.0,0.0,0.0,35.53430126348387,-73.51214854565474,False,False,False,True,True,
2022-02-25 00:00:00+00:00,23.5238187716,23.6141122174,21.2527960414,22.3357471165,7821203,,,,,,,,"rgba(239, 83, 80, 0.5)",,22.409363506476943,,0,,,0.0,0.0,0.0,0.0,41.87976903668642,-64.68224655290095,False,False,False,True,True,
2022-03-04 00:00:00+00:00,20.9781166588,23.6099167488,20.8827615831,23.0949993399,8395380,,,,,,,,"rgba(239, 83, 80, 0.5)",,22.13655816592101,,0,,,0.0,0.0,0.0,0.0,40.71211287464111,-63.12783246837689,False,False,False,True,True,
2022-03-11 00:00:00+00:00,20.4250572197,20.9590456437,18.3939941068,20.8827615831,12608209,,,,,,,19.926032323399998,"rgba(239, 83, 80, 0.5)",,20.890145328169936,,0,,,0.0,0.0,0.0,0.0,39.074311225101326,-61.92986721711154,False,False,False,True,True,
2022-03-18 00:00:00+00:00,21.2546463784,21.6456021889,20.0865467008,20.5680898332,8020278,,,,,,,20.34187559177744,"rgba(239, 83, 80, 0.5)",,20.988045598190542,,0,,,0.0,0.0,0.0,0.0,39.88937984708447,-58.1912983388046,False,False,False,True,True,
2022-03-25 00:00:00+00:00,21.3023239163,21.6932797268,20.9495101361,21.3404659466,5001474,,,,,,,20.531780138038517,"rgba(239, 83, 80, 0.5)",,21.05319254715592,,0,,,0.0,0.0,0.0,0.0,40.58002336405318,-54.54885890876769,False,False,False,True,True,
2022-04-01 00:00:00+00:00,21.1402202876,22.0842355372,20.7254257082,21.330930439,5558751,,,,,,,20.6716630952565,"rgba(239, 83, 80, 0.5)",,21.101294271208356,,0,,,0.0,0.0,0.0,0.0,40.792219228227474,-51.383159974459765,False,False,False,True,True,
