date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_138,aVWAP_BoS_CHoCH_bear_74,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,31.65,31.8999,29.85,29.94,356174,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,33.31,34.7499,31.9901,32.26,610879,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,32.54,32.68,30.901,32.68,405856,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,90.51451566542109,7.315320494394889,False,False,True,False,True,
2022-01-21 00:00:00+00:00,33.17,33.6199,31.65,32.13,403314,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,85.87744264741953,7.315320494394889,False,False,True,False,True,
2022-01-28 00:00:00+00:00,35.0,35.26,32.46,32.9,552920,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,85.5945838450308,7.315320494394889,False,False,True,False,True,
2022-02-04 00:00:00+00:00,37.88,38.0086,34.52,34.91,567092,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,87.16334620580756,7.315320494394889,False,False,True,False,True,
2022-02-11 00:00:00+00:00,36.69,38.29,35.11,37.78,691340,,,,"rgba(38, 166, 154, 0.5)",,36.69666666666667,,0,,,0.0,0.0,0.0,0.0,84.28497052936534,7.315320494394889,False,False,True,False,True,
2022-02-18 00:00:00+00:00,34.91,36.1,33.53,35.69,717313,,,,"rgba(38, 166, 154, 0.5)",,35.754611348572006,,0,,,0.0,0.0,0.0,0.0,77.87673761794278,7.315320494394889,False,False,True,False,True,
2022-02-25 00:00:00+00:00,34.56,37.3164,33.7294,34.88,608753,,,,"rgba(38, 166, 154, 0.5)",,35.587840554884174,,0,,,0.0,0.0,0.0,0.0,72.59310723781775,7.315320494394889,False,False,True,False,True,
2022-03-04 00:00:00+00:00,25.88,33.1799,25.265,33.09,1266465,,,,"rgba(38, 166, 154, 0.5)",,32.70326429447644,,0,,,0.0,0.0,0.0,0.0,60.08079088750118,7.315320494394889,False,False,True,False,False,
