date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_247,aVWAP_BoS_CHoCH_bull_321,aVWAP_BoS_CHoCH_bear_81,aVWAP_BoS_CHoCH_bear_226,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2023-12-14 17:00:00+00:00,15.025,15.29,14.825,14.985,61185.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2023-12-15 17:00:00+00:00,14.67,14.855,14.605,14.815,18400.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2023-12-18 17:00:00+00:00,14.56,14.73,14.475,14.675,12223.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2023-12-19 17:00:00+00:00,15.24,15.285,15.06,15.22,36491.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,22.601950695031135,-29.658244374471977,False,False,False,True,True,
2023-12-20 17:00:00+00:00,15.455,15.66,14.99,15.005,33319.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,32.44168959616844,-22.158596405150277,False,False,False,True,True,
2023-12-21 17:00:00+00:00,14.85,15.17,14.67,15.09,17432.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,40.490309655408964,-16.228485108143033,False,False,False,True,True,
2023-12-22 17:00:00+00:00,15.3,15.36,15.09,15.105,14207.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,46.1191805387771,-12.249595130398937,False,False,False,False,True,
2023-12-25 17:00:00+00:00,15.105,15.105,15.105,15.105,0.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,49.8717611276892,-9.593509353210393,False,False,True,False,True,
2023-12-26 17:00:00+00:00,15.345,15.43,15.25,15.26,18830.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,55.102999815991794,-5.208540394005148,False,False,True,False,True,
2023-12-27 17:00:00+00:00,15.35,15.47,15.3,15.375,7717.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,60.176711651116904,-0.771350760614979,False,False,True,False,True,
2023-12-28 17:00:00+00:00,15.35,15.45,15.19,15.395,14447.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,63.8196040370852,2.5378006741154024,False,False,True,False,True,
2023-12-29 17:00:00+00:00,15.38,15.405,15.25,15.265,17142.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,62.42194750241956,2.5378006741154024,False,False,True,False,True,
2024-01-01 17:00:00+00:00,15.265,15.265,15.265,15.265,0.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,61.49017647930914,2.5378006741154024,False,False,True,False,True,
2024-01-02 17:00:00+00:00,15.18,15.425,15.155,15.395,10769.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,63.15212977986757,2.916346835632254,False,False,True,False,True,
