date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_86,aVWAP_BoS_CHoCH_bull_118,aVWAP_BoS_CHoCH_bull_146,aVWAP_BoS_CHoCH_bear_24,aVWAP_BoS_CHoCH_bear_44,aVWAP_BoS_CHoCH_bear_78,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,7.545,7.68,7.5,7.58,27151,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,7.5042,7.6,7.5,7.545,9262,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-14 00:00:00+00:00,7.55,7.56,7.1,7.51,34389,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,15.600517746440477,-89.00129436610119,False,False,False,True,True,
2022-01-21 00:00:00+00:00,7.1,7.52,7.1,7.44,5208,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,13.455097254714698,-89.00129436610119,False,False,False,True,True,
2022-01-28 00:00:00+00:00,6.52,7.5042,6.475,7.13,83372,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,10.673074550668899,-89.00129436610119,False,False,False,True,True,
2022-02-04 00:00:00+00:00,6.4,6.91,6.09,6.52,32955,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,8.572253964260721,-89.00129436610119,False,False,False,True,True,
2022-02-11 00:00:00+00:00,6.645,7.11,6.23,6.5,52896,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,12.310701813238179,-86.76852173235551,False,False,False,True,True,
2022-02-18 00:00:00+00:00,5.89,6.65,5.89,6.65,6732,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,12.598292279680987,-84.30002626593658,False,False,False,True,True,
2022-02-25 00:00:00+00:00,6.12,6.25,5.5,5.87,21518,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,15.568992410864714,-79.08924468029497,False,False,False,True,True,
2022-03-04 00:00:00+00:00,5.2,6.0711,5.2,6.05,12381,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,15.564493716845774,-76.6811420785244,False,False,False,True,True,
2022-03-11 00:00:00+00:00,4.85,5.7,4.7344,5.34,3720,,,,,,,5.094799999999999,"rgba(239, 83, 80, 0.5)",,5.094799999999999,,0,,,0.0,0.0,0.0,0.0,15.04337378878724,-74.72352482625712,False,False,False,True,True,
2022-03-18 00:00:00+00:00,5.691,6.38,4.82,4.82,28104,,,,,,,5.567733283056811,"rgba(239, 83, 80, 0.5)",,5.567733283056811,,0,,,0.0,0.0,0.0,0.0,20.35926822248652,-67.17920242485374,False,False,False,True,True,
2022-03-25 00:00:00+00:00,6.4,6.95,5.4501,5.78,68359,,,,,,,6.044667152111635,"rgba(239, 83, 80, 0.5)",,6.044667152111635,,0,,,0.0,0.0,0.0,0.0,27.426634093435236,-58.2056543583344,False,False,False,True,True,
2022-04-01 00:00:00+00:00,6.22,7.0,6.22,6.4,4009,,,,,,,6.061417472550675,"rgba(239, 83, 80, 0.5)",,6.270708736275337,,0,,,0.0,0.0,0.0,0.0,31.89726448726259,-51.96333631362682,False,False,False,True,True,
2022-04-08 00:00:00+00:00,6.21,6.5,6.21,6.24,4863,,,,,,,6.072353668332491,"rgba(239, 83, 80, 0.5)",,6.22867232559997,,0,,,0.0,0.0,0.0,0.0,35.05782567744889,-47.090098068309764,False,False,False,True,True,
2022-04-15 00:00:00+00:00,5.9501,6.9,5.86,5.95,5585,,,,,,,6.080360247732029,"rgba(239, 83, 80, 0.5)",,6.204031873883308,,0,,,0.0,0.0,0.0,0.0,36.46866600018525,-43.942833396861076,False,False,False,True,True,
2022-04-22 00:00:00+00:00,5.8,6.24,5.67,5.915,4609,,,,,,,6.073518118670456,"rgba(239, 83, 80, 0.5)",,6.1493173524573645,,0,,,0.0,0.0,0.0,0.0,37.00859516248768,-41.62780204056034,False,False,False,True,True,
2022-04-29 00:00:00+00:00,5.77,6.7155,5.26,5.82,20611,,,,,,,6.0501820556270545,"rgba(239, 83, 80, 0.5)",,6.009818570409792,,0,,,0.0,0.0,0.0,0.0,37.29901588648922,-39.54675737632506,False,False,False,True,True,
2022-05-06 00:00:00+00:00,5.81,6.47,5.4501,5.77,9568,,,,,,,6.041208215550855,"rgba(239, 83, 80, 0.5)",,5.996306276319193,,0,,,0.0,0.0,0.0,0.0,37.723595202439654,-37.35498558024273,False,False,False,True,True,
2022-05-13 00:00:00+00:00,6.48,6.6,5.76,5.86,16399,,,,,,,6.064822864993838,"rgba(239, 83, 80, 0.5)",,6.067655924205652,,0,,,0.0,0.0,0.0,0.0,41.18162614646344,-32.34120613613986,False,False,False,True,True,
2022-05-20 00:00:00+00:00,7.42,7.4907,6.3872,6.3872,24135,,,,,,,6.196254970643251,#000000,,6.321633469962738,,0,,,0.0,0.0,0.0,0.0,46.70941540179106,-25.55705365592423,False,False,False,False,True,
2022-05-27 00:00:00+00:00,7.35,7.45,6.8,7.285,63910,,,,,,,6.44893878306128,#000000,,6.647630152821409,,0,,,0.0,0.0,0.0,0.0,50.36843609569607,-20.788318983135476,False,False,False,False,True,
2022-06-03 00:00:00+00:00,7.54,8.5,7.1,7.49,22665,,,,,,,7.132951009690084,#000000,,7.005690780497991,,0,,,0.0,0.0,0.0,0.0,53.51880857737153,-16.63003343336203,False,False,False,False,True,
2022-06-10 00:00:00+00:00,6.19,7.51,6.0,7.51,14631,,,,,,,6.908389944389688,#000000,,6.880726950440339,,0,,,0.0,0.0,0.0,0.0,51.18974326183857,-16.63003343336203,False,False,False,False,True,
2022-06-17 00:00:00+00:00,5.5,6.05,5.1,5.9,15907,,,,,,,6.267497855603093,#000000,,6.449128746052838,,0,,,-1.0,0.0,5.1,41.0,47.90484199105381,-16.63003343336203,False,False,False,False,True,
2022-06-24 00:00:00+00:00,6.22,6.22,5.4,5.5,5081,,,,,,,6.273119849331862,#000000,,6.445512905110357,,0,,,0.0,0.0,0.0,0.0,47.67241740114033,-16.63003343336203,False,False,False,False,True,
2022-07-01 00:00:00+00:00,6.6,6.61,5.98,6.22,22033,,,,,,,6.373158997502059,#000000,,6.505803816356596,,0,,,0.0,0.0,0.0,0.0,48.48708940506205,-16.63003343336203,False,False,False,False,True,
2022-07-08 00:00:00+00:00,6.395,6.5,5.955,6.15,8200,,,,,,,6.3751630283397995,#000000,,6.501241932178443,,0,,,0.0,0.0,0.0,0.0,48.54726661252667,-16.63003343336203,False,False,False,False,True,
2022-07-15 00:00:00+00:00,6.395,6.395,6.395,6.395,138,,,,,,,6.375349126338989,#000000,,6.501305254714133,,0,,,0.0,0.0,0.0,0.0,48.59025033214426,-15.922661786549504,False,False,False,False,True,
2022-07-22 00:00:00+00:00,6.91,7.0,5.92,6.08,13625,,,,,,,6.416242663380509,#000000,,6.528780933554834,,0,,,0.0,0.0,0.0,0.0,50.004543686318996,-13.605494420491588,False,False,False,False,True,
2022-07-29 00:00:00+00:00,6.8,7.0,6.5,6.9973,2544,,,,,,,6.425740724724018,#000000,,6.535866269558343,,0,,,0.0,0.0,0.0,0.0,50.691294721674986,-12.052380321614656,False,False,False,False,True,
