date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bear_187,aVWAP_BoS_CHoCH_bear_281,aVWAP_BoS_CHoCH_bear_510,aVWAP_BoS_CHoCH_bear_571,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-02-03 15:00:00+00:00,14.08,14.085,13.885,14.04,1115.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-02-03 16:00:00+00:00,14.03,14.11,13.985,14.03,1936.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2025-02-03 17:00:00+00:00,14.015,14.1,13.945,13.98,2158.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2025-02-03 18:00:00+00:00,13.98,14.08,13.94,14.045,2990.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,18.46396633350879,-33.382430299842085,False,False,False,True,True,
2025-02-03 19:00:00+00:00,14.045,14.07,13.97,13.985,2615.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,24.03080028623409,-29.480117722399847,False,False,False,True,True,
2025-02-03 20:00:00+00:00,13.985,14.02,13.76,13.88,13903.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,22.839605312007166,-29.480117722399847,False,False,False,True,False,
2025-02-04 15:00:00+00:00,13.92,14.04,13.86,14.015,3303.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,32.03950500939009,-23.921328580250368,False,False,False,True,True,
2025-02-04 16:00:00+00:00,14.015,14.035,13.89,13.99,2359.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,36.948615908664635,-20.1644964665164,False,False,False,True,True,
2025-02-04 17:00:00+00:00,13.99,14.07,13.855,14.04,2116.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,42.71908872161592,-15.424004862598977,False,False,False,True,True,
2025-02-04 18:00:00+00:00,14.04,14.06,13.98,13.98,1729.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,43.67791825947431,-14.894522508939488,False,False,False,True,True,
2025-02-04 19:00:00+00:00,13.99,14.01,13.905,13.91,2231.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,41.68368477223009,-14.894522508939488,False,False,False,True,True,
2025-02-04 20:00:00+00:00,13.91,13.975,13.885,13.96,10321.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,42.89245169681754,-14.894522508939488,False,False,False,True,True,
2025-02-05 15:00:00+00:00,14.19,14.26,14.07,14.125,3308.0,,,,,14.151666666666664,"rgba(239, 83, 80, 1.0)",,14.151666666666664,,0,,,0.0,0.0,0.0,0.0,49.38818076538422,-9.38781297638554,False,False,False,False,True,
2025-02-05 16:00:00+00:00,14.125,14.225,14.105,14.2,2692.0,,,,,14.162883333333331,"rgba(38, 166, 154, 1.0)",,14.162883333333331,,0,,,0.0,0.0,0.0,0.0,55.44465623110992,-3.723853305151053,False,False,True,False,True,
