date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_219,aVWAP_BoS_CHoCH_bull_713,aVWAP_BoS_CHoCH_bull_756,aVWAP_BoS_CHoCH_bear_112,aVWAP_BoS_CHoCH_bear_213,aVWAP_BoS_CHoCH_bear_248,aVWAP_BoS_CHoCH_bear_377,aVWAP_BoS_CHoCH_bear_458,aVWAP_BoS_CHoCH_bear_552,aVWAP_BoS_CHoCH_bear_580,aVWAP_BoS_CHoCH_bear_672,aVWAP_BoS_CHoCH_bear_720,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,12.63,12.96,12.41,12.75,2641099,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,12.57,12.68,12.035,12.61,4320533,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-05 00:00:00+00:00,12.01,12.71,11.96,12.45,4720263,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-06 00:00:00+00:00,11.89,12.24,11.51,11.9,4035204,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-07 00:00:00+00:00,11.65,12.24,11.65,11.82,4206236,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-10 00:00:00+00:00,11.12,11.54,10.85,11.49,6666787,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-11 00:00:00+00:00,11.31,11.5,11.04,11.16,5344431,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,4.589152899330969,-45.79327650894661,False,False,False,True,True,
2022-01-12 00:00:00+00:00,11.23,11.74,11.21,11.43,3783608,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,7.373501426794874,-43.49590996428975,False,False,False,True,True,
2022-01-13 00:00:00+00:00,11.06,11.65,11.02,11.45,3942803,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,8.699550065192351,-42.59439699517794,False,False,False,True,True,
2022-01-14 00:00:00+00:00,10.98,11.14,10.685,10.91,4528683,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,9.357261055322637,-42.25036871732994,False,False,False,True,True,
