date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_178,aVWAP_BoS_CHoCH_bull_230,aVWAP_BoS_CHoCH_bull_290,aVWAP_BoS_CHoCH_bull_398,aVWAP_BoS_CHoCH_bull_505,aVWAP_BoS_CHoCH_bull_597,aVWAP_BoS_CHoCH_bull_641,aVWAP_BoS_CHoCH_bull_792,aVWAP_BoS_CHoCH_bull_865,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,13.3262422033,13.6363397247,13.2081666086,13.2308275813,79199,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,13.5965836322,13.6522421617,13.3500958588,13.4137056068,90441,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-05 00:00:00+00:00,13.2864861108,13.6999494727,13.2785348923,13.6442909432,66596,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,81.40442132600805,-24.382314695967807,False,False,True,False,True,
2022-01-06 00:00:00+00:00,13.4216568253,13.4852665732,13.3259241545,13.4534616993,49744,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,72.93176667526077,-24.382314695967807,False,False,True,False,True,
2022-01-07 00:00:00+00:00,13.4773153547,13.5806811952,13.3421446403,13.3978031698,105896,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,68.56336799907628,-24.382314695967807,False,False,True,False,True,
2022-01-10 00:00:00+00:00,13.3819007328,13.5727299767,13.3103397663,13.5727299767,46259,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,62.833644555893066,-24.382314695967807,False,False,True,False,True,
2022-01-11 00:00:00+00:00,13.5568275397,13.5806811952,13.1990227073,13.2542041637,68714,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,62.60791975091004,-24.382314695967807,False,False,True,False,True,
2022-01-12 00:00:00+00:00,13.4614129177,13.6601933802,13.4455104808,13.6124860692,60325,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,60.02459879361855,-24.382314695967807,False,False,True,False,True,
2022-01-13 00:00:00+00:00,13.7079006912,13.7476567837,13.5409251027,13.5409251027,67861,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,62.06709681593422,-24.382314695967807,False,False,True,False,True,
2022-01-14 00:00:00+00:00,13.7397055652,13.7834372669,13.5170714472,13.5170714472,94997,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,63.81567989957539,-24.382314695967807,False,False,True,False,True,
2022-01-18 00:00:00+00:00,13.4534616993,13.7952845825,13.4375592623,13.6840470357,60449,,,,,,,,,,13.562101848033334,#000000,,13.562101848033334,,0,,,0.0,0.0,0.0,0.0,59.29449185962625,-24.382314695967807,False,False,True,False,True,
2022-01-19 00:00:00+00:00,13.3739495143,13.6045348507,13.2189007535,13.6045348507,68279,,,,,,,,,,13.47565860403684,#000000,,13.47565860403684,,0,,,0.0,0.0,0.0,0.0,55.0763620570607,-24.382314695967807,False,False,True,False,True,
