date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_61,aVWAP_BoS_CHoCH_bull_349,aVWAP_BoS_CHoCH_bull_578,aVWAP_BoS_CHoCH_bull_744,aVWAP_BoS_CHoCH_bear_44,aVWAP_BoS_CHoCH_bear_254,aVWAP_BoS_CHoCH_bear_506,aVWAP_BoS_CHoCH_bear_561,aVWAP_BoS_CHoCH_bear_675,aVWAP_BoS_CHoCH_bear_725,aVWAP_BoS_CHoCH_bear_759,aVWAP_BoS_CHoCH_bear_819,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,47.32,47.38,46.3402,46.35,54347,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,48.18,48.69,47.06,47.44,58066,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-05 00:00:00+00:00,45.7,48.0,45.57,48.0,56358,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,74.65626161278335,-51.374953548866586,False,False,True,False,True,
2022-01-06 00:00:00+00:00,45.74,46.26,44.65,45.6,83727,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,58.09775780602159,-51.374953548866586,False,False,True,False,True,
2022-01-07 00:00:00+00:00,50.66,51.1,48.35,48.57,149857,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,63.13693941197414,-51.374953548866586,False,False,True,False,True,
2022-01-10 00:00:00+00:00,51.25,51.9999,50.1101,51.12,109633,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,67.19442612843064,-51.374953548866586,False,False,True,False,True,
2022-01-11 00:00:00+00:00,51.21,52.52,50.75,51.36,83293,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,69.7539002489112,-46.202423120730685,False,False,True,False,True,
2022-01-12 00:00:00+00:00,49.96,52.5,49.91,51.78,55644,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,67.31337967852107,-44.26715460443011,False,False,True,False,True,
2022-01-13 00:00:00+00:00,50.99,51.63,49.3237,50.14,68565,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,67.32544960527498,-39.506777686844075,False,False,True,False,True,
2022-01-14 00:00:00+00:00,49.78,51.16,49.28,50.22,31953,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,64.08564725351809,-38.1404551772773,False,False,True,False,True,
