date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_33,aVWAP_BoS_CHoCH_bull_111,aVWAP_BoS_CHoCH_bear_43,aVWAP_BoS_CHoCH_bear_74,aVWAP_BoS_CHoCH_bear_115,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,7.7,8.2,7.08,8.18,220436,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,6.9,7.65,6.9,7.65,199764,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-14 00:00:00+00:00,6.8,7.35,6.5,6.9,210186,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-21 00:00:00+00:00,6.12,6.9,6.0,6.64,117743,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-28 00:00:00+00:00,5.97,6.25,5.3401,6.05,216817,,,,,,,"rgba(239, 83, 80, 0.5)",,5.853366666666666,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-02-04 00:00:00+00:00,6.39,6.8,5.91,6.24,134573,,,,,,,"rgba(239, 83, 80, 0.5)",,6.0499468792509745,,0,,,0.0,0.0,0.0,0.0,6.519163658372211,-43.83735310419502,False,False,False,True,True,
2022-02-11 00:00:00+00:00,6.84,7.48,6.14,6.4,183725,,,,,,,"rgba(239, 83, 80, 0.5)",,6.567167462975249,,0,,,0.0,0.0,0.0,0.0,15.752953253840305,-35.37592394915451,False,False,False,True,True,
2022-02-18 00:00:00+00:00,6.36,7.19,6.25,6.8,93668,,,,,,,"rgba(239, 83, 80, 0.5)",,6.551300836494808,,0,,,0.0,0.0,0.0,0.0,20.220966521291608,-31.725954913172526,False,False,False,True,True,
2022-02-25 00:00:00+00:00,6.38,6.66,5.9,6.66,63282,,,,,,,"rgba(239, 83, 80, 0.5)",,6.509151256163358,,0,,,0.0,0.0,0.0,0.0,23.5787692041478,-29.147676531840226,False,False,False,True,True,
2022-03-04 00:00:00+00:00,5.65,6.76,5.5201,6.46,121560,,,,,,,"rgba(239, 83, 80, 0.5)",,6.3904899174932615,,0,,,0.0,0.0,0.0,0.0,23.70078006540114,-29.147676531840226,False,False,False,True,True,
2022-03-11 00:00:00+00:00,5.58,6.4623,5.4019,5.75,93664,,,,,,,"rgba(239, 83, 80, 0.5)",,6.309205689230357,,0,,,0.0,0.0,0.0,0.0,23.61671596032112,-29.147676531840226,False,False,False,True,True,
2022-03-18 00:00:00+00:00,6.61,6.61,5.5,6.08,130995,,,,,,,"rgba(239, 83, 80, 0.5)",,6.296231808546267,,0,,,0.0,0.0,0.0,0.0,29.7367994441231,-24.5035374024192,False,False,False,True,True,
2022-03-25 00:00:00+00:00,6.93,7.05,5.73,6.79,125818,,,,,,,"rgba(239, 83, 80, 0.5)",,6.410697149611063,,0,,,0.0,0.0,0.0,0.0,35.45766394858267,-19.465934967969382,False,False,False,True,True,
2022-04-01 00:00:00+00:00,5.1,6.23,5.1,5.85,594247,,,,,,,"rgba(239, 83, 80, 0.5)",,5.891992938235372,,0,,,0.0,0.0,0.0,0.0,34.640450139233266,-19.465934967969382,False,False,False,True,True,
2022-04-08 00:00:00+00:00,5.1,5.4522,4.93,5.0,213573,,,,,,,"rgba(239, 83, 80, 0.5)",,5.785875413345328,,0,,,0.0,0.0,0.0,0.0,34.05672598969798,-19.465934967969382,False,False,False,True,True,
