date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_94,aVWAP_BoS_CHoCH_bull_147,aVWAP_BoS_CHoCH_bear_136,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,8.865,9.37599,8.63,9.2,936373,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,9.079,9.55,8.8,8.997,770234,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,9.127,9.477,8.85,8.928,580674,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2022-01-21 00:00:00+00:00,9.524,10.2,8.9,8.9,785467,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2022-01-28 00:00:00+00:00,8.2,9.599,8.102,9.5,926739,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,80.1979548655178,31.280879208809793,False,False,True,False,False,
2022-02-04 00:00:00+00:00,8.443,8.867,8.1,8.25,527844,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,68.4287319382729,20.967478917867595,False,False,True,False,False,
2022-02-11 00:00:00+00:00,8.889,8.997,8.21,8.401,752187,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,63.348075248421644,17.239616925105665,False,False,True,False,False,
2022-02-18 00:00:00+00:00,8.168,9.0,8.018,8.89,1140940,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,56.124020951800034,11.385556199091383,False,False,True,False,False,
2022-02-25 00:00:00+00:00,7.7,8.25,7.451,8.2,1021673,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,49.36176250317177,5.9597985986297815,False,False,False,False,False,
2022-03-04 00:00:00+00:00,8.004,8.294,7.3,7.8,1576736,,,,,#000000,,7.8660000000000005,,0,,,0.0,0.0,0.0,0.0,46.32628643876085,4.01048927937741,False,False,False,False,False,
2022-03-11 00:00:00+00:00,8.866,9.78,8.3,8.8,2014116,,,,,#000000,,8.736983305354826,,0,,,0.0,0.0,0.0,0.0,48.01402228748211,4.01048927937741,False,False,False,False,False,
2022-03-18 00:00:00+00:00,8.764,8.795,7.8,8.695,2905592,,,,,#000000,,8.57205485519183,,0,,,0.0,0.0,0.0,0.0,48.814061463205654,4.01048927937741,False,False,False,False,False,
2022-03-25 00:00:00+00:00,8.542,9.18899,8.358,8.785,870382,,,,,#000000,,8.587168286252062,,0,,,0.0,0.0,0.0,0.0,48.52045257729431,4.01048927937741,False,False,False,False,False,
2022-04-01 00:00:00+00:00,8.393,8.7,8.1,8.4,917462,,,,,#000000,,8.562589871420116,,0,,,0.0,0.0,0.0,0.0,47.749755811785086,4.01048927937741,False,False,False,False,False,
2022-04-08 00:00:00+00:00,8.161,8.6,7.808,8.59,602743,,,,,#000000,,8.534033677807452,,0,,,0.0,0.0,0.0,0.0,46.359419659194764,4.01048927937741,False,False,False,False,False,
2022-04-15 00:00:00+00:00,8.5,8.663,7.918,8.32,511844,,,,,#000000,,8.523263996733807,,0,,,0.0,0.0,0.0,0.0,46.85563675414078,4.01048927937741,False,False,False,False,False,
2022-04-22 00:00:00+00:00,7.5,8.7,7.319,8.7,937732,,,,,"rgba(239, 83, 80, 0.5)",,8.455175786634298,,0,,,0.0,0.0,0.0,0.0,44.13373305268865,3.359757555040794,False,False,False,True,False,
2022-04-29 00:00:00+00:00,6.702,7.4,6.604,7.355,1244779,,,,,"rgba(239, 83, 80, 0.5)",,8.27467222788679,,0,,,0.0,0.0,0.0,0.0,40.47604698337982,-0.30375888390361183,False,False,False,True,False,
2022-05-06 00:00:00+00:00,6.4,6.762,6.2,6.7,1282550,,,,,"rgba(239, 83, 80, 0.5)",,8.080262418428912,,0,,,0.0,0.0,0.0,0.0,37.31592492969799,-3.4395911728506547,False,False,False,True,False,
2022-05-13 00:00:00+00:00,5.03,6.298,4.61,6.1,1848345,,,,,"rgba(239, 83, 80, 0.5)",,6.911947471569565,,0,,,0.0,0.0,0.0,0.0,33.13286476327328,-7.519738446196612,False,False,False,True,False,
2022-05-20 00:00:00+00:00,5.029,5.395,5.0,5.181,796768,,,,,"rgba(239, 83, 80, 0.5)",,6.80174983493485,,0,,,0.0,0.0,0.0,0.0,30.143803847578855,-10.412595484152618,False,False,False,True,False,
2022-05-27 00:00:00+00:00,6.138,6.234,5.1,5.2,1458652,,,,,"rgba(239, 83, 80, 0.5)",,6.763177188057546,,0,,,0.0,0.0,0.0,0.0,31.886847230511485,-10.412595484152618,False,False,False,True,False,
2022-06-03 00:00:00+00:00,6.16,6.493,5.72,5.9,829018,,,,,"rgba(239, 83, 80, 0.5)",,6.75835898338579,,0,,,0.0,0.0,0.0,0.0,33.19958482857722,-10.412595484152618,False,False,False,True,False,
2022-06-10 00:00:00+00:00,5.789,6.3,5.22,6.246,593127,,,,,"rgba(239, 83, 80, 0.5)",,6.729832115249486,,0,,,0.0,0.0,0.0,0.0,33.48130442189883,-10.412595484152618,False,False,False,True,False,
2022-06-17 00:00:00+00:00,4.98,5.6,4.98,5.6,805282,,,,,"rgba(239, 83, 80, 0.5)",,6.650915391870132,,0,,,0.0,0.0,0.0,0.0,32.430529540510335,-10.412595484152618,False,False,False,True,False,
2022-06-24 00:00:00+00:00,5.0,5.175,4.72,5.1,453004,,,,,"rgba(239, 83, 80, 0.5)",,6.60215385777119,,0,,,0.0,0.0,0.0,0.0,31.747841656339187,-10.412595484152618,False,False,False,True,False,
2022-07-01 00:00:00+00:00,4.3,5.2,4.15,5.11,670237,,,,,"rgba(239, 83, 80, 0.5)",,6.5139894597998795,,0,,,0.0,0.0,0.0,0.0,30.293711690890678,-11.24079545594239,False,False,False,True,False,
2022-07-08 00:00:00+00:00,4.153,4.4,3.852,4.3,572111,,,,,"rgba(239, 83, 80, 0.5)",,6.427913913164904,,0,,,0.0,0.0,0.0,0.0,29.06684116582001,-12.736847200275918,False,False,False,True,False,
2022-07-15 00:00:00+00:00,3.561,4.3,3.265,4.18,1378578,,,,,"rgba(239, 83, 80, 0.5)",,6.208834478065703,,0,,,0.0,0.0,0.0,0.0,27.47479470298824,-14.575987862449445,False,False,False,True,False,
2022-07-22 00:00:00+00:00,3.32,3.882,3.25,3.681,850896,,,,,"rgba(239, 83, 80, 0.5)",,6.080938304079907,,0,,,0.0,0.0,0.0,0.0,26.0668988981624,-16.220277384234947,False,False,False,True,False,
2022-07-29 00:00:00+00:00,3.89,4.11,3.2,3.441,1593984,,,,,"rgba(239, 83, 80, 0.5)",,5.896787895379134,,0,,,0.0,0.0,0.0,0.0,27.113127341817695,-16.220277384234947,False,False,False,True,False,
2022-08-05 00:00:00+00:00,3.49,4.0,3.36,3.95,1430769,,,,,"rgba(239, 83, 80, 0.5)",,5.747987452313564,,0,,,0.0,0.0,0.0,0.0,27.306868974437215,-16.220277384234947,False,False,False,True,False,
2022-08-12 00:00:00+00:00,3.37,3.68,3.25,3.54,996760,,,,,"rgba(239, 83, 80, 0.5)",,5.647278823022044,,0,,,0.0,0.0,0.0,0.0,27.282333482413076,-16.220277384234947,False,False,False,True,False,
2022-08-19 00:00:00+00:00,2.9,3.41,2.9,3.32,1263490,,,,,"rgba(239, 83, 80, 0.5)",,5.51145081201178,,0,,,0.0,0.0,0.0,0.0,26.648233476143506,-16.84040543351466,False,False,False,True,False,
2022-08-26 00:00:00+00:00,3.14,3.36,2.81,2.9,1450211,,,,3.1033333333333335,"rgba(239, 83, 80, 0.5)",,4.8072993476374135,,0,,,0.0,0.0,0.0,0.0,27.085355716714155,-16.84040543351466,False,False,False,True,False,
