date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_127,aVWAP_BoS_CHoCH_bear_34,aVWAP_BoS_CHoCH_bear_74,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,302.2970650387,305.1026062456,224.3030194881,255.3042498239,271285,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,68.735759568,361.6342615637,65.23023583,286.7122836347,2742975,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-14 00:00:00+00:00,60.0385818267,78.2745996713,59.1267809345,67.1927119042,456473,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-21 00:00:00+00:00,54.2872223527,60.1788588871,50.9205729044,60.0385818267,121522,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-28 00:00:00+00:00,43.3456116459,52.690869406,42.3636722235,52.1830664475,73851,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-02-04 00:00:00+00:00,43.9067198873,50.019994177,40.9609016201,42.7845034046,56386,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.08012271714467341,-49.924258993949174,False,False,False,True,True,
2022-02-11 00:00:00+00:00,43.766442827,46.1511528528,42.0831181028,45.5900446114,59940,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.13729309034746612,-49.8735014088513,False,False,False,True,True,
2022-02-18 00:00:00+00:00,43.0650575252,48.9566940596,42.7845034046,42.9247804649,40606,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.17780842888152903,-49.839942879736164,False,False,False,True,True,
2022-02-25 00:00:00+00:00,40.3997933787,42.9247804649,35.9109274478,42.0831181028,22826,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.20546857353231962,-49.81884434226018,False,False,False,True,True,
2022-03-04 00:00:00+00:00,33.2456633012,41.3817328011,32.8248321202,40.5400704391,28656,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.22176510754846535,-49.80808286613199,False,False,False,True,True,
2022-03-11 00:00:00+00:00,23.9873773186,32.9651091806,23.9873773186,31.9831697582,47335,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.2290830122895835,-49.804936563413115,False,False,False,True,True,
2022-03-18 00:00:00+00:00,29.879013853,31.5623385771,19.4985113876,23.9873773186,68821,,,,26.9799546059,"rgba(239, 83, 80, 0.5)",,26.9799546059,,0,,,0.0,0.0,0.0,0.0,1.3118839704594858,-48.78401360957105,False,False,False,True,True,
2022-03-25 00:00:00+00:00,33.5262174219,37.0331439305,29.037351491,30.4401220944,40705,,,,29.291208066542886,"rgba(239, 83, 80, 0.5)",,29.291208066542886,,0,,,0.0,0.0,0.0,0.0,2.75618458601818,-47.464575131301245,False,False,False,True,True,
2022-04-01 00:00:00+00:00,31.5623385771,34.367879784,30.8609532754,32.5442779995,23769,,,,29.821263420024497,"rgba(239, 83, 80, 0.5)",,29.821263420024497,,0,,,0.0,0.0,0.0,0.0,3.762510707957871,-46.605430672433826,False,False,False,True,True,
2022-04-08 00:00:00+00:00,29.5984597323,33.6664944823,28.7567973703,31.4220615168,16465,,,,29.91500637144292,"rgba(239, 83, 80, 0.5)",,29.91500637144292,,0,,,0.0,0.0,0.0,0.0,4.454960037104071,-46.0577865426964,False,False,False,True,True,
2022-04-15 00:00:00+00:00,27.3540267668,30.5803991547,27.0734726462,28.3359661892,11827,,,,29.79943204779688,"rgba(239, 83, 80, 0.5)",,29.79943204779688,,0,,,0.0,0.0,0.0,0.0,4.918331299301583,-45.722610711888265,False,False,False,True,True,
2022-04-22 00:00:00+00:00,27.9151350082,29.458182672,25.9512561634,27.3540267668,11790,,,,29.661756758466826,"rgba(239, 83, 80, 0.5)",,28.718307353166743,,0,,,0.0,0.0,0.0,0.0,5.375742667100639,-45.37834893649838,False,False,False,True,True,
2022-04-29 00:00:00+00:00,27.4943038272,28.7567973703,26.0915332238,28.0554120686,5341,,,,29.595584878565248,"rgba(239, 83, 80, 0.5)",,28.63419755340524,,0,,,0.0,0.0,0.0,0.0,5.6954397546549,-45.150982758801774,False,False,False,True,True,
2022-05-06 00:00:00+00:00,28.3359661892,30.7908147452,27.3540267668,28.0554120686,10973,,,,29.55112106511386,"rgba(239, 83, 80, 0.5)",,28.837275584776513,,0,,,0.0,0.0,0.0,0.0,6.137985483098683,-44.790104250969264,False,False,False,True,True,
2022-05-13 00:00:00+00:00,28.4061047194,29.7387367927,26.6526414651,27.3540267668,13341,,,,29.46666590863569,"rgba(239, 83, 80, 0.5)",,28.81796664299883,,0,,,0.0,0.0,0.0,0.0,6.473046845489785,-44.52139162051962,False,False,False,True,True,
