date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_120,aVWAP_BoS_CHoCH_bull_378,aVWAP_BoS_CHoCH_bull_492,aVWAP_BoS_CHoCH_bull_552,aVWAP_BoS_CHoCH_bull_735,aVWAP_BoS_CHoCH_bull_827,aVWAP_BoS_CHoCH_bear_89,aVWAP_BoS_CHoCH_bear_158,aVWAP_BoS_CHoCH_bear_569,aVWAP_BoS_CHoCH_bear_703,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-02-03 15:00:00+00:00,116.67,119.555,116.67,119.185,9753.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-02-03 16:00:00+00:00,119.035,119.83,118.41,119.37,10917.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2025-02-03 17:00:00+00:00,119.33,119.4,118.64,118.96,6584.0,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,76.20889748549314,-33.26885880077401,False,False,True,False,True,
2025-02-03 18:00:00+00:00,118.83,119.075,118.62,118.67,4316.0,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,56.89177077290399,-33.26885880077401,False,False,False,False,True,
2025-02-03 19:00:00+00:00,118.685,118.91,118.59,118.85,9690.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,49.514157346751276,-33.26885880077401,False,False,False,True,True,
2025-02-03 20:00:00+00:00,118.84,119.19,118.47,118.85,22331.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,44.595748395982795,-33.26885880077401,False,False,False,True,True,
2025-02-04 15:00:00+00:00,118.72,119.59,118.53,119.075,11820.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,46.58089508935412,-33.26885880077401,False,False,False,True,True,
2025-02-04 16:00:00+00:00,119.11,119.685,119.08,119.23,5904.0,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,50.508023768830704,-33.26885880077401,False,False,False,False,True,
2025-02-04 17:00:00+00:00,119.23,119.31,118.74,118.74,12230.0,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,46.12830801264446,-33.26885880077401,False,False,False,True,True,
2025-02-04 18:00:00+00:00,118.74,118.99,118.58,118.605,4866.0,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,41.95903404036289,-33.26885880077401,False,False,False,True,True,
2025-02-04 19:00:00+00:00,118.605,118.7,118.15,118.21,23191.0,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,36.39773677992042,-33.26885880077401,False,False,False,True,True,
2025-02-04 20:00:00+00:00,118.23,118.355,117.4,117.96,61334.0,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,31.424806541678805,-33.26885880077401,False,False,False,True,False,
2025-02-05 15:00:00+00:00,113.33,114.47,113.07,113.44,23339.0,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,22.715521727426147,-33.26885880077401,False,False,False,True,False,
2025-02-05 16:00:00+00:00,113.49,114.51,112.545,112.565,29800.0,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,16.66046605813554,-6.114589142312795,False,False,False,True,False,
2025-02-05 17:00:00+00:00,112.57,112.63,111.865,112.335,36424.0,,,,,,,,,,,112.27666666666667,"rgba(239, 83, 80, 1.0)",,112.27666666666667,,0,,,0.0,0.0,0.0,0.0,12.563071572124088,-12.227317009943455,False,False,False,True,False,
2025-02-05 18:00:00+00:00,112.3,113.79,112.3,113.27,15041.0,,,,,,,,,,,112.52313663007222,"rgba(239, 83, 80, 1.0)",,112.52313663007222,,0,,,0.0,0.0,0.0,0.0,14.762452684163165,-12.227317009943455,False,False,False,True,False,
2025-02-05 19:00:00+00:00,113.29,113.52,112.84,113.36,15369.0,,,,,,,,,,,112.68798495775604,"rgba(239, 83, 80, 1.0)",,112.68798495775604,,0,,,0.0,0.0,0.0,0.0,16.672642113548775,-12.260327517896997,False,False,False,True,False,
2025-02-05 20:00:00+00:00,113.36,114.18,113.215,114.13,50554.0,,,,,,,,,,,113.18482641610159,"rgba(38, 166, 154, 1.0)",,113.18482641610159,,0,,,0.0,0.0,0.0,0.0,21.573402275294224,-12.260327517896997,False,False,False,True,False,
2025-02-06 15:00:00+00:00,114.01,114.18,113.47,113.68,10743.0,,,,,,,,,,,113.23444859817947,"rgba(38, 166, 154, 1.0)",,113.23444859817947,,0,,,0.0,0.0,0.0,0.0,23.977170967268506,-12.260327517896997,False,False,False,True,False,
2025-02-06 16:00:00+00:00,113.685,114.445,113.68,114.24,8114.0,,,,,,,,,,,113.2872864080639,"rgba(38, 166, 154, 1.0)",,113.2872864080639,,0,,,0.0,0.0,0.0,0.0,28.03910236238453,-12.260327517896997,False,False,False,True,True,
2025-02-06 17:00:00+00:00,114.24,114.31,113.43,113.51,4548.0,,,,,,,,,,,113.30223332599395,"rgba(38, 166, 154, 1.0)",,113.30223332599395,,0,,,0.0,0.0,0.0,0.0,29.157114391472398,-12.260327517896997,False,False,False,True,True,
2025-02-06 18:00:00+00:00,113.49,113.67,112.745,112.745,7302.0,,,,,,,,,,,113.2899610160145,"rgba(38, 166, 154, 1.0)",,113.2899610160145,,0,,,0.0,0.0,0.0,0.0,28.49422671052293,-12.260327517896997,False,False,False,True,True,
2025-02-06 19:00:00+00:00,112.76,112.865,112.28,112.825,5678.0,,,,,,,,,,,113.26657690231707,"rgba(38, 166, 154, 1.0)",,113.26657690231707,,0,,,0.0,0.0,0.0,0.0,28.43067203723723,-12.260327517896997,False,False,False,True,True,
2025-02-06 20:00:00+00:00,112.83,113.79,112.82,113.5,21184.0,,,,,,,,,,,113.27909949301831,"rgba(38, 166, 154, 1.0)",,113.27909949301831,,0,,,0.0,0.0,0.0,0.0,31.46824333496012,-12.260327517896997,False,False,False,True,True,
2025-02-07 15:00:00+00:00,112.84,113.53,112.725,113.04,4804.0,,,,,,,,,,,113.27426863075605,"rgba(38, 166, 154, 1.0)",,113.27426863075605,,0,,,0.0,0.0,0.0,0.0,32.368000017241386,-12.260327517896997,False,False,False,True,True,
