date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_122,aVWAP_BoS_CHoCH_bull_277,aVWAP_BoS_CHoCH_bull_383,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2023-12-14 17:00:00+00:00,3.24,3.44,3.24,3.43,5490.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2023-12-15 17:00:00+00:00,3.15,3.195,3.15,3.19,1012.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2023-12-18 17:00:00+00:00,3.21,3.275,3.15,3.15,2140.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2023-12-19 17:00:00+00:00,3.25,3.37,3.24,3.34,4921.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,15.254237288135585,-36.27118644067797,False,False,False,True,True,
2023-12-20 17:00:00+00:00,3.33,3.38,3.3,3.3,706.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,23.932066978140014,-29.376393956962122,False,False,False,True,True,
2023-12-21 17:00:00+00:00,3.3,3.31,3.275,3.31,362.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,30.241124967529394,-24.707047141132286,False,False,False,True,True,
2023-12-22 17:00:00+00:00,3.395,3.395,3.395,3.395,0.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,38.32877612817847,-18.27964936327976,False,False,False,True,True,
2023-12-25 17:00:00+00:00,3.395,3.395,3.395,3.395,0.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,43.720543568611184,-14.225283812221775,False,False,False,True,True,
2023-12-26 17:00:00+00:00,3.4,3.55,3.4,3.52,502.0,,,,,"rgba(38, 166, 154, 1.0)",,3.4899999999999998,,0,,,0.0,0.0,0.0,0.0,51.48543719977589,-7.774983658140059,False,False,True,False,True,
2023-12-27 17:00:00+00:00,3.44,3.46,3.41,3.45,124.0,,,,,"rgba(239, 83, 80, 1.0)",,3.4800958466453675,,0,,,0.0,0.0,0.0,0.0,53.36344532435078,-6.5556993370391226,False,False,True,False,True,
2023-12-28 17:00:00+00:00,3.345,3.37,3.32,3.33,338.0,,,,,"rgba(239, 83, 80, 1.0)",,3.43097510373444,,0,,,0.0,0.0,0.0,0.0,50.39513288097234,-6.5556993370391226,False,False,False,False,True,
2023-12-29 17:00:00+00:00,3.235,3.265,3.16,3.165,255.0,,,,,"rgba(239, 83, 80, 1.0)",,3.3819606234618536,,0,,,0.0,0.0,0.0,0.0,44.6323972557773,-6.5556993370391226,False,False,False,True,False,
2024-01-01 17:00:00+00:00,3.165,3.165,3.165,3.165,0.0,,,,,"rgba(239, 83, 80, 1.0)",,3.3819606234618536,,0,,,0.0,0.0,0.0,0.0,40.790573505647274,1.6019126861395563,False,False,False,True,False,
2024-01-02 17:00:00+00:00,3.3,3.33,3.28,3.28,2015.0,,,,,"rgba(38, 166, 154, 1.0)",,3.3288167388167387,,0,,,0.0,0.0,0.0,0.0,42.32822431576855,1.6019126861395563,False,False,False,True,False,
2024-01-03 17:00:00+00:00,3.24,3.24,3.15,3.15,229.0,,,,,"rgba(239, 83, 80, 1.0)",,3.31897583983059,,0,,,0.0,0.0,0.0,0.0,40.48562593549781,0.8056718165909729,False,False,False,True,False,
2024-01-04 17:00:00+00:00,3.115,3.265,3.115,3.255,381.0,,,,,"rgba(38, 166, 154, 1.0)",,3.2600032518210202,,0,,,0.0,0.0,0.0,0.0,42.35154581163809,0.8056718165909729,False,False,False,True,False,
2024-01-05 17:00:00+00:00,3.3,3.4,3.3,3.4,369.0,,,,,"rgba(38, 166, 154, 1.0)",,3.300687559933539,,0,,,0.0,0.0,0.0,0.0,46.93465790432411,0.8056718165909729,False,False,False,True,True,
2024-01-08 17:00:00+00:00,3.34,3.34,3.215,3.305,101.0,,,,,"rgba(38, 166, 154, 1.0)",,3.300299279520798,,0,,,0.0,0.0,0.0,0.0,47.73762266340032,0.8056718165909729,False,False,False,False,True,
2024-01-09 17:00:00+00:00,3.3,3.4,3.3,3.39,568.0,,,,,"rgba(38, 166, 154, 1.0)",,3.3333508398229537,,0,,,0.0,0.0,0.0,0.0,50.09879208986789,0.8056718165909729,False,False,False,False,True,
2024-01-10 17:00:00+00:00,3.27,3.395,3.27,3.34,117.0,,,,,"rgba(38, 166, 154, 1.0)",,3.3322959897830806,,0,,,0.0,0.0,0.0,0.0,50.452599456122,0.8056718165909729,False,False,False,False,True,
2024-01-11 17:00:00+00:00,3.255,3.27,3.255,3.27,0.0,,,,,"rgba(38, 166, 154, 1.0)",,3.3322959897830806,,0,,,0.0,0.0,0.0,0.0,49.065534540292575,0.8056718165909729,False,False,False,False,True,
2024-01-12 17:00:00+00:00,3.29,3.29,3.24,3.24,230.0,,,,,"rgba(38, 166, 154, 1.0)",,3.3201292312574036,,0,,,0.0,0.0,0.0,0.0,47.46386689274587,0.8056718165909729,False,False,False,True,True,
2024-01-15 17:00:00+00:00,3.24,3.24,3.24,3.24,0.0,,,,,"rgba(38, 166, 154, 1.0)",,3.3201292312574036,,0,,,0.0,0.0,0.0,0.0,46.39608846104806,0.8056718165909729,False,False,False,True,False,
2024-01-16 17:00:00+00:00,3.26,3.26,3.03,3.03,110.0,,,,,"rgba(239, 83, 80, 1.0)",,3.3065997121254704,,0,,,0.0,0.0,0.0,0.0,41.554896825058464,-1.9134260860618326,False,False,False,True,False,
2024-01-17 17:00:00+00:00,2.95,2.995,2.95,2.96,110.0,,,,,"rgba(239, 83, 80, 1.0)",,3.287185964549504,,0,,,0.0,0.0,0.0,0.0,37.31826261839267,-6.053543338070092,False,False,False,True,False,
2024-01-18 17:00:00+00:00,2.93,2.98,2.93,2.98,202.0,,,,,"rgba(239, 83, 80, 1.0)",,3.257614793219037,,0,,,0.0,0.0,0.0,0.0,35.19655253794488,-8.166439321233774,False,False,False,True,False,
2024-01-19 17:00:00+00:00,2.98,3.05,2.98,3.05,498.0,,,,,"rgba(239, 83, 80, 1.0)",,3.2182772118263183,,0,,,0.0,0.0,0.0,0.0,36.18653474847537,-8.166439321233774,False,False,False,True,False,
2024-01-22 17:00:00+00:00,3.1,3.1,3.015,3.015,1205.0,,,,,"rgba(239, 83, 80, 1.0)",,3.1714137291541014,,0,,,0.0,0.0,0.0,0.0,36.14040343308948,-8.166439321233774,False,False,False,True,False,
2024-01-23 17:00:00+00:00,2.99,3.04,2.97,3.035,1604.0,,,,,"rgba(239, 83, 80, 1.0)",,3.132083760951082,,0,,,0.0,0.0,0.0,0.0,36.84405769554347,-8.166439321233774,False,False,False,True,False,
2024-01-24 17:00:00+00:00,3.035,3.035,2.97,2.995,933.0,,,,,"rgba(239, 83, 80, 1.0)",,3.115583188253312,,0,,,0.0,0.0,0.0,0.0,36.39590473614594,-8.33020354099395,False,False,False,True,False,
2024-01-25 17:00:00+00:00,2.935,3.02,2.935,2.99,631.0,,,,,"rgba(239, 83, 80, 1.0)",,3.10515770613994,,0,,,0.0,0.0,0.0,0.0,35.978625260807995,-9.199462180894862,False,False,False,True,False,
2024-01-26 17:00:00+00:00,3.01,3.025,2.98,2.98,379.0,,,,,"rgba(239, 83, 80, 1.0)",,3.100313801276594,,0,,,0.0,0.0,0.0,0.0,35.4422774986088,-10.164318334526321,False,False,False,True,False,
2024-01-29 17:00:00+00:00,2.98,2.98,2.92,2.95,202.0,,,,,"rgba(239, 83, 80, 1.0)",,3.096794258753493,,0,,,0.0,0.0,0.0,0.0,34.29160676639651,-11.649903530708627,False,False,False,True,False,
2024-01-30 17:00:00+00:00,2.965,3.0,2.95,2.95,558.0,,,,,"rgba(239, 83, 80, 1.0)",,3.0889746461476175,,0,,,0.0,0.0,0.0,0.0,33.52449294492165,-12.716990815092615,False,False,False,True,False,
2024-01-31 17:00:00+00:00,2.95,2.97,2.875,2.88,1134.0,,,,,"rgba(239, 83, 80, 1.0)",,3.069061216770077,,0,,,0.0,0.0,0.0,0.0,31.203110003754283,-15.148559128004507,False,False,False,True,False,
