date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_182,aVWAP_BoS_CHoCH_bear_168,aVWAP_BoS_CHoCH_bear_218,aVWAP_BoS_CHoCH_bear_340,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2023-12-19 17:00:00+00:00,20.695,21.17,20.695,21.04,1415.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2023-12-20 17:00:00+00:00,20.93,20.93,20.65,20.65,220.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2023-12-21 17:00:00+00:00,20.65,21.06,20.65,21.06,728.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,18.061674008810563,-77.09251101321584,False,False,False,True,True,
2023-12-22 17:00:00+00:00,21.08,21.28,21.08,21.17,1507.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,32.24935074321402,-62.51743455137168,False,False,False,True,True,
2023-12-25 17:00:00+00:00,21.17,21.17,21.17,21.17,0.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,41.707801899483,-51.966221273384114,False,False,False,True,True,
2023-12-26 17:00:00+00:00,21.19,21.355,21.075,21.295,700.0,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,50.220537476373735,-41.85843056936788,False,False,True,False,True,
2023-12-27 17:00:00+00:00,21.42,21.42,21.22,21.22,130.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,53.61074970234613,-36.10324556280274,False,False,True,False,True,
2023-12-28 17:00:00+00:00,20.89,20.92,20.85,20.89,359.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,49.11985079468401,-36.10324556280274,False,False,False,False,True,
2023-12-29 17:00:00+00:00,20.89,20.915,20.855,20.86,268.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,45.68224072421749,-36.10324556280274,False,False,False,True,True,
2024-01-01 17:00:00+00:00,20.86,20.86,20.86,20.86,0.0,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,43.390500677239814,-36.10324556280274,False,False,False,True,True,
