date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_78,aVWAP_BoS_CHoCH_bull_104,aVWAP_BoS_CHoCH_bull_142,aVWAP_BoS_CHoCH_bull_178,aVWAP_BoS_CHoCH_bear_24,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,23.6088646628,23.6179730211,23.1989885402,23.1989885402,72758,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,23.1625551071,23.6606912214,22.9530628666,23.5818128387,54529,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-14 00:00:00+00:00,23.1716634654,23.290072123,23.0987965991,23.0987965991,36839,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.611371511428205,-51.528428778570515,False,False,False,True,True,
2022-01-21 00:00:00+00:00,23.0532548077,23.2244919434,23.0077130163,23.0077130163,25286,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.9076885212750233,-51.21488222566846,False,False,False,True,True,
2022-01-28 00:00:00+00:00,22.9608049712,23.1427899696,22.8051074504,22.998604658,42936,,,,,,,"rgba(239, 83, 80, 0.5)",,22.969567463733334,,0,,,0.0,0.0,0.0,0.0,1.043452947522454,-51.040185879658786,False,False,False,True,True,
2022-02-04 00:00:00+00:00,23.1256611696,23.4004215003,22.9241702604,22.9699636489,65337,,,,,,,"rgba(239, 83, 80, 0.5)",,23.07849978472803,,0,,,0.0,0.0,0.0,0.0,7.772692421461384,-44.61658758170821,False,False,False,True,True,
2022-02-11 00:00:00+00:00,23.1256611696,23.2172479465,23.0707091035,23.0707091035,50524,,,,,,,"rgba(239, 83, 80, 0.5)",,23.09739031279484,,0,,,0.0,0.0,0.0,0.0,12.579292045703477,-40.26952289973342,False,False,False,True,True,
2022-02-18 00:00:00+00:00,23.1256611696,23.1989305911,23.0432330704,23.1714545581,32857,,,,,,,"rgba(239, 83, 80, 0.5)",,23.101713659299396,,0,,,0.0,0.0,0.0,0.0,16.012577491590687,-37.331313958319114,False,False,False,True,True,
2022-02-25 00:00:00+00:00,23.0352650208,23.2859380292,22.9974396819,23.0615504258,49520,,,,,,,"rgba(239, 83, 80, 0.5)",,23.102637759545374,,0,,,0.0,0.0,0.0,0.0,17.50217074479322,-36.249977480983326,False,False,False,True,True,
2022-03-04 00:00:00+00:00,23.1256611696,23.4920082773,23.0798677812,23.1256611696,36641,,,,,,,"rgba(239, 83, 80, 0.5)",,23.176139663481816,,0,,,0.0,0.0,0.0,0.0,21.446992261122,-32.77483266932399,False,False,False,True,True,
2022-03-11 00:00:00+00:00,22.9608049712,23.1256611696,22.9263683431,23.0798677812,33888,,,,,,,"rgba(239, 83, 80, 0.5)",,23.115030398001394,,0,,,0.0,0.0,0.0,0.0,22.475034879061358,-32.09664134452752,False,False,False,True,True,
2022-03-18 00:00:00+00:00,22.8966942273,23.0615504258,22.6494099297,22.9012735662,54490,,,,,,,"rgba(239, 83, 80, 0.5)",,23.04205045011151,,0,,,0.0,0.0,0.0,0.0,22.65873834171562,-32.09664134452752,False,False,False,True,True,
2022-03-25 00:00:00+00:00,22.7684727397,22.9692309547,22.6002278305,22.8966942273,96600,,,,,,,"rgba(239, 83, 80, 0.5)",,22.960745810808163,,0,,,0.0,0.0,0.0,0.0,21.85501734970613,-32.09664134452752,False,False,False,True,True,
2022-04-01 00:00:00+00:00,22.0907305905,22.7959487727,21.6877487721,22.7959487727,174503,,,,,,,"rgba(239, 83, 80, 0.5)",,22.690151099225655,,0,,,0.0,0.0,0.0,0.0,18.758011140185292,-32.09664134452752,False,False,False,True,False,
2022-04-08 00:00:00+00:00,21.8251289375,22.1402790368,21.2572909207,21.9258743921,39529,,,,,,,"rgba(239, 83, 80, 0.5)",,22.62092206901571,,0,,,0.0,0.0,0.0,0.0,16.05043228502125,-28.639710827108242,False,False,False,True,False,
2022-04-15 00:00:00+00:00,21.3501757889,21.7976529044,20.9789669275,21.751859516,47381,,,,,,,"rgba(239, 83, 80, 0.5)",,22.52081285815727,,0,,,0.0,0.0,0.0,0.0,13.501974272684517,-30.96784558806216,False,False,False,True,False,
2022-04-22 00:00:00+00:00,20.9513266549,21.3475038959,20.6288568075,21.2000891085,73496,,,,,,,"rgba(239, 83, 80, 0.5)",,21.89193255159844,,0,,,0.0,0.0,0.0,0.0,11.33016330393162,-32.93860971979725,False,False,False,True,False,
2022-04-29 00:00:00+00:00,21.3751441685,21.623814488,20.739417898,20.9513266549,87626,,,,,,,"rgba(239, 83, 80, 0.5)",,21.856106931373628,,0,,,0.0,0.0,0.0,0.0,14.192590917588845,-32.93860971979725,False,False,False,True,False,
2022-05-06 00:00:00+00:00,21.1079548664,21.5409858043,20.651890368,21.2000891085,62319,,,,,,,"rgba(239, 83, 80, 0.5)",,21.79743642843029,,0,,,0.0,0.0,0.0,0.0,15.62831648043964,-32.93860971979725,False,False,False,True,True,
2022-05-13 00:00:00+00:00,21.3475038959,21.4580649864,20.891255129,20.9513266549,34185,,,,,,,"rgba(239, 83, 80, 0.5)",,21.778643234066326,,0,,,0.0,0.0,0.0,0.0,18.673318656939422,-37.62298594850745,False,False,False,True,True,
2022-05-20 00:00:00+00:00,21.0803145938,21.3290770475,20.7486313222,21.1908756843,60738,,,,,,,"rgba(239, 83, 80, 0.5)",,21.72753569116055,,0,,,0.0,0.0,0.0,0.0,20.13736436584574,-36.28571940346262,False,False,False,True,True,
2022-05-27 00:00:00+00:00,21.5409858043,21.6422413364,21.0618877454,21.1448085633,56250,,,,,,,"rgba(239, 83, 80, 0.5)",,21.643072132285795,,0,,,0.0,0.0,0.0,0.0,24.423778623550305,-32.23042303891229,False,False,False,True,True,
2022-06-03 00:00:00+00:00,21.1816622601,21.4600919398,21.0526743212,21.264583078,206748,,,,,,,"rgba(239, 83, 80, 0.5)",,21.54687826887283,,0,,,0.0,0.0,0.0,0.0,26.37478253015758,-30.459092394417834,False,False,False,True,True,
2022-06-10 00:00:00+00:00,20.5090822928,21.2644909438,20.5090822928,21.0987414422,76234,,,,,,,"rgba(239, 83, 80, 0.5)",,21.47258593023266,,0,,,0.0,0.0,0.0,0.0,26.146978373204405,-30.459092394417834,False,False,False,True,True,
2022-06-17 00:00:00+00:00,20.1405453243,20.5436326335,19.7259412349,20.2695332633,72283,,,,,,20.136706397566666,"rgba(239, 83, 80, 0.5)",,20.93351891398343,,0,,,-1.0,0.0,19.72594,38.0,25.28026799242504,-30.459092394417834,False,False,False,True,True,
2022-06-24 00:00:00+00:00,20.1313319001,20.5459359896,19.8917828706,20.2050392938,28613,,,,,,20.15173014790939,"rgba(239, 83, 80, 0.5)",,20.90845322497599,,0,,,0.0,0.0,0.0,0.0,24.644192611096106,-30.459092394417834,False,False,False,True,True,
2022-07-01 00:00:00+00:00,20.6841373528,20.7302044738,19.9885238249,20.1497587485,62664,,,,,,20.27275631408656,"rgba(239, 83, 80, 0.5)",,20.90115553080813,,0,,,0.0,0.0,0.0,0.0,27.31089958498265,-29.415523912765657,False,False,False,True,True,
2022-07-08 00:00:00+00:00,20.4998688685,20.868405837,20.3985212022,20.7302044738,31329,,,,,,20.323582513102888,"rgba(239, 83, 80, 0.5)",,20.900971636877564,,0,,,0.0,0.0,0.0,0.0,28.747232748431742,-27.929012667516105,False,False,False,True,True,
2022-07-15 00:00:00+00:00,20.4261614749,20.6703172164,20.1667114491,20.4998688685,18601,,,,,,20.332075845847434,"rgba(239, 83, 80, 0.5)",,20.893010931699383,,0,,,0.0,0.0,0.0,0.0,29.58597719694805,-26.99340312752537,False,False,False,True,True,
2022-07-22 00:00:00+00:00,20.6196433833,20.6749239285,20.3800943538,20.3800943538,37542,,,,,,20.36589593523251,"rgba(239, 83, 80, 0.5)",,20.886980858593997,,0,,,0.0,0.0,0.0,0.0,31.237436934467347,-25.25529244117165,False,False,False,True,True,
2022-07-29 00:00:00+00:00,21.0081043816,21.045188414,20.4538017475,20.6196433833,82728,,,,,,20.48234428192058,"rgba(239, 83, 80, 0.5)",,20.906282574769357,,0,,,0.0,0.0,0.0,0.0,34.3361997817221,-22.15820215793043,False,False,False,True,True,
2022-08-05 00:00:00+00:00,20.8412262355,21.0822724465,20.7021611139,21.0081043816,36345,,,,,20.875219931966672,20.520925402145718,"rgba(239, 83, 80, 0.5)",,20.784015993215696,,0,,,0.0,0.0,0.0,0.0,36.000719804446256,-20.484516100464795,False,False,False,True,True,
2022-08-12 00:00:00+00:00,20.8412262355,20.9988333734,20.6743480895,20.7763291788,48363,,,,,20.8540472556693,20.55758591449537,"rgba(239, 83, 80, 0.5)",,20.787236154007537,,0,,,0.0,0.0,0.0,0.0,37.18966267782065,-19.252243984114877,False,False,False,True,True,
2022-08-19 00:00:00+00:00,20.4518438948,20.8606026425,20.3684048218,20.7577871625,81971,,,,,20.709577434382837,20.558027821011773,"rgba(239, 83, 80, 0.5)",,20.73853520332444,,0,,,0.0,0.0,0.0,0.0,36.78867686062964,-19.252243984114877,False,False,False,True,True,
2022-08-26 00:00:00+00:00,20.4054888543,20.54918948,20.136629619,20.4054888543,38848,,,,,20.644213984742134,20.54403424368826,"rgba(239, 83, 80, 0.5)",,20.70963244083719,,0,,,0.0,0.0,0.0,0.0,36.36211252565801,-19.252243984114877,False,False,False,True,True,
2022-09-02 00:00:00+00:00,20.0068355055,20.4795642091,19.8863124,20.2756947407,68457,,,,,20.514293847031773,20.49674782954495,"rgba(239, 83, 80, 0.5)",,20.64338713373478,,0,,,0.0,0.0,0.0,0.0,34.92659959448673,-19.252243984114877,False,False,False,True,True,
2022-09-09 00:00:00+00:00,20.0624615541,20.2386107083,19.8492283676,19.9790224811,27433,,,,,20.472045984287824,20.477457326036518,"rgba(239, 83, 80, 0.5)",,20.6190612929962,,0,,,0.0,0.0,0.0,0.0,34.22469020893522,-19.252243984114877,False,False,False,True,True,
2022-09-16 00:00:00+00:00,20.1273586109,20.2664237326,19.9048544162,20.1551716353,78612,,,,,20.394991335127745,20.435836626273417,"rgba(239, 83, 80, 0.5)",,20.567705088087745,,0,,,0.0,0.0,0.0,0.0,34.11295102570177,-19.252243984114877,False,False,False,True,True,
2022-09-23 00:00:00+00:00,19.1724447754,20.1180876028,19.0055666294,20.0068355055,86741,,,,,20.216042455106383,20.327070021490538,"rgba(239, 83, 80, 0.5)",,20.452333141114636,,0,,,0.0,0.0,0.0,0.0,31.698789718049206,-19.252243984114877,False,False,False,True,False,
2022-09-30 00:00:00+00:00,19.469117035,19.4969300593,18.9313985645,18.9405768625,101381,,,,,20.052431688433074,20.21152457808892,"rgba(239, 83, 80, 0.5)",,20.333870842352237,,0,,,0.0,0.0,0.0,0.0,31.554612231014346,-19.252243984114877,False,False,False,True,False,
2022-10-07 00:00:00+00:00,19.4876590512,19.6638082053,19.2836968727,19.6035466526,68425,,,,,19.990728236788343,20.159826127852202,"rgba(239, 83, 80, 0.5)",,20.280766247290057,,0,,,0.0,0.0,0.0,0.0,31.549088179442812,-19.252243984114877,False,False,False,True,False,
2022-10-14 00:00:00+00:00,19.1447244612,20.1922556677,19.0055666294,19.6081821567,96345,,,,,19.919321055345094,20.09548865568844,"rgba(239, 83, 80, 0.5)",,20.214740402008047,,0,,,0.0,0.0,0.0,0.0,30.739174553076424,-14.30721177196299,False,False,False,True,False,
2022-10-21 00:00:00+00:00,18.4029511021,19.4319402925,18.3751380778,19.218799816,153459,,,,,19.714569761057625,19.924588631091577,"rgba(239, 83, 80, 0.5)",,20.04522189784614,,0,,,0.0,0.0,0.0,0.0,28.751939229860156,-16.41564925556895,False,False,False,True,False,
2022-10-28 00:00:00+00:00,18.9114658971,18.9114658971,18.3658670697,18.5575915174,132543,,,,,19.58644339897345,19.26854846977636,"rgba(239, 83, 80, 0.5)",,19.55036173617185,,0,,,0.0,0.0,0.0,0.0,29.77132926200313,-16.41564925556895,False,False,False,True,False,
2022-11-04 00:00:00+00:00,19.0328129142,19.4621013231,18.8741283533,18.8741283533,148378,,,,,19.527535972225593,19.33861597797799,"rgba(239, 83, 80, 0.5)",,19.551421015691936,,0,,,0.0,0.0,0.0,0.0,31.037767167668065,-16.41564925556895,False,False,False,True,False,
2022-11-11 00:00:00+00:00,19.6955543153,19.9662515073,18.9768065986,19.1074880016,134659,,,,,19.52946678181897,19.429280869056093,"rgba(239, 83, 80, 0.5)",,19.58948520785609,,0,,,0.0,0.0,0.0,0.0,34.5756770676233,-20.105250942957067,False,False,False,True,True,
2022-11-18 00:00:00+00:00,19.6395479997,19.8261423745,19.4745160564,19.6488823856,117943,,,,,19.539207603339886,19.483286397337324,"rgba(239, 83, 80, 0.5)",,19.614370100728753,,0,,,0.0,0.0,0.0,0.0,36.94738143782161,-17.82971849964362,False,False,False,True,True,
