date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_61,aVWAP_BoS_CHoCH_bull_94,aVWAP_BoS_CHoCH_bear_39,aVWAP_BoS_CHoCH_bear_53,aVWAP_BoS_CHoCH_bear_107,aVWAP_BoS_CHoCH_bear_155,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,4.12,4.21,3.16,3.83,845214,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,5.4,5.5,4.0,4.15,2002271,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,6.12,6.15,5.3,5.3,2185290,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2022-01-21 00:00:00+00:00,5.87,6.85,5.76,6.51,1849517,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,96.49348099155007,46.68524374982468,False,False,True,False,False,
2022-01-28 00:00:00+00:00,7.1001,7.33,5.2101,5.62,2646833,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,95.36631648109315,45.76354311723932,False,False,True,False,False,
2022-02-04 00:00:00+00:00,7.27,8.58,6.8,7.81,2502892,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,94.67816766422048,45.26412905409501,False,False,True,False,False,
2022-02-11 00:00:00+00:00,7.42,7.47,6.73,7.35,2438291,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,94.28603291942864,45.02878357726546,False,False,True,False,False,
2022-02-18 00:00:00+00:00,7.6,8.62,7.22,7.42,2784095,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,94.12016760318981,44.980425324763374,False,False,True,False,False,
2022-02-25 00:00:00+00:00,8.55,8.8,7.3,7.76,3090468,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,94.45572530666627,44.980425324763374,False,False,True,False,False,
2022-03-04 00:00:00+00:00,8.44,8.83,7.9,8.55,3209915,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,93.86854648611491,44.91350637623255,False,False,True,False,False,
2022-03-11 00:00:00+00:00,8.04,9.0,7.8602,8.75,3573612,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,90.65592191604426,41.92901815710465,False,False,True,False,False,
2022-03-18 00:00:00+00:00,7.4,7.94,6.74,7.94,4137004,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.359999999999999,,0,,,0.0,0.0,0.0,0.0,84.73682376147465,36.48839544778704,False,False,True,False,False,
2022-03-25 00:00:00+00:00,8.83,8.83,7.46,7.65,3881319,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.850510287500265,,0,,,0.0,0.0,0.0,0.0,82.81725744018122,35.01276986486178,False,False,True,False,False,
2022-04-01 00:00:00+00:00,8.87,9.49,8.17,8.9,4664790,,,,,,,,"rgba(38, 166, 154, 0.5)",,8.215665988310597,,0,,,0.0,0.0,0.0,0.0,81.49632259577427,34.069660890935836,False,False,True,False,False,
2022-04-08 00:00:00+00:00,8.68,9.2,8.25,8.98,2968282,,,,,,,,"rgba(38, 166, 154, 0.5)",,8.309416273757067,,0,,,0.0,0.0,0.0,0.0,79.67977941296746,32.60152443466389,False,False,True,False,False,
2022-04-15 00:00:00+00:00,9.11,9.35,8.095,8.5,2862118,,,,,,,,"rgba(38, 166, 154, 0.5)",,8.393246101734807,,0,,,0.0,0.0,0.0,0.0,78.99705776653273,32.1772357623078,False,False,True,False,False,
2022-04-22 00:00:00+00:00,8.2,9.84,8.1,9.2,3494606,,,,,,,,"rgba(38, 166, 154, 0.5)",,8.578702583578359,,0,,,0.0,0.0,0.0,0.0,74.88655587839031,28.439699410768142,False,False,True,False,False,
2022-04-29 00:00:00+00:00,8.19,8.56,7.445,7.92,2403815,,,,,,,,"rgba(38, 166, 154, 0.5)",,8.427929828034959,,0,,,0.0,0.0,0.0,0.0,71.9148945443548,25.86058467720578,False,False,True,False,False,
