date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_73,aVWAP_BoS_CHoCH_bull_158,aVWAP_BoS_CHoCH_bear_23,aVWAP_BoS_CHoCH_bear_123,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-04-22 00:00:00+00:00,73.049,77.5,72.8,77.1,17819,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-04-29 00:00:00+00:00,66.6185,74.95,66.1,74.95,9129,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-05-06 00:00:00+00:00,63.8845,67.65,59.65,67.65,12936,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-05-13 00:00:00+00:00,61.7075,67.6,57.55,67.6,5720,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-05-20 00:00:00+00:00,62.6675,63.95,59.7865,62.8,2956,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,2.5871814883139814,-47.55430499932819,False,False,False,True,True,
2022-05-27 00:00:00+00:00,59.5785,64.45,58.4505,62.4,1829,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,3.819653641557987,-46.49534853269634,False,False,False,True,True,
2022-06-03 00:00:00+00:00,58.854,60.125,58.35,59.45,462,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,4.588763749198477,-45.896225172657154,False,False,False,True,True,
2022-06-10 00:00:00+00:00,55.131,59.05,53.5005,59.05,3243,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,4.697226120569114,-45.896225172657154,False,False,False,True,True,
2022-06-17 00:00:00+00:00,49.199,54.45,48.95,54.45,676,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,4.365815207650313,-45.896225172657154,False,False,False,True,True,
2022-06-24 00:00:00+00:00,50.673,50.673,47.5,47.5,1185,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,6.092070855210441,-44.79334808476058,False,False,False,True,True,
