date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_108,aVWAP_BoS_CHoCH_bear_43,aVWAP_BoS_CHoCH_bear_125,aVWAP_BoS_CHoCH_bear_250,aVWAP_BoS_CHoCH_bear_357,aVWAP_BoS_CHoCH_bear_546,aVWAP_BoS_CHoCH_bear_626,aVWAP_BoS_CHoCH_bear_720,aVWAP_BoS_CHoCH_bear_747,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,23.8,24.7,23.8,24.0,116066,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,23.9,24.148,23.2,23.8,87643,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-05 00:00:00+00:00,22.7,24.771,22.6,23.9,181455,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,69.01408450704221,-73.94366197183115,False,False,True,False,True,
2022-01-06 00:00:00+00:00,22.9,23.6,21.9,22.9,139994,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,52.86859544753472,-73.94366197183115,False,False,False,False,True,
2022-01-07 00:00:00+00:00,23.3,24.2,22.7,22.8,173890,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,48.52802462330484,-73.94366197183115,False,False,False,False,True,
2022-01-10 00:00:00+00:00,22.4,23.3,22.2,23.1,140528,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,40.65096851148702,-73.94366197183115,False,False,False,True,True,
2022-01-11 00:00:00+00:00,22.6,22.9,22.0,22.4,114468,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,37.502680835839826,-73.94366197183115,False,False,False,True,True,
2022-01-12 00:00:00+00:00,22.0,23.1,22.0,23.1,102333,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,33.146029137409656,-73.94366197183115,False,False,False,True,True,
2022-01-13 00:00:00+00:00,21.4,22.6,21.4,22.1,158923,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,28.67187314528497,-73.94366197183115,False,False,False,True,True,
2022-01-14 00:00:00+00:00,21.3,21.4,20.3,21.1,176348,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,25.464716212842248,-73.94366197183115,False,False,False,True,True,
2022-01-18 00:00:00+00:00,20.1,21.1,20.1,21.0,125912,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,21.35433518947001,-73.94366197183115,False,False,False,True,True,
2022-01-19 00:00:00+00:00,19.4,20.4,19.1,20.3,259674,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,17.886585661605427,-73.94366197183115,False,False,False,True,False,
2022-01-20 00:00:00+00:00,18.7,20.0,18.7,19.4,304165,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,15.010610821685436,-73.94366197183115,False,False,False,True,False,
2022-01-21 00:00:00+00:00,17.9,18.7,17.7,18.2,256182,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,12.591233476100271,-73.94366197183115,False,False,False,True,False,
2022-01-24 00:00:00+00:00,18.9,18.9,16.6,17.5,325305,,,,,,,,,,18.133333333333333,#000000,,18.133333333333333,,0,,,0.0,0.0,0.0,0.0,16.599097423476287,-73.94366197183115,False,False,False,True,False,
2022-01-25 00:00:00+00:00,18.5,18.899,18.0,18.4,118014,,,,,,,,,,18.221979797843087,#000000,,18.221979797843087,,0,,,0.0,0.0,0.0,0.0,18.660212379292997,-68.51779649076595,False,False,False,True,False,
2022-01-26 00:00:00+00:00,18.8,20.0,18.5,19.0,188627,,,,,,,,,,18.484056489003805,#000000,,18.484056489003805,,0,,,0.0,0.0,0.0,0.0,21.52359212105968,-62.27026300370011,False,False,False,True,False,
2022-01-27 00:00:00+00:00,17.5,19.4,17.4,19.4,158061,,,,,,,,,,18.407216217071493,#000000,,18.407216217071493,,0,,,0.0,0.0,0.0,0.0,21.468837793272982,-59.04075522665684,False,False,False,True,False,
2022-01-28 00:00:00+00:00,17.8,17.9,16.924,17.4,93797,,,,,,,,,,18.31532116245985,#000000,,18.31532116245985,,0,,,0.0,0.0,0.0,0.0,22.796017670092183,-54.69594740510927,False,False,False,True,False,
2022-01-31 00:00:00+00:00,19.3,19.399,17.8,17.8,134912,,,,,,,,,,18.383879119074074,#000000,,18.383879119074074,,0,,,0.0,0.0,0.0,0.0,29.209114049563254,-45.95803506577716,False,False,False,True,False,
2022-02-01 00:00:00+00:00,20.2,20.5,19.2,19.6,93642,,,,,,,,,,18.51712344467039,#000000,,18.51712344467039,,0,,,0.0,0.0,0.0,0.0,35.95826101730452,-37.45777400890693,False,False,False,True,True,
2022-02-02 00:00:00+00:00,19.0,20.5,18.9,20.3,101451,,,,,,,,,,18.59648692724034,#000000,,18.59648692724034,,0,,,0.0,0.0,0.0,0.0,37.85146590824657,-33.855839324031294,False,False,False,True,True,
