date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_219,aVWAP_BoS_CHoCH_bear_178,aVWAP_BoS_CHoCH_bear_265,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2023-12-14 17:00:00+00:00,4.43,4.505,4.41,4.445,1596.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2023-12-15 17:00:00+00:00,4.33,4.41,4.31,4.34,3866.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2023-12-18 17:00:00+00:00,4.68,4.74,4.6,4.69,6246.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,26.315789473684195,-89.4736842105263,False,False,False,True,True,
2023-12-19 17:00:00+00:00,4.84,4.84,4.55,4.69,13780.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,43.85964912280699,-71.05263157894737,False,False,False,False,True,
2023-12-20 17:00:00+00:00,4.96,5.025,4.89,4.89,2541.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,58.10605384735142,-55.072972590015276,False,False,True,False,True,
2023-12-21 17:00:00+00:00,5.135,5.195,5.095,5.15,3104.0,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,69.15400029395852,-41.49337700136612,False,False,True,False,True,
2023-12-22 17:00:00+00:00,5.235,5.235,5.1,5.12,6490.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,75.20806031678731,-31.998572438100304,False,False,True,False,True,
2023-12-25 17:00:00+00:00,5.12,5.12,5.12,5.12,0.0,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,79.2441003320065,-23.875794608327837,False,False,True,False,True,
2023-12-26 17:00:00+00:00,5.07,5.28,5.07,5.255,4683.0,,,,,"rgba(38, 166, 154, 1.0)",,5.201666666666666,,0,,,0.0,0.0,0.0,0.0,82.76821719408736,-15.963781433527593,False,False,True,False,True,
2023-12-27 17:00:00+00:00,5.15,5.26,5.15,5.17,1478.0,,,,,"rgba(239, 83, 80, 1.0)",,5.199667532327003,,0,,,0.0,0.0,0.0,0.0,81.44948851040641,-12.656849400331623,False,False,True,False,True,
2023-12-28 17:00:00+00:00,5.14,5.205,5.095,5.115,1848.0,,,,,"rgba(239, 83, 80, 1.0)",,5.185515253672951,,0,,,0.0,0.0,0.0,0.0,78.4191604166755,-11.265533928204889,False,False,True,False,True,
2023-12-29 17:00:00+00:00,5.11,5.14,5.08,5.1,2569.0,,,,,"rgba(239, 83, 80, 1.0)",,5.166365885170479,,0,,,0.0,0.0,0.0,0.0,75.80781890523093,-9.720769934849798,False,False,True,False,True,
