date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_191,aVWAP_BoS_CHoCH_bull_498,aVWAP_BoS_CHoCH_bull_778,aVWAP_BoS_CHoCH_bull_824,aVWAP_BoS_CHoCH_bull_863,aVWAP_BoS_CHoCH_bear_139,aVWAP_BoS_CHoCH_bear_350,aVWAP_BoS_CHoCH_bear_460,aVWAP_BoS_CHoCH_bear_745,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,1.62,1.6389,1.56,1.59,290882,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,1.55,1.64,1.5401,1.64,210426,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-05 00:00:00+00:00,1.55,1.6,1.49,1.57,272292,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-06 00:00:00+00:00,1.5,1.54,1.455,1.51,198651,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-07 00:00:00+00:00,1.54,1.54,1.49,1.5,146834,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,9.658575523384494,-41.14630577023088,False,False,False,True,True,
2022-01-10 00:00:00+00:00,1.51,1.54,1.45,1.54,240959,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,14.234197854958964,-37.48857282869787,False,False,False,True,True,
2022-01-11 00:00:00+00:00,1.53,1.55,1.475,1.5,255519,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,20.449964433940146,-32.38035524428122,False,False,False,True,True,
2022-01-12 00:00:00+00:00,1.58,1.62,1.545,1.56,281948,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,30.28109512107645,-24.058996702903265,False,False,False,True,True,
2022-01-13 00:00:00+00:00,1.64,1.68,1.61,1.63,233580,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,41.02734507892178,-15.136162347655578,False,False,False,True,True,
2022-01-14 00:00:00+00:00,1.54,1.65,1.5319,1.65,218851,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,41.61947979813292,-15.136162347655578,False,False,False,True,True,
2022-01-18 00:00:00+00:00,1.48,1.5366,1.48,1.53,223492,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,39.55618049626745,-15.136162347655578,False,False,False,True,True,
