date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_109,aVWAP_BoS_CHoCH_bull_407,aVWAP_BoS_CHoCH_bull_547,aVWAP_BoS_CHoCH_bull_627,aVWAP_BoS_CHoCH_bear_87,aVWAP_BoS_CHoCH_bear_122,aVWAP_BoS_CHoCH_bear_243,aVWAP_BoS_CHoCH_bear_394,aVWAP_BoS_CHoCH_bear_611,aVWAP_BoS_CHoCH_bear_677,aVWAP_BoS_CHoCH_bear_753,aVWAP_BoS_CHoCH_bear_805,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,12.66,12.897,12.0,12.18,38406,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,12.66,12.96,12.18,12.84,23238,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-05 00:00:00+00:00,11.94,13.02,11.82,12.6,40651,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-06 00:00:00+00:00,11.76,12.36,11.58,11.94,19332,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-07 00:00:00+00:00,11.7,12.12,11.64,11.76,28481,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-10 00:00:00+00:00,11.4,11.7,10.92,11.52,44424,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-11 00:00:00+00:00,11.46,11.55,11.22,11.28,44512,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,1.9815313321775343,-48.18359627883726,False,False,False,True,True,
2022-01-12 00:00:00+00:00,11.28,11.67,11.25,11.46,38170,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,2.9775819777262047,-47.380634927760845,False,False,False,True,True,
2022-01-13 00:00:00+00:00,11.1,11.4612,11.1,11.4,25719,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,3.3884448479987,-47.12814994824215,False,False,False,True,True,
2022-01-14 00:00:00+00:00,11.16,11.28,10.62,10.98,45617,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,5.356677989617761,-45.41957102599701,False,False,False,True,True,
