date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_286,aVWAP_BoS_CHoCH_bull_386,aVWAP_BoS_CHoCH_bull_498,aVWAP_BoS_CHoCH_bull_555,aVWAP_BoS_CHoCH_bull_649,aVWAP_BoS_CHoCH_bull_750,aVWAP_BoS_CHoCH_bear_171,aVWAP_BoS_CHoCH_bear_732,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-02-03 15:00:00+00:00,112.155,114.26,110.725,114.13,56189.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-02-03 16:00:00+00:00,114.0,115.165,113.44,114.67,32121.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2025-02-03 17:00:00+00:00,114.65,114.98,114.12,114.46,15584.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,89.85507246376793,14.492753623187738,False,False,True,False,True,
2025-02-03 18:00:00+00:00,114.53,115.69,114.47,115.6,13606.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,89.68791903161198,15.323377601439404,False,False,True,False,True,
2025-02-03 19:00:00+00:00,115.65,115.735,114.53,114.61,24745.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,78.00635284178873,15.323377601439404,False,False,True,False,True,
2025-02-03 20:00:00+00:00,114.58,115.05,114.1,114.43,84759.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,68.87789593713637,15.323377601439404,False,False,True,False,False,
2025-02-04 15:00:00+00:00,117.89,120.465,117.525,119.96,57804.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,74.6077035899257,15.323377601439404,False,False,True,False,False,
2025-02-04 16:00:00+00:00,119.985,119.985,118.99,119.13,30016.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,75.32612459737106,15.323377601439404,False,False,True,False,False,
2025-02-04 17:00:00+00:00,119.14,119.19,118.24,119.06,36637.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,75.54528400623593,15.323377601439404,False,False,True,False,False,
2025-02-04 18:00:00+00:00,119.02,120.105,118.9,119.655,36142.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,76.39983432917322,15.323377601439404,False,False,True,False,False,
2025-02-04 19:00:00+00:00,119.645,120.025,119.14,119.14,60062.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,74.90395011756797,15.323377601439404,False,False,True,False,False,
2025-02-04 20:00:00+00:00,119.14,119.845,118.92,119.215,29308.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,74.02682586205039,15.323377601439404,False,False,True,False,False,
2025-02-05 15:00:00+00:00,119.8,120.4,119.2,119.91,33054.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,74.53252039934635,15.323377601439404,False,False,True,False,False,
2025-02-05 16:00:00+00:00,119.91,121.1,119.57,120.985,20711.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,76.25820013472578,15.323377601439404,False,False,True,False,False,
2025-02-05 17:00:00+00:00,120.97,121.195,120.08,120.41,21142.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,74.93852378149933,15.323377601439404,False,False,True,False,False,
2025-02-05 18:00:00+00:00,120.425,121.365,120.27,121.325,17682.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,75.376233090538,15.824834481161986,False,False,True,False,False,
2025-02-05 19:00:00+00:00,121.35,121.66,120.9,120.9,20997.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,73.90445887768335,15.824834481161986,False,False,True,False,False,
2025-02-05 20:00:00+00:00,120.9,121.845,120.82,121.845,52757.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,74.35486121833677,16.7263067422779,False,False,True,False,False,
2025-02-06 15:00:00+00:00,121.13,122.1,120.46,121.02,48957.0,,,,,,,,,121.19333333333333,"rgba(38, 166, 154, 1.0)",,121.19333333333333,,0,,,0.0,0.0,0.0,0.0,71.47352648264302,16.7263067422779,False,False,True,False,False,
2025-02-06 16:00:00+00:00,121.09,121.84,120.33,120.39,44344.0,,,,,,,,,121.03173849512153,"rgba(38, 166, 154, 1.0)",,121.03173849512153,,0,,,0.0,0.0,0.0,0.0,67.40051337342048,16.7263067422779,False,False,True,False,False,
2025-02-06 17:00:00+00:00,120.35,120.435,119.31,119.31,61412.0,,,,,,,,,120.4971621863278,"rgba(239, 83, 80, 1.0)",,120.4971621863278,,0,,,0.0,0.0,0.0,0.0,61.53868329858555,18.434201857434886,False,False,True,False,False,
2025-02-06 18:00:00+00:00,119.365,119.63,118.39,119.16,34411.0,,,,,,,,,120.23567137609892,"rgba(239, 83, 80, 1.0)",,120.23567137609892,,0,,,0.0,0.0,0.0,0.0,57.227515891715285,14.371822341031645,False,False,True,False,False,
2025-02-06 19:00:00+00:00,119.16,119.16,116.9,117.11,50192.0,,,,,,,,,119.70875603804176,"rgba(239, 83, 80, 1.0)",,119.70875603804176,,0,,,0.0,0.0,0.0,0.0,49.94841102373326,7.694079951774057,False,False,False,True,False,
2025-02-06 20:00:00+00:00,117.16,118.68,117.06,118.545,83517.0,,,,,,,,,119.2912768366307,"rgba(239, 83, 80, 1.0)",,119.2912768366307,,0,,,0.0,0.0,0.0,0.0,48.893666306011724,6.819854935086688,False,False,False,True,False,
2025-02-07 15:00:00+00:00,119.07,119.07,117.54,117.715,80816.0,,,,,,,,,119.0544355161704,"rgba(239, 83, 80, 1.0)",,119.0544355161704,,0,,,0.0,0.0,0.0,0.0,46.585205521399416,4.54072529243448,False,False,False,True,False,
2025-02-07 16:00:00+00:00,117.73,118.38,117.22,117.64,62877.0,,,,,,,,,118.8781782830253,"rgba(239, 83, 80, 1.0)",,118.8781782830253,,0,,,0.0,0.0,0.0,0.0,44.90135699143217,2.7258127554770226,False,False,False,True,False,
2025-02-07 17:00:00+00:00,117.48,118.035,117.055,117.88,19976.0,,,,,,,,,118.82802244389539,"rgba(239, 83, 80, 1.0)",,118.82802244389539,,0,,,0.0,0.0,0.0,0.0,44.47925071918903,1.9490579154226637,False,False,False,True,False,
2025-02-07 18:00:00+00:00,117.815,118.3,116.88,116.88,26395.0,,,,,,,,,118.75213114588958,"rgba(239, 83, 80, 1.0)",,118.75213114588958,,0,,,0.0,0.0,0.0,0.0,42.10067629036376,-0.7174264417686089,False,False,False,True,False,
2025-02-07 19:00:00+00:00,116.845,117.375,116.55,117.125,32566.0,,,,,,,,,118.64851800213762,"rgba(239, 83, 80, 1.0)",,118.64851800213762,,0,,,0.0,0.0,0.0,0.0,41.3132445633283,-1.8976532409694684,False,False,False,True,False,
2025-02-07 20:00:00+00:00,117.1,117.355,116.705,117.13,53609.0,,,,,,,,,118.50666499463615,"rgba(239, 83, 80, 1.0)",,118.50666499463615,,0,,,0.0,0.0,0.0,0.0,40.80590205437781,-2.8772144330388514,False,False,False,True,False,
2025-02-10 15:00:00+00:00,120.79,121.47,120.155,120.97,96604.0,,,,,,,,,118.83415163332741,"rgba(38, 166, 154, 1.0)",,118.83415163332741,,0,,,0.0,0.0,0.0,0.0,49.11809133424438,-7.475115808626185,False,False,False,False,True,
2025-02-10 16:00:00+00:00,120.94,121.8,120.24,121.04,85472.0,,,,,,,,,119.07405322038846,"rgba(38, 166, 154, 1.0)",,119.07405322038846,,0,,,0.0,0.0,0.0,0.0,54.75960397057423,-2.3108732735983324,False,False,True,False,True,
2025-02-10 17:00:00+00:00,121.04,121.56,120.545,121.46,56014.0,,,,,,,,,119.21551841618866,"rgba(38, 166, 154, 1.0)",,119.21551841618866,,0,,,0.0,0.0,0.0,0.0,59.152671963953225,1.6202541453763928,False,False,True,False,True,
2025-02-10 18:00:00+00:00,121.435,121.65,120.355,120.92,44945.0,,,,,,,,,119.30516729074061,"rgba(38, 166, 154, 1.0)",,119.30516729074061,,0,,,0.0,0.0,0.0,0.0,60.38897164502672,2.738578603466877,False,False,True,False,True,
2025-02-10 19:00:00+00:00,120.82,120.975,119.68,120.21,53246.0,,,,,,,,,119.36113510086565,"rgba(38, 166, 154, 1.0)",,119.36113510086565,,0,,,0.0,0.0,0.0,0.0,59.12745300785937,2.738578603466877,False,False,True,False,True,
2025-02-10 20:00:00+00:00,120.19,120.27,119.14,119.685,103988.0,,,,,,,,,119.39487241114,"rgba(38, 166, 154, 1.0)",,119.39487241114,,0,,,0.0,0.0,0.0,0.0,56.84357838911272,2.738578603466877,False,False,True,False,False,
2025-02-11 15:00:00+00:00,117.41,120.09,114.76,119.525,161824.0,,,,,,,,,118.67439598709029,"rgba(38, 166, 154, 1.0)",,118.67439598709029,,0,,,0.0,0.0,0.0,0.0,54.875801820418,2.738578603466877,False,False,True,False,False,
2025-02-11 16:00:00+00:00,119.8,122.95,119.07,119.5,109957.0,,,,,,,,,119.20997667170141,"rgba(38, 166, 154, 1.0)",,119.20997667170141,,0,,,0.0,0.0,0.0,0.0,53.488034403502894,2.738578603466877,False,False,True,False,False,
2025-02-11 17:00:00+00:00,119.4,121.66,118.99,120.1,40342.0,,,,,,,,,119.29874473582247,"rgba(38, 166, 154, 1.0)",,119.29874473582247,,0,,,0.0,0.0,0.0,0.0,54.332475852425894,2.738578603466877,False,False,True,False,False,
2025-02-11 18:00:00+00:00,119.975,122.02,119.97,121.65,46456.0,,,,,,,,,119.45747325390454,"rgba(38, 166, 154, 1.0)",,119.45747325390454,,0,,,0.0,0.0,0.0,0.0,58.39038356770852,2.738578603466877,False,False,True,False,True,
2025-02-11 19:00:00+00:00,121.65,124.79,121.53,124.63,76186.0,,,,,,,,,119.93086433080488,"rgba(38, 166, 154, 1.0)",,119.93086433080488,,0,,,0.0,0.0,0.0,0.0,64.89405495849684,8.075437116150233,False,False,True,False,True,
2025-02-11 20:00:00+00:00,124.64,125.915,123.46,123.59,142581.0,,,,,,,,,120.6434920606679,"rgba(38, 166, 154, 1.0)",,120.6434920606679,,0,,,0.0,0.0,0.0,0.0,66.1699827641227,9.284072120846211,True,False,True,False,True,
2025-02-12 15:00:00+00:00,119.78,120.75,117.9,119.77,104879.0,,,,,,,,,120.49045591688969,"rgba(38, 166, 154, 1.0)",,120.49045591688969,,0,,,0.0,0.0,0.0,0.0,59.51916294233489,9.284072120846211,False,False,True,False,False,
2025-02-12 16:00:00+00:00,119.55,120.75,118.96,120.55,56592.0,,,,,,,,,120.45796131156436,"rgba(38, 166, 154, 1.0)",,120.45796131156436,,0,,,0.0,0.0,0.0,0.0,56.33950819782959,13.960288608294086,False,True,True,False,False,
2025-02-12 17:00:00+00:00,120.59,122.41,120.33,121.835,94182.0,,,,,,,,,120.53134421961882,"rgba(38, 166, 154, 1.0)",,120.53134421961882,,0,,,0.0,0.0,0.0,0.0,56.133503774800545,13.663433774762282,False,True,True,False,False,
2025-02-12 18:00:00+00:00,121.86,122.35,121.345,122.29,29751.0,,,,,,,,,120.56391371355102,"rgba(38, 166, 154, 1.0)",,120.56391371355102,,0,,,0.0,0.0,0.0,0.0,56.6415007966434,13.663433774762282,False,False,True,False,False,
2025-02-12 19:00:00+00:00,122.3,122.445,121.07,122.01,50966.0,,,,,,,,,120.60969899905129,"rgba(38, 166, 154, 1.0)",,120.60969899905129,,0,,,0.0,0.0,0.0,0.0,56.41549507293236,13.173161628409204,False,True,True,False,False,
2025-02-12 20:00:00+00:00,122.04,122.41,120.39,120.39,125027.0,,,,,,,,,120.63738908662253,"rgba(38, 166, 154, 1.0)",,120.63738908662253,,0,,,0.0,0.0,0.0,0.0,53.27010864193092,9.775225300561516,False,True,True,False,False,
2025-02-13 15:00:00+00:00,123.56,127.99,123.13,127.53,89431.0,,,,,,,,,120.96575044268056,"rgba(38, 166, 154, 1.0)",,120.96575044268056,,0,,,0.0,0.0,0.0,0.0,59.00617756738541,9.775225300561516,False,False,True,False,True,
2025-02-13 16:00:00+00:00,127.67,127.72,126.17,126.85,70856.0,,,,,,,,,121.2288241405279,"rgba(38, 166, 154, 1.0)",,121.2288241405279,,0,,,0.0,0.0,0.0,0.0,61.76521512454386,5.001566908992842,True,False,True,False,True,18.610377297234436
2025-02-13 17:00:00+00:00,126.84,127.43,126.62,127.1,30221.0,,,,,,,,,121.3360310754265,"rgba(38, 166, 154, 1.0)",,121.3360310754265,,0,,,0.0,0.0,0.0,0.0,63.80529001329448,7.039853028081289,True,False,True,False,True,19.00301168063052
2025-02-13 18:00:00+00:00,127.08,127.365,125.21,125.415,41772.0,,,,,,,,,121.45048561197615,"rgba(38, 166, 154, 1.0)",,121.45048561197615,,0,,,0.0,0.0,0.0,0.0,62.39414524155046,7.039853028081289,True,False,True,False,True,14.70715254331116
2025-02-13 19:00:00+00:00,125.34,126.555,125.2,126.15,26251.0,,,,,,,,,121.51888950930547,"rgba(38, 166, 154, 1.0)",,121.51888950930547,,0,,,0.0,0.0,0.0,0.0,62.217338556706224,7.039853028081289,True,False,True,False,True,15.909112869051931
2025-02-13 20:00:00+00:00,126.06,127.725,125.76,127.625,79461.0,,,,,,,,,121.76131819264467,"rgba(38, 166, 154, 1.0)",,121.76131819264467,,0,,,0.0,0.0,0.0,0.0,63.54183680467372,7.5657140956795175,True,False,True,False,True,18.226756458225072
2025-02-14 15:00:00+00:00,125.6,127.2,125.58,127.06,53994.0,,,,,,,,,121.90075490812742,"rgba(38, 166, 154, 1.0)",,121.90075490812742,,0,,,0.0,0.0,0.0,0.0,63.3963154474366,7.8565283026652395,True,False,True,False,True,16.819122836382054
2025-02-14 16:00:00+00:00,127.03,127.84,126.96,127.84,44547.0,,,,,,,,,122.03183889110534,"rgba(38, 166, 154, 1.0)",,122.03183889110534,,0,,,0.0,0.0,0.0,0.0,64.12957512847375,9.017308262492136,True,False,True,False,True,18.03086101600621
2025-02-14 17:00:00+00:00,127.835,128.31,127.51,128.12,35092.0,,,,,,,,,122.138618728573,"rgba(38, 166, 154, 1.0)",,122.138618728573,,0,,,0.0,0.0,0.0,0.0,64.92278263849369,10.209298674574796,True,False,True,False,True,18.462186274161514
2025-02-14 18:00:00+00:00,128.17,128.38,127.21,127.665,28440.0,,,,,,,,,122.21883111914009,"rgba(38, 166, 154, 1.0)",,122.21883111914009,,0,,,0.0,0.0,0.0,0.0,64.42569514267608,10.209298674574796,True,False,True,False,True,17.303381867356926
2025-02-14 19:00:00+00:00,127.64,128.22,127.56,127.865,31604.0,,,,,,,,,122.3072438626248,"rgba(38, 166, 154, 1.0)",,122.3072438626248,,0,,,0.0,0.0,0.0,0.0,64.36699537049347,10.466663453985284,True,False,True,False,True,17.62246848156414
2025-02-14 20:00:00+00:00,127.82,128.565,127.62,128.35,122078.0,,,,,,,,,124.48626323373018,"rgba(38, 166, 154, 1.0)",,124.48626323373018,,0,,,0.0,0.0,0.0,0.0,65.01332270888449,11.472595579111491,True,False,True,False,True,18.397077854100175
2025-02-17 15:00:00+00:00,128.35,128.35,128.35,128.35,0.0,,,,,,,,,124.48626323373018,"rgba(38, 166, 154, 1.0)",,124.48626323373018,,0,,,0.0,0.0,0.0,0.0,65.44420760114517,12.232168130847548,True,False,True,False,True,18.397077854100175
2025-02-17 16:00:00+00:00,128.35,128.35,128.35,128.35,0.0,,,,,,,,,124.48626323373018,"rgba(38, 166, 154, 1.0)",,124.48626323373018,,0,,,0.0,0.0,0.0,0.0,65.73146419598562,12.829540747080102,True,False,True,False,True,18.397077854100175
2025-02-17 17:00:00+00:00,128.35,128.35,128.35,128.35,0.0,,,,,,,,,124.48626323373018,"rgba(38, 166, 154, 1.0)",,124.48626323373018,,0,,,0.0,0.0,0.0,0.0,65.92296859254593,13.316445895631546,True,False,True,False,True,18.397077854100175
2025-02-17 18:00:00+00:00,128.35,128.35,128.35,128.35,0.0,,,,,,,,,124.48626323373018,"rgba(38, 166, 154, 1.0)",,124.48626323373018,,0,,,0.0,0.0,0.0,0.0,66.0506381902528,13.724665922718629,True,False,True,False,True,18.397077854100175
2025-02-17 19:00:00+00:00,128.35,128.35,128.35,128.35,0.0,,,,,,,,,124.48626323373018,"rgba(38, 166, 154, 1.0)",,124.48626323373018,,0,,,0.0,0.0,0.0,0.0,66.13575125539072,14.073858846847457,True,False,True,False,True,18.397077854100175
2025-02-17 20:00:00+00:00,128.35,128.35,128.35,128.35,0.0,,,,,,,,,124.48626323373018,"rgba(38, 166, 154, 1.0)",,124.48626323373018,,0,,,0.0,0.0,0.0,0.0,66.19249329881599,14.376413492026117,True,False,True,False,True,18.397077854100175
2025-02-18 15:00:00+00:00,127.065,127.065,124.25,126.09,32730.0,,,,,,,,,124.7124855583759,"rgba(239, 83, 80, 1.0)",,124.7124855583759,,0,,,0.0,0.0,0.0,0.0,57.84516632968575,10.266015575994885,False,False,True,False,False,12.08640833313219
2025-02-18 16:00:00+00:00,126.04,127.36,126.0,127.01,61672.0,,,,,,,,,124.86619036990135,"rgba(239, 83, 80, 1.0)",,124.86619036990135,,0,,,0.0,0.0,0.0,0.0,55.1840326274597,8.161213715431401,False,True,True,False,False,13.803994510639107
2025-02-18 17:00:00+00:00,127.08,127.29,126.24,127.06,28504.0,,,,,,,,,124.89903291753083,"rgba(239, 83, 80, 1.0)",,124.89903291753083,,0,,,0.0,0.0,0.0,0.0,53.559845522820446,6.936410456401248,False,True,True,False,False,13.896506112781033
2025-02-18 18:00:00+00:00,127.075,127.455,126.425,127.12,55094.0,,,,,,,,,124.96610411524283,"rgba(239, 83, 80, 1.0)",,124.96610411524283,,0,,,0.0,0.0,0.0,0.0,52.675207402126716,6.260779211623486,False,True,False,False,False,14.009405390913482
2025-02-18 19:00:00+00:00,127.12,127.42,126.52,126.97,63836.0,,,,,,,,,125.02337251406053,"rgba(239, 83, 80, 1.0)",,125.02337251406053,,0,,,0.0,0.0,0.0,0.0,51.533074445679524,5.223201079027362,False,True,False,False,False,13.5918320760141
2025-02-18 20:00:00+00:00,127.01,129.36,127.005,129.36,96026.0,,,,,,,,,125.97713934421434,"rgba(38, 166, 154, 1.0)",,125.97713934421434,,0,,,0.0,0.0,0.0,0.0,57.00542088345098,2.848749584395236,False,True,True,False,True,17.94374936607514
2025-02-19 15:00:00+00:00,126.49,126.595,124.45,126.0,53800.0,,,,,,,,,125.70663511324297,"rgba(38, 166, 154, 1.0)",,125.70663511324297,,0,,,0.0,0.0,0.0,0.0,52.313720890794066,7.071883923206343,False,True,False,False,False,9.366647201000994
