date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_39,aVWAP_BoS_CHoCH_bull_74,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-02-28 00:00:00+00:00,9.71,9.715,9.71,9.715,5218,,,9.708645124772575,#000000,,9.708645124772575,,0,,,0.0,0.0,0.0,0.0,49.50717478955578,-3.116640302655732,False,False,False,False,False,
2022-03-01 00:00:00+00:00,9.73,9.77,9.73,9.73,170006,,,9.728054621416645,#000000,,9.728054621416645,,0,,,0.0,1.0,9.77,62.0,54.3883021625366,-3.116640302655732,False,False,True,False,True,
2022-03-02 00:00:00+00:00,9.73,9.73,9.73,9.73,18507,,,9.727629033491551,#000000,,9.727629033491551,,0,,,0.0,0.0,0.0,0.0,57.64238707785715,-1.3338574165199972,False,False,True,False,True,
2022-03-03 00:00:00+00:00,9.74,9.74,9.7332,9.74,9225,,,9.727666546650228,#000000,,9.727666546650228,,0,,,0.0,0.0,0.0,0.0,61.404885846366554,2.361579169865351,False,False,True,False,True,
2022-03-04 00:00:00+00:00,9.74,9.74,9.74,9.74,682,,,9.727674092721513,#000000,,9.727674092721513,,0,,,0.0,0.0,0.0,0.0,63.91321835870616,4.865515976271098,False,False,True,False,True,
2022-03-07 00:00:00+00:00,9.74,9.74,9.7,9.7,33492,9.726666666666665,,9.726860394861044,#000000,,9.726860394861044,,0,,,0.0,0.0,0.0,0.0,65.58544003359923,6.64665833753665,False,False,True,False,True,
2022-03-08 00:00:00+00:00,9.74,9.74,9.74,9.74,160,9.726730060620469,,9.726867477431114,#000000,,9.726867477431114,,0,,,0.0,0.0,0.0,0.0,66.70025448352794,7.992510440398377,False,False,True,False,True,
2022-03-09 00:00:00+00:00,9.74,9.74,9.74,9.74,44225,9.734265829449003,,9.728020007378454,#000000,,9.728020007378454,,0,,,0.0,0.0,0.0,0.0,67.44346411681374,9.076110531089661,False,False,True,False,True,
2022-03-10 00:00:00+00:00,9.74,9.74,9.73,9.74,38224,9.73505625848758,,9.728287383231761,#000000,,9.728287383231761,,0,,,0.0,0.0,0.0,0.0,67.93893720567095,9.999102946454919,False,False,True,False,True,
2022-03-11 00:00:00+00:00,9.75,9.75,9.74,9.75,48607,9.738482607604569,,9.729627026889842,#000000,,9.729627026889842,,0,,,0.0,0.0,0.0,0.0,70.24795659713729,12.63314342813009,False,False,True,False,True,
2022-03-14 00:00:00+00:00,9.74,9.75,9.74,9.75,17900,9.738958096030842,,9.729921479304382,#000000,,9.729921479304382,,0,,,0.0,0.0,0.0,0.0,67.453470328659,12.63314342813009,False,False,True,False,True,
2022-03-15 00:00:00+00:00,9.74,9.74,9.74,9.74,100,9.738958666287191,,9.72992239627074,#000000,,9.72992239627074,,0,,,0.0,0.0,0.0,0.0,65.5904794830068,12.63314342813009,False,False,True,False,False,9.356982150334382
2022-03-16 00:00:00+00:00,9.75,9.75,9.75,9.75,1000,9.739018768915889,,9.729951666028374,#000000,,9.729951666028374,,0,,,0.0,0.0,0.0,0.0,66.55582581189053,12.63314342813009,False,False,True,False,False,12.965838224616594
2022-03-17 00:00:00+00:00,9.75,9.76,9.75,9.76,100904,9.744093736970566,,9.73291501481346,#000000,,9.73291501481346,,0,,,0.0,0.0,0.0,0.0,67.19939003114635,12.63314342813009,False,False,True,False,False,12.965838224616594
2022-03-18 00:00:00+00:00,9.76,9.76,9.76,9.76,20714,9.745172853496483,,9.733613604907207,#000000,,9.733613604907207,,0,,,0.0,0.0,0.0,0.0,69.45231495714323,13.020534909412547,False,False,True,False,False,16.324641906811085
2022-03-21 00:00:00+00:00,9.76,9.7699,9.75,9.76,18201,9.746005124662444,,9.734189030624142,#000000,,9.734189030624142,,0,,,0.0,0.0,0.0,0.0,70.95426490780781,14.726255458466838,False,False,True,False,True,16.324641906811085
2022-03-22 00:00:00+00:00,9.76,9.76,9.76,9.76,120,9.74601031360299,,9.734192722882334,#000000,,9.734192722882334,,0,,,0.0,0.0,0.0,0.0,71.95556487491753,15.958621384125294,False,False,True,False,True,16.324641906811085
2022-03-23 00:00:00+00:00,9.77,9.77,9.75,9.76,53505,9.748467859024126,,9.735955226644565,#000000,,9.735955226644565,,0,,,0.0,0.0,0.0,0.0,74.25260708722243,18.391287646918983,False,False,True,False,True,19.51647046243965
