date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_106,aVWAP_BoS_CHoCH_bear_24,aVWAP_BoS_CHoCH_bear_51,aVWAP_BoS_CHoCH_bear_111,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,11.6855923756,11.7502876967,11.3732193129,11.4611359766,6092172,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,11.4672456669,11.7017662059,11.3378550247,11.6855923756,9346200,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-14 00:00:00+00:00,11.1922905522,11.4510718366,11.1356821462,11.4348980063,18809245,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-21 00:00:00+00:00,11.3378550247,11.6532447151,11.1599428916,11.2327251279,9697215,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,7.020645900184737,-43.36329567248161,False,False,False,True,True,
2022-01-28 00:00:00+00:00,11.3135942792,11.3135942792,10.9173354374,11.184203637,13255775,,,,,,"rgba(239, 83, 80, 0.5)",,11.181507998600003,,0,,,0.0,0.0,0.0,0.0,11.740282934586006,-39.18971996789893,False,False,False,True,True,
2022-02-04 00:00:00+00:00,11.3540288549,11.6289839697,11.240812043,11.297420449,7732720,,,,,,"rgba(239, 83, 80, 0.5)",,11.264932170388487,,0,,,0.0,0.0,0.0,0.0,16.63675219335018,-34.96457328201445,False,False,False,True,True,
2022-02-11 00:00:00+00:00,11.3055073641,11.5804624788,11.2488989581,11.3297681095,9007597,,,,,,"rgba(239, 83, 80, 0.5)",,11.298972539577212,,0,,,0.0,0.0,0.0,0.0,19.45456801194562,-32.78981740030689,False,False,False,True,True,
2022-02-18 00:00:00+00:00,11.2569858733,11.4429849215,11.184203637,11.2569858733,7449159,,,,,,"rgba(239, 83, 80, 0.5)",,11.298127518975264,,0,,,0.0,0.0,0.0,0.0,20.853263873449137,-31.924886960842684,False,False,False,True,True,
2022-02-25 00:00:00+00:00,11.531940988,11.5642886485,10.9901176737,11.2569858733,8829407,,,,,,"rgba(239, 83, 80, 0.5)",,11.310336756958268,,0,,,0.0,0.0,0.0,0.0,28.98370327523791,-24.60433650830227,False,False,False,True,True,
2022-03-04 00:00:00+00:00,11.8877652541,11.9039390844,11.4510718366,11.4510718366,12538400,,,,,,"rgba(239, 83, 80, 0.5)",,11.403555543017294,,0,,,0.0,0.0,0.0,0.0,39.337097016110434,-15.381152092784177,False,False,False,True,True,
2022-03-11 00:00:00+00:00,12.1950680294,12.3406325019,11.823069933,11.879678339,12886206,,,,,,#000000,,11.532245420644664,,0,,,0.0,0.0,0.0,0.0,48.96891946413554,-7.067663807283452,False,False,False,False,True,
2022-03-18 00:00:00+00:00,12.348719417,12.3810670776,11.8311568481,12.2031549445,10498720,,,,,,"rgba(38, 166, 154, 0.5)",,11.615871397663676,,0,,,0.0,0.0,0.0,0.0,56.677364865568904,-0.695801993307775,False,False,True,False,True,
2022-03-25 00:00:00+00:00,12.4942838895,12.5266315501,12.1627203688,12.292111011,8324762,,,,,,"rgba(38, 166, 154, 0.5)",,11.687480743875716,,0,,,0.0,0.0,0.0,0.0,62.86003238825883,4.240634822257697,False,False,True,False,True,
2022-04-01 00:00:00+00:00,12.7462645479,12.8034960115,12.4134147381,12.4295885684,8465978,,,,,,"rgba(38, 166, 154, 0.5)",,11.770175490399073,,0,,,0.0,0.0,0.0,0.0,68.23290216448663,8.500208484424647,False,False,True,False,True,
2022-04-08 00:00:00+00:00,12.9670144791,13.0896533298,12.6318016206,12.7462645479,9446578,,,,,12.8961564765,"rgba(38, 166, 154, 0.5)",,12.38221212901069,,0,,,0.0,0.0,0.0,0.0,72.73384647640476,12.054713405707886,False,False,True,False,True,
2022-04-15 00:00:00+00:00,12.770792318,12.9670144791,12.6890330842,12.9670144791,6738788,,,,,12.859846597154762,"rgba(38, 166, 154, 0.5)",,12.391576552922533,,0,,,0.0,0.0,0.0,0.0,73.36694491008735,12.095433064573264,False,False,True,False,True,
2022-04-22 00:00:00+00:00,12.4846349998,13.0405977895,12.4437553829,12.7789682414,7569216,,,,,12.794997394793702,"rgba(38, 166, 154, 0.5)",,12.381753626358481,,0,,,0.0,0.0,0.0,0.0,70.737188560124,12.095433064573264,False,False,True,False,True,
2022-04-29 00:00:00+00:00,11.8142092827,12.468283153,11.8142092827,12.3865239192,8504950,,,,,12.593901317737098,"rgba(38, 166, 154, 0.5)",,12.28327026228888,,0,,,0.0,0.0,0.0,0.0,63.99353660379969,12.095433064573264,False,False,True,False,False,
2022-05-06 00:00:00+00:00,11.2664224163,11.8305611294,11.1764872591,11.7488018957,14193573,,,,,12.236592132534835,"rgba(38, 166, 154, 0.5)",,12.077868921424145,,0,,,0.0,0.0,0.0,0.0,56.637683049367816,19.440063643425702,False,False,True,False,False,
2022-05-13 00:00:00+00:00,11.5280519644,11.5525797346,10.8412744006,11.1764872591,16956353,,,,,11.988090229810378,#000000,,11.7168846743777,,0,,,0.0,0.0,0.0,0.0,52.93591475179196,16.20086001995216,False,False,False,False,False,
2022-05-20 00:00:00+00:00,11.7896815125,11.9204962866,11.4135890371,11.5035241943,11893782,,,,,11.94383905903078,#000000,,11.753836125783012,,0,,,0.0,0.0,0.0,0.0,51.67805603449065,15.158676760047825,False,False,False,False,False,
2022-05-27 00:00:00+00:00,11.863264823,12.0431351373,11.7815055892,11.8714407463,8609356,,,,,11.938927584923121,#000000,,11.78544041270124,,0,,,0.0,0.0,0.0,0.0,51.15167246426615,14.61557161455272,False,False,False,False,False,
2022-06-03 00:00:00+00:00,11.9613759035,12.0349592139,11.6506908151,11.863264823,9117700,,,,,11.933381750770321,#000000,,11.80453578100827,,0,,,0.0,0.0,0.0,0.0,51.27571144434931,14.5232180960694,False,False,False,False,False,
2022-06-10 00:00:00+00:00,11.5934593514,12.1412462178,11.4871723475,12.0104314438,9278773,,,,,11.915900044300264,#000000,,11.787489816478445,,0,,,0.0,0.0,0.0,0.0,49.552330892925426,12.521417120403406,False,False,False,False,False,
2022-06-17 00:00:00+00:00,10.5959966992,11.454468654,10.5305893122,11.4054131137,16262260,,,,,11.315740661934292,"rgba(239, 83, 80, 0.5)",,11.320735224362679,,0,,,0.0,-1.0,10.530589,38.0,44.91978176060825,7.726402909145122,False,False,False,True,False,
2022-06-24 00:00:00+00:00,11.3318298033,11.3563575735,10.6532281629,10.6532281629,8466322,,,,,11.33722467319101,"rgba(239, 83, 80, 0.5)",,11.31795819023232,,0,,,0.0,0.0,0.0,0.0,44.89009895589112,7.373852601300783,False,False,False,True,False,
2022-07-01 00:00:00+00:00,11.4177574217,11.4953482709,11.0158987606,11.3563575735,11484487,,,,,11.377398982610433,"rgba(239, 83, 80, 0.5)",,11.343392715533597,,0,,,0.0,0.0,0.0,0.0,45.20138602856868,7.259909102974106,False,False,False,True,False,
2022-07-08 00:00:00+00:00,11.169185054,11.3266142202,10.7963265025,11.1940422908,8261419,,,,,11.363921902684348,"rgba(239, 83, 80, 0.5)",,11.326086029142477,,0,,,0.0,0.0,0.0,0.0,44.6177705277088,6.194228495854794,False,False,False,True,False,
