date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_58,aVWAP_BoS_CHoCH_bear_28,aVWAP_BoS_CHoCH_bear_45,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,82.89,84.27,80.685,81.51,2542322,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,79.14,82.89,78.59,82.89,3103068,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-14 00:00:00+00:00,74.8,80.65,73.63,78.41,2819028,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-21 00:00:00+00:00,73.3,75.625,72.96,73.88,2077064,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-28 00:00:00+00:00,72.7,74.285,69.14,72.21,3826074,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-02-04 00:00:00+00:00,72.27,75.0,70.93,72.7,2676369,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-02-11 00:00:00+00:00,66.6,73.42,66.36,72.22,4619269,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-02-18 00:00:00+00:00,55.86,68.295,55.77,66.56,10913895,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-02-25 00:00:00+00:00,56.45,56.85,52.0,55.35,8098277,,,,,"rgba(239, 83, 80, 0.5)",,55.10000000000001,,0,,,0.0,0.0,0.0,0.0,0.7457941198654875,-49.294991496064654,False,False,False,True,True,
2022-03-04 00:00:00+00:00,60.72,61.25,54.83,56.2,8854796,,,,,"rgba(239, 83, 80, 0.5)",,57.102196573250566,,0,,,0.0,0.0,0.0,0.0,5.9625331665256835,-44.3941320779663,False,False,False,True,True,
