date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_54,aVWAP_BoS_CHoCH_bull_234,aVWAP_BoS_CHoCH_bull_317,aVWAP_BoS_CHoCH_bull_475,aVWAP_BoS_CHoCH_bull_726,aVWAP_BoS_CHoCH_bear_214,aVWAP_BoS_CHoCH_bear_347,aVWAP_BoS_CHoCH_bear_552,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-02-03 15:00:00+00:00,1.11,1.125,1.09,1.115,3404.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-02-03 16:00:00+00:00,1.12,1.15,1.115,1.135,368.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2025-02-03 17:00:00+00:00,1.135,1.145,1.135,1.145,214.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-02-03 18:00:00+00:00,1.145,1.145,1.135,1.145,700.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-02-03 19:00:00+00:00,1.145,1.165,1.145,1.155,2300.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-02-03 20:00:00+00:00,1.155,1.16,1.13,1.135,4796.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,86.22535743528374,37.602821691755366,False,False,True,False,False,
2025-02-04 15:00:00+00:00,1.165,1.165,1.145,1.155,100.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,81.4137393964334,34.098844010673034,False,False,True,False,False,
2025-02-04 16:00:00+00:00,1.155,1.155,1.135,1.155,200.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,78.20599403719984,31.941358831764774,False,False,True,False,False,
2025-02-04 17:00:00+00:00,1.155,1.155,1.14,1.155,6.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,76.06749713104414,30.53946353985023,False,False,True,False,False,
2025-02-04 18:00:00+00:00,1.155,1.155,1.145,1.145,1068.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,70.23166364752912,25.579759781448814,False,False,True,False,False,
2025-02-04 19:00:00+00:00,1.145,1.155,1.135,1.15,3337.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,67.63856589025772,23.59277097862048,False,False,True,False,False,
2025-02-04 20:00:00+00:00,1.155,1.17,1.145,1.15,3647.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,65.9098340520768,22.186653851566703,False,False,True,False,False,
2025-02-05 15:00:00+00:00,1.195,1.215,1.19,1.215,8407.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,72.35618121229811,15.479326073644316,False,False,True,False,True,
2025-02-05 16:00:00+00:00,1.21,1.21,1.195,1.205,4283.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,73.95166639577397,16.80631432725383,False,False,True,False,True,
2025-02-05 17:00:00+00:00,1.205,1.215,1.205,1.205,121.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,75.01532318475788,17.877581484965702,False,False,True,False,True,
2025-02-05 18:00:00+00:00,1.205,1.23,1.205,1.22,7900.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,76.88951456161182,19.854734028111835,False,False,True,False,True,
2025-02-05 19:00:00+00:00,1.22,1.225,1.21,1.215,881.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,76.68121387720117,19.97288964302713,False,False,True,False,True,
2025-02-05 20:00:00+00:00,1.215,1.24,1.205,1.24,9053.0,,,,,,,,,1.2283333333333337,"rgba(38, 166, 154, 1.0)",,1.2283333333333337,,0,,,0.0,0.0,0.0,0.0,78.39176153356556,21.989647534690633,False,False,True,False,True,
2025-02-06 15:00:00+00:00,1.19,1.205,1.175,1.205,6430.0,,,,,,,,,1.2144901935456092,"rgba(38, 166, 154, 1.0)",,1.2144901935456092,,0,,,0.0,0.0,0.0,0.0,72.19371006399365,21.989647534690633,False,False,True,False,False,
2025-02-06 16:00:00+00:00,1.205,1.21,1.19,1.195,11200.0,,,,,,,,,1.2077084660645356,"rgba(239, 83, 80, 1.0)",,1.2077084660645356,,0,,,0.0,0.0,0.0,0.0,66.47487751009841,23.461183862665067,False,False,True,False,False,
2025-02-06 17:00:00+00:00,1.195,1.195,1.185,1.195,3805.0,,,,,,,,,1.2057063981457186,"rgba(239, 83, 80, 1.0)",,1.2057063981457186,,0,,,0.0,0.0,0.0,0.0,62.66232247416825,20.016957719285088,False,False,True,False,False,
2025-02-06 18:00:00+00:00,1.195,1.195,1.185,1.195,3360.0,,,,,,,,,1.2043127117308754,"rgba(239, 83, 80, 1.0)",,1.2043127117308754,,0,,,0.0,0.0,0.0,0.0,60.12061911688148,17.670969779154433,False,False,True,False,False,
2025-02-06 19:00:00+00:00,1.195,1.195,1.19,1.195,1062.0,,,,,,,,,1.2039787071517234,"rgba(239, 83, 80, 1.0)",,1.2039787071517234,,0,,,0.0,0.0,0.0,0.0,58.42615021202363,15.969191605271362,False,False,True,False,False,
2025-02-06 20:00:00+00:00,1.195,1.195,1.19,1.19,1976.0,,,,,,,,,1.203319145475248,"rgba(239, 83, 80, 1.0)",,1.203319145475248,,0,,,0.0,0.0,0.0,0.0,56.19691292492761,13.656478458978903,False,False,True,False,False,
2025-02-07 15:00:00+00:00,1.2,1.215,1.175,1.205,1164.0,,,,,,,,,1.2031666228646518,"rgba(239, 83, 80, 1.0)",,1.2031666228646518,,0,,,0.0,0.0,0.0,0.0,57.41746366169132,13.656478458978903,False,False,True,False,False,
2025-02-07 16:00:00+00:00,1.205,1.21,1.18,1.18,209.0,,,,,,,,,1.2030946966726783,"rgba(239, 83, 80, 1.0)",,1.2030946966726783,,0,,,0.0,0.0,0.0,0.0,53.44612278543684,10.636836429637277,False,False,True,False,False,
2025-02-07 17:00:00+00:00,1.18,1.19,1.17,1.175,1900.0,,,,,,,,,1.1901282609958748,"rgba(239, 83, 80, 1.0)",,1.1901282609958748,,0,,,0.0,0.0,0.0,0.0,50.02202463043968,7.242495677312974,False,False,False,False,False,
2025-02-07 18:00:00+00:00,1.175,1.185,1.175,1.175,123.0,,,,,,,,,1.1900922455025404,"rgba(239, 83, 80, 1.0)",,1.1900922455025404,,0,,,0.0,0.0,0.0,0.0,47.73929252710824,4.91826268015037,False,False,False,True,False,
2025-02-07 19:00:00+00:00,1.175,1.185,1.175,1.185,1300.0,,,,,,,,,1.1904287475737818,"rgba(239, 83, 80, 1.0)",,1.1904287475737818,,0,,,0.0,0.0,0.0,0.0,48.390574993817886,4.91826268015037,False,False,False,True,False,
