date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bear_53,aVWAP_BoS_CHoCH_bear_76,aVWAP_BoS_CHoCH_bear_129,aVWAP_BoS_CHoCH_bear_159,aVWAP_BoS_CHoCH_bear_171,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,46.36,46.64,45.5,46.02,133226,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,50.66,51.1,44.65,46.35,402355,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,49.78,52.52,49.28,51.12,349088,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,94.86181393538344,26.878162709225478,False,False,True,False,True,
2022-01-21 00:00:00+00:00,45.33,49.18,45.33,49.18,194946,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,79.62723119106978,26.878162709225478,False,False,True,False,False,
2022-01-28 00:00:00+00:00,44.76,46.51,42.94,44.43,214360,,,,,,,"rgba(38, 166, 154, 0.5)",,44.73666666666666,,0,,,0.0,0.0,0.0,0.0,67.99252257150175,37.297709088370254,False,False,True,False,False,
2022-02-04 00:00:00+00:00,46.63,47.38,44.5113,44.52,228360,,,,,,,"rgba(38, 166, 154, 0.5)",,45.477939154921096,,0,,,0.0,0.0,0.0,0.0,62.86443667621288,32.73748499595379,False,False,True,False,False,
2022-02-11 00:00:00+00:00,45.22,47.83,44.7601,46.26,271587,,,,,,,"rgba(38, 166, 154, 0.5)",,45.652364831321364,,0,,,0.0,0.0,0.0,0.0,57.36591162955106,27.663913350609505,False,False,True,False,False,
2022-02-18 00:00:00+00:00,46.69,48.64,45.4,45.41,220541,,,,,,,"rgba(38, 166, 154, 0.5)",,45.94905490044014,,0,,,0.0,0.0,0.0,0.0,55.458695876112024,25.86919712967888,False,False,True,False,False,
2022-02-25 00:00:00+00:00,46.37,46.63,43.52,46.46,160054,,,,,,,#000000,,45.88438609321504,,0,,,0.0,0.0,0.0,0.0,53.68478473165222,23.959515123421482,False,False,False,False,False,
2022-03-04 00:00:00+00:00,44.03,47.31,43.65,45.85,211756,,,,,,,#000000,,45.74052295925943,,0,,,0.0,0.0,0.0,0.0,49.85505742149847,19.918483797106603,False,False,False,False,False,
2022-03-11 00:00:00+00:00,42.18,44.4,41.62,43.8,158765,,,,,,,"rgba(239, 83, 80, 0.5)",,44.074027584151466,,0,,,0.0,0.0,0.0,0.0,45.58140690496185,15.403277868700826,False,False,False,True,False,
2022-03-18 00:00:00+00:00,47.54,48.19,41.71,42.66,266377,,,,,,,#000000,,45.069586322186254,,0,,,0.0,0.0,0.0,0.0,47.983015857958286,15.403277868700826,False,False,False,False,False,
2022-03-25 00:00:00+00:00,46.19,48.232,45.1498,48.01,204271,,,,,,,#000000,,45.42682032584992,,0,,,0.0,0.0,0.0,0.0,48.567400986354194,15.403277868700826,False,False,False,False,False,
2022-04-01 00:00:00+00:00,47.16,49.5064,44.65,46.31,541083,,,,,,47.10546666666666,#000000,,46.380239029713074,,0,,,0.0,0.0,0.0,0.0,49.74771993280825,15.403277868700826,False,False,False,False,False,
2022-04-08 00:00:00+00:00,42.23,47.99,41.921,47.38,348534,,,,,,45.90722110571178,#000000,,45.745574307586104,,0,,,0.0,0.0,0.0,0.0,47.19717384248702,14.808208179914075,False,False,False,False,False,
2022-04-15 00:00:00+00:00,44.11,45.345,41.83,41.83,384307,,,,,,45.25996774538093,#000000,,45.326415174342316,,0,,,0.0,0.0,0.0,0.0,46.80113127114234,13.664753164620436,False,False,False,False,False,
2022-04-22 00:00:00+00:00,41.95,45.37,41.75,44.02,561645,,,,,,44.57560527556668,"rgba(239, 83, 80, 0.5)",,44.80744480265103,,0,,,0.0,0.0,0.0,0.0,45.28735186697608,11.398026827135503,False,False,False,True,False,
2022-04-29 00:00:00+00:00,40.07,42.796,39.75,41.63,524249,,,,,,43.752825145018235,"rgba(239, 83, 80, 0.5)",,44.13458450320652,,0,,,0.0,0.0,0.0,0.0,43.2500152077062,8.64390272434484,False,False,False,True,False,
2022-05-06 00:00:00+00:00,38.62,40.69,38.11,40.36,592116,,,,,,42.82755799014024,"rgba(239, 83, 80, 0.5)",,43.33474150276703,,0,,,0.0,0.0,0.0,0.0,41.113785067553174,5.8351777910883555,False,False,False,True,False,
2022-05-13 00:00:00+00:00,37.27,38.27,35.32,38.18,399589,,,,,,42.12719712244254,"rgba(239, 83, 80, 0.5)",,42.71489785193962,,0,,,0.0,0.0,0.0,0.0,38.988384429811134,3.081109413447763,False,False,False,True,False,
2022-05-20 00:00:00+00:00,36.82,39.57,36.02,37.11,346367,,,,,,41.690975548596626,"rgba(239, 83, 80, 0.5)",,42.31059134233787,,0,,,0.0,0.0,0.0,0.0,37.27282103400384,0.7578433246195218,False,False,False,True,False,
2022-05-27 00:00:00+00:00,38.51,39.14,35.31,37.32,329926,,,,,,41.36024466478442,"rgba(239, 83, 80, 0.5)",,41.99357966251229,,0,,,0.0,0.0,0.0,0.0,37.50773897413237,0.32963249196380673,False,False,False,True,False,
2022-06-03 00:00:00+00:00,39.26,40.02,36.97,38.37,542814,,,,,,41.050248592586435,"rgba(239, 83, 80, 0.5)",,41.6703127541059,,0,,,0.0,0.0,0.0,0.0,38.294496617726985,0.32963249196380673,False,False,False,True,False,
2022-06-10 00:00:00+00:00,37.63,39.79,37.5,39.75,329650,,,,,,40.86568326532361,"rgba(239, 83, 80, 0.5)",,41.478335048663446,,0,,,0.0,0.0,0.0,0.0,37.98971791602787,-0.5358554945363494,False,False,False,True,False,
2022-06-17 00:00:00+00:00,36.75,37.91,34.0,36.71,513978,,,,,,38.322333209038064,"rgba(239, 83, 80, 0.5)",,39.839488230370534,,0,,,0.0,0.0,0.0,0.0,37.32779479426957,-1.8633627910862884,False,False,False,True,False,
