date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_368,aVWAP_BoS_CHoCH_bear_232,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2023-12-14 17:00:00+00:00,2.905,3.05,2.88,2.88,103006.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2023-12-15 17:00:00+00:00,2.97,3.04,2.945,3.005,99979.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2023-12-18 17:00:00+00:00,2.965,3.03,2.86,2.925,108517.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,86.04651162790697,1.1627906976743816,False,False,True,False,True,
2023-12-19 17:00:00+00:00,2.755,2.81,2.675,2.775,114078.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,67.65637762200103,1.1627906976743816,False,False,True,False,True,
2023-12-20 17:00:00+00:00,2.83,2.94,2.705,2.73,128306.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,53.989993603315824,1.1627906976743816,False,False,False,False,False,
2023-12-21 17:00:00+00:00,2.755,2.92,2.735,2.9,83753.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,53.86051395274497,1.1627906976743816,False,False,False,False,False,
2023-12-22 17:00:00+00:00,2.95,3.115,2.915,2.985,98023.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,56.422901131578826,1.1627906976743816,False,False,True,False,False,
2023-12-25 17:00:00+00:00,2.985,2.985,2.985,2.985,0.0,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,58.1311592508014,1.1627906976743816,False,False,True,False,False,
2023-12-26 17:00:00+00:00,3.115,3.285,3.01,3.245,135467.0,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,64.38000182012067,1.1627906976743816,False,False,True,False,False,
2023-12-27 17:00:00+00:00,3.46,3.555,3.385,3.525,138753.0,,,,"rgba(38, 166, 154, 1.0)",,3.4883333333333337,,0,,,0.0,0.0,0.0,0.0,71.05618003987412,1.1627906976743816,False,False,True,False,True,
2023-12-28 17:00:00+00:00,3.335,3.47,3.275,3.33,78595.0,,,,"rgba(239, 83, 80, 1.0)",,3.4413241591058275,,0,,,0.0,0.0,0.0,0.0,69.78688840062733,1.1627906976743816,False,False,True,False,True,
2023-12-29 17:00:00+00:00,2.95,2.975,2.845,2.905,71417.0,,,,"rgba(239, 83, 80, 1.0)",,3.3095055321801463,,0,,,0.0,0.0,0.0,0.0,61.48386606198963,1.1627906976743816,False,False,True,False,True,
2024-01-01 17:00:00+00:00,2.905,2.905,2.905,2.905,0.0,,,,"rgba(239, 83, 80, 1.0)",,3.3095055321801463,,0,,,0.0,0.0,0.0,0.0,55.94851783623116,1.1627906976743816,False,False,True,False,False,
2024-01-02 17:00:00+00:00,3.01,3.025,2.81,2.825,73318.0,,,,"rgba(239, 83, 80, 1.0)",,3.223885108294691,,0,,,0.0,0.0,0.0,0.0,51.15981486676411,21.332363943768797,False,False,False,False,False,
2024-01-03 17:00:00+00:00,2.845,2.88,2.755,2.8,41310.0,,,,"rgba(239, 83, 80, 1.0)",,3.1816713271342505,,0,,,0.0,0.0,0.0,0.0,47.61852757572768,16.572435964288346,False,False,False,True,False,
2024-01-04 17:00:00+00:00,2.92,2.96,2.855,2.925,39714.0,,,,"rgba(38, 166, 154, 1.0)",,3.157621210377328,,0,,,0.0,0.0,0.0,0.0,47.71559721013436,15.141126185989094,False,False,False,True,False,
2024-01-05 17:00:00+00:00,2.655,2.745,2.635,2.725,43496.0,,,,"rgba(38, 166, 154, 1.0)",,3.116864785050647,,0,,,0.0,0.0,0.0,0.0,44.866167152691226,10.901455151124281,False,False,False,True,False,
