date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_534,aVWAP_BoS_CHoCH_bull_588,aVWAP_BoS_CHoCH_bear_119,aVWAP_BoS_CHoCH_bear_185,aVWAP_BoS_CHoCH_bear_331,aVWAP_BoS_CHoCH_bear_408,aVWAP_BoS_CHoCH_bear_450,aVWAP_BoS_CHoCH_bear_488,aVWAP_BoS_CHoCH_bear_515,aVWAP_BoS_CHoCH_bear_579,aVWAP_BoS_CHoCH_bear_639,aVWAP_BoS_CHoCH_bear_727,aVWAP_BoS_CHoCH_bear_809,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,143.85,150.5,141.0535,147.35,5609,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,137.9,144.55,133.0,142.8,1988,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-05 00:00:00+00:00,127.75,137.9,127.75,135.8,3072,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-06 00:00:00+00:00,130.9,132.3,124.6,127.4,1762,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,6.071249372804829,-44.43468807492891,False,False,False,True,True,
2022-01-07 00:00:00+00:00,127.4,132.041,125.825,130.55,887,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,9.013299855467707,-42.075100097643755,False,False,False,True,True,
2022-01-10 00:00:00+00:00,114.8,129.15,114.8,122.85,4818,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,8.894224847554204,-42.075100097643755,False,False,False,True,True,
2022-01-11 00:00:00+00:00,115.15,117.6,114.1,115.5,503,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,9.199690792203175,-42.075100097643755,False,False,False,True,True,
2022-01-12 00:00:00+00:00,115.5,116.9,113.75,115.15,927,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,9.815586452709821,-42.075100097643755,False,False,False,True,True,
2022-01-13 00:00:00+00:00,110.6,115.5,110.2535,115.5,2013,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,9.58411862474098,-42.075100097643755,False,False,False,True,True,
2022-01-14 00:00:00+00:00,106.4,111.3,105.35,110.25,1723,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,9.0005503982255,-42.075100097643755,False,False,False,True,True,
2022-01-18 00:00:00+00:00,100.45,108.43,98.7035,105.0,1772,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,8.140622205380046,-42.075100097643755,False,False,False,True,False,
2022-01-19 00:00:00+00:00,95.55,102.2,95.55,100.45,2251,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,7.266794928029137,-40.580222413714594,False,False,False,True,False,
2022-01-20 00:00:00+00:00,94.5,99.4,93.1,95.2,2282,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,6.625300286302331,-41.19220437281578,False,False,False,True,False,
2022-01-21 00:00:00+00:00,89.25,94.4965,89.25,93.1,1624,,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,5.930849104774503,-41.86891457463966,False,False,False,True,False,
2022-01-24 00:00:00+00:00,89.25,92.75,82.95,87.5,1983,,,,,,,,,,,,,,88.31666666666666,#000000,,88.31666666666666,,0,,,0.0,0.0,0.0,0.0,5.467881650422617,-42.342098958572976,False,False,False,True,False,
2022-01-25 00:00:00+00:00,91.0,92.4,86.1,87.15,683,,,,,,,,,,,,,,88.70522005501374,#000000,,88.70522005501374,,0,,,0.0,0.0,0.0,0.0,6.97238635600586,-42.342098958572976,False,False,False,True,True,
2022-01-26 00:00:00+00:00,95.2,103.6,91.3535,92.05,774,,,,,,,,,,,,,,90.50805804263565,#000000,,90.50805804263565,,0,,,0.0,0.0,0.0,0.0,11.899087214720346,-40.736400759492064,False,False,False,True,True,
2022-01-27 00:00:00+00:00,85.75,101.85,85.75,101.85,934,,,,,,,,,,,,,,90.63801699436061,#000000,,90.63801699436061,,0,,,0.0,0.0,0.0,0.0,13.41067932519934,-39.547026487432866,False,False,False,True,True,
2022-01-28 00:00:00+00:00,84.35,88.1965,84.0,87.5,1034,,,,,,,,,,,,,,89.65860083826429,#000000,,89.65860083826429,,0,,,0.0,0.0,0.0,0.0,14.208499413531385,-38.95729529945801,False,False,False,True,True,
2022-01-31 00:00:00+00:00,89.25,91.0,86.1,86.8,403,,,,,,,,,,,,,,89.59789995984627,#000000,,89.59789995984627,,0,,,0.0,0.0,0.0,0.0,18.348473701862346,-35.218886307264086,False,False,False,True,True,
