date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_89,aVWAP_BoS_CHoCH_bull_300,aVWAP_BoS_CHoCH_bull_491,aVWAP_BoS_CHoCH_bull_538,aVWAP_BoS_CHoCH_bull_618,aVWAP_BoS_CHoCH_bear_156,aVWAP_BoS_CHoCH_bear_333,aVWAP_BoS_CHoCH_bear_727,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-02-03 15:00:00+00:00,1.235,1.255,1.235,1.255,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-02-03 16:00:00+00:00,1.255,1.27,1.255,1.26,500.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2025-02-03 17:00:00+00:00,1.26,1.26,1.255,1.26,647.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-02-03 18:00:00+00:00,1.26,1.285,1.26,1.28,0.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-02-03 19:00:00+00:00,1.29,1.325,1.29,1.315,1052.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-02-03 20:00:00+00:00,1.315,1.325,1.305,1.31,2837.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,96.9716271791961,47.274464461276494,False,False,True,False,False,
2025-02-04 15:00:00+00:00,1.355,1.36,1.35,1.35,900.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,96.31500217524905,46.865204326972375,False,False,True,False,False,
2025-02-04 16:00:00+00:00,1.35,1.355,1.35,1.355,1668.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,95.97637650266651,46.69674665215064,False,False,True,False,False,
2025-02-04 17:00:00+00:00,1.355,1.365,1.35,1.36,3900.0,,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,95.84892679602555,46.66213462876132,False,False,True,False,False,
2025-02-04 18:00:00+00:00,1.36,1.36,1.355,1.355,700.0,,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,93.66335614961795,44.722008850966105,False,False,True,False,False,
2025-02-04 19:00:00+00:00,1.355,1.37,1.355,1.355,2346.0,,,,,,,,,1.3599999999999999,"rgba(239, 83, 80, 1.0)",,1.3599999999999999,,0,,,0.0,0.0,0.0,0.0,92.20630905201288,43.525405070979545,False,False,True,False,False,
2025-02-04 20:00:00+00:00,1.355,1.355,1.32,1.335,2339.0,,,,,,,,,1.3483507648523656,"rgba(239, 83, 80, 1.0)",,1.3483507648523656,,0,,,0.0,0.0,0.0,0.0,83.78722931867932,36.06215319349651,False,False,True,False,False,
2025-02-05 15:00:00+00:00,1.34,1.35,1.335,1.34,1704.0,,,,,,,,,1.3465680596859184,"rgba(38, 166, 154, 1.0)",,1.3465680596859184,,0,,,0.0,0.0,0.0,0.0,78.89886105089438,32.18335462524172,False,False,True,False,False,
2025-02-05 16:00:00+00:00,1.34,1.34,1.32,1.33,2494.0,,,,,,,,,1.34191639461143,"rgba(239, 83, 80, 1.0)",,1.34191639461143,,0,,,0.0,0.0,0.0,0.0,72.67068908957354,27.09274472477837,False,False,True,False,False,
2025-02-05 17:00:00+00:00,1.33,1.335,1.315,1.32,999.0,,,,,,,,,1.3400377791270324,"rgba(239, 83, 80, 1.0)",,1.3400377791270324,,0,,,0.0,0.0,0.0,0.0,65.97709786427554,21.61967011555076,False,False,True,False,False,
2025-02-05 18:00:00+00:00,1.32,1.33,1.315,1.325,1000.0,,,,,,,,,1.338502726214544,"rgba(239, 83, 80, 1.0)",,1.338502726214544,,0,,,0.0,0.0,0.0,0.0,62.56545243657688,19.104616974856015,False,False,True,False,False,
2025-02-05 19:00:00+00:00,1.325,1.325,1.315,1.315,1.0,,,,,,,,,1.3385008729210697,"rgba(239, 83, 80, 1.0)",,1.3385008729210697,,0,,,0.0,0.0,0.0,0.0,57.87307019305763,15.19372543784003,False,False,True,False,False,
2025-02-05 20:00:00+00:00,1.32,1.32,1.29,1.305,2303.0,,,,,,,,,1.332649780069771,"rgba(239, 83, 80, 1.0)",,1.332649780069771,,0,,,0.0,0.0,0.0,0.0,52.68077752353461,10.727989877640098,False,False,False,False,False,
