date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_112,aVWAP_BoS_CHoCH_bull_161,aVWAP_BoS_CHoCH_bear_28,aVWAP_BoS_CHoCH_bear_63,aVWAP_BoS_CHoCH_bear_74,aVWAP_BoS_CHoCH_bear_120,aVWAP_BoS_CHoCH_bear_151,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,37.06,37.69,36.28,37.52,2444693,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,34.38,38.12,33.78,37.19,5839404,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-14 00:00:00+00:00,32.33,35.13,31.68,33.76,6030969,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-21 00:00:00+00:00,30.05,32.7,29.63,32.17,5471373,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-28 00:00:00+00:00,29.45,31.14,28.17,29.32,8722199,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-02-04 00:00:00+00:00,31.14,32.85,29.36,29.48,5511827,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,6.083978562763535,-44.2487390148876,False,False,False,True,True,
2022-02-11 00:00:00+00:00,26.9,34.45,26.52,30.24,17475759,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,8.21493476997637,-42.48385765849506,False,False,False,True,True,
2022-02-18 00:00:00+00:00,28.34,30.74,26.98,27.14,9934904,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,12.626440945679413,-38.582963152740206,False,False,False,True,True,
2022-02-25 00:00:00+00:00,26.73,28.14,24.0,27.5,5759062,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,14.946889186379188,-36.76145454596997,False,False,False,True,True,
2022-03-04 00:00:00+00:00,24.09,26.95,23.81,26.54,4992926,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,15.55168031234825,-36.54504572111169,False,False,False,True,True,
2022-03-11 00:00:00+00:00,22.52,24.23,21.68,23.89,5559154,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,15.488115276431518,-36.54504572111169,False,False,False,True,True,
2022-03-18 00:00:00+00:00,26.3,26.52,21.2,22.45,5917126,,,,,,,,,"rgba(239, 83, 80, 0.5)",,24.673333333333332,,0,,,0.0,0.0,0.0,0.0,20.46823117282644,-32.33720622329924,False,False,False,True,True,
