date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bear_17,aVWAP_BoS_CHoCH_bear_51,aVWAP_BoS_CHoCH_bear_70,aVWAP_BoS_CHoCH_bear_100,aVWAP_BoS_CHoCH_bear_121,aVWAP_BoS_CHoCH_bear_151,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,20.97,22.28,19.6,19.6,3637922,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,18.29,20.97,17.9,20.95,7023786,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-14 00:00:00+00:00,19.95,20.74,17.55,18.09,6028799,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,11.39744587357532,-78.49361468393829,False,False,False,True,True,
2022-01-21 00:00:00+00:00,18.0,20.06,17.915,20.06,2445591,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,15.728852639918754,-73.77578390391812,False,False,False,True,True,
2022-01-28 00:00:00+00:00,17.23,18.21,16.53,17.65,3705137,,,,,,,,"rgba(239, 83, 80, 0.5)",,17.32333333333333,,0,,,0.0,0.0,0.0,0.0,17.882628272805686,-70.82667704448599,False,False,False,True,True,
2022-02-04 00:00:00+00:00,18.41,18.54,17.3,17.3,2193749,,,,,,,,"rgba(239, 83, 80, 0.5)",,17.605971316166023,,0,,,0.0,0.0,0.0,0.0,23.12699157113024,-64.65535649813219,False,False,False,True,True,
2022-02-11 00:00:00+00:00,18.61,18.98,18.36,18.43,1678744,,,,,,,,"rgba(239, 83, 80, 0.5)",,17.837264858977456,,0,,,0.0,0.0,0.0,0.0,27.415541608810564,-59.30128570903292,False,False,False,True,True,
2022-02-18 00:00:00+00:00,18.78,18.98,18.0,18.6,2453807,,,,,,,,"rgba(239, 83, 80, 0.5)",,18.02057731974658,,0,,,0.0,0.0,0.0,0.0,30.945546813564484,-54.57483791176753,False,False,False,True,True,
2022-02-25 00:00:00+00:00,18.22,19.0,17.31,18.55,2291310,,,,,,,,"rgba(239, 83, 80, 0.5)",,18.113133736468555,,0,,,0.0,0.0,0.0,0.0,32.49820846764558,-51.63605507066909,False,False,False,True,True,
2022-03-04 00:00:00+00:00,17.14,18.295,17.06,18.22,2816865,,,,,,,,"rgba(239, 83, 80, 0.5)",,17.874818599163795,,0,,,0.0,0.0,0.0,0.0,32.05039084653641,-50.513765816336345,False,False,False,True,True,
2022-03-11 00:00:00+00:00,16.3,17.17,15.8,17.13,3206205,,,,,,,,"rgba(239, 83, 80, 0.5)",,17.475735560663672,,0,,,0.0,0.0,0.0,0.0,30.749863431384227,-50.17448780013706,False,False,False,True,True,
2022-03-18 00:00:00+00:00,17.49,17.755,15.11,16.21,2787501,,,,,,,,"rgba(239, 83, 80, 0.5)",,17.16545451991234,,0,,,0.0,0.0,0.0,0.0,32.80698408518925,-46.49119691071601,False,False,False,True,True,
2022-03-25 00:00:00+00:00,17.25,17.6,16.87,17.43,996362,,,,,,,,"rgba(239, 83, 80, 0.5)",,17.203054182340242,,0,,,0.0,0.0,0.0,0.0,33.94881295399575,-43.708991143467834,False,False,False,True,True,
2022-04-01 00:00:00+00:00,16.65,17.79,16.58,17.16,2214856,,,,,,,,"rgba(239, 83, 80, 0.5)",,17.191453826922558,,0,,,0.0,0.0,0.0,0.0,33.97725339010484,-41.99403929181618,False,False,False,True,True,
2022-04-08 00:00:00+00:00,15.81,17.08,15.38,16.69,2374817,,,,,,,,"rgba(239, 83, 80, 0.5)",,17.019648896281065,,0,,,0.0,0.0,0.0,0.0,33.01550101948193,-41.31135074452773,False,False,False,True,True,
2022-04-15 00:00:00+00:00,14.98,15.87,14.8,15.53,1161800,,,,,,,,"rgba(239, 83, 80, 0.5)",,16.891059639400762,,0,,,0.0,0.0,0.0,0.0,31.484058183273387,-41.287412224252904,False,False,False,True,True,
2022-04-22 00:00:00+00:00,15.09,16.5,14.675,14.95,2599097,,,,,,,,"rgba(239, 83, 80, 0.5)",,16.69837983753833,,0,,,0.0,0.0,0.0,0.0,30.66973248284021,-40.59962828525333,False,False,False,True,True,
2022-04-29 00:00:00+00:00,18.29,18.65,14.66,14.96,6572149,,,,,,,,"rgba(239, 83, 80, 0.5)",,16.938792605931923,,0,,,-1.0,0.0,14.66,26.0,36.13478073532376,-33.95106340438532,False,False,False,True,True,
2022-05-06 00:00:00+00:00,17.6,18.61,17.25,18.17,2261974,,,,,,,,"rgba(239, 83, 80, 0.5)",,17.040511446838046,,0,,,0.0,0.0,0.0,0.0,39.12612913748369,-29.903333134678704,False,False,False,True,True,
2022-05-13 00:00:00+00:00,16.66,17.45,15.72,17.3,2232450,,,,,,,,"rgba(239, 83, 80, 0.5)",,16.98713341649584,,0,,,0.0,0.0,0.0,0.0,40.123273820741005,-27.854592085944052,False,False,False,True,True,
2022-05-20 00:00:00+00:00,19.64,20.64,16.47,16.47,4855508,18.916666666666664,,,,,,18.916666666666664,"rgba(239, 83, 80, 0.5)",,17.723012744855065,,0,,,0.0,0.0,0.0,0.0,44.52802438501233,-22.604693696045775,False,False,False,True,True,
2022-05-27 00:00:00+00:00,19.66,19.86,18.51,19.59,2052639,19.043443447762957,,,,,,19.043443447762957,#000000,,17.868355861673784,,0,,,0.0,0.0,0.0,0.0,47.69481362485727,-18.69632321874269,False,False,False,False,True,
2022-06-03 00:00:00+00:00,19.94,20.059,19.19,19.66,1189572,19.144251085933377,,,,,,19.144251085933377,#000000,,17.96378308399334,,0,,,0.0,0.0,0.0,0.0,50.25710717015636,-15.450270453591997,False,False,False,False,True,
2022-06-10 00:00:00+00:00,18.59,19.99,18.53,19.96,1146889,19.130904128763493,,,,,,19.130904128763493,#000000,,18.00158813689286,,0,,,0.0,0.0,0.0,0.0,50.32286356334677,-14.619179185084242,False,False,False,False,True,
2022-06-17 00:00:00+00:00,16.8,18.31,16.1,18.17,2566588,18.683067025219124,,,,,,18.683067025219124,#000000,,17.85035710602868,,0,,,0.0,0.0,0.0,0.0,48.43582991503462,-14.619179185084242,False,False,False,False,True,
2022-06-24 00:00:00+00:00,15.06,16.92,14.81,16.91,2264087,18.186602483185123,,,,,,18.186602483185123,"rgba(239, 83, 80, 0.5)",,17.623725559573554,,0,,,0.0,0.0,0.0,0.0,45.55745827394293,-14.619179185084242,False,False,False,True,True,
2022-07-01 00:00:00+00:00,13.99,15.49,13.58,15.14,2283437,17.651534421152757,,,,,,17.651534421152757,"rgba(239, 83, 80, 0.5)",,17.342103173531626,,0,,,0.0,0.0,0.0,0.0,42.68274146768327,-14.619179185084242,False,False,False,True,True,
2022-07-08 00:00:00+00:00,15.12,15.95,13.03,13.79,3377879,17.146385274686892,,,,,,17.146385274686892,"rgba(239, 83, 80, 0.5)",,16.483363306347723,,0,,,0.0,0.0,0.0,0.0,42.06570381303901,-14.619179185084242,False,False,False,True,True,
2022-07-15 00:00:00+00:00,15.29,15.72,15.0,15.705,3381736,16.88166073606368,,,,,,16.88166073606368,"rgba(239, 83, 80, 0.5)",,16.422634693566224,,0,,,0.0,0.0,0.0,0.0,41.835790439356764,-14.619179185084242,False,False,False,True,True,
2022-07-22 00:00:00+00:00,16.12,16.9799,15.26,15.34,2759652,16.80043298979425,,,,,,16.80043298979425,"rgba(239, 83, 80, 0.5)",,16.295164278349738,,0,,,0.0,0.0,0.0,0.0,42.69436487278989,-14.619179185084242,False,False,False,True,True,
2022-07-29 00:00:00+00:00,15.26,16.29,15.05,16.29,2065946,16.7067539981195,,,,,,16.7067539981195,"rgba(239, 83, 80, 0.5)",,16.19928158197198,,0,,,0.0,0.0,0.0,0.0,42.49575851897941,-14.619179185084242,False,False,False,True,True,
2022-08-05 00:00:00+00:00,14.48,15.12,14.3009,15.12,2053342,16.5648469171572,,,,,,16.5648469171572,"rgba(239, 83, 80, 0.5)",,16.01612079040507,,0,,,0.0,0.0,0.0,0.0,41.65781050636167,-14.619179185084242,False,False,False,True,False,
2022-08-12 00:00:00+00:00,13.42,14.7623,12.05,14.68,5749499,16.057545719960636,,,,,,16.057545719960636,"rgba(239, 83, 80, 0.5)",,15.412118658391453,,0,,,0.0,0.0,0.0,0.0,40.17889627351491,-14.619179185084242,False,False,False,True,False,
2022-08-19 00:00:00+00:00,12.49,13.58,12.41,13.3,1417718,15.934297018224639,,,,,,15.934297018224639,"rgba(239, 83, 80, 0.5)",,15.279981887376376,,0,,,0.0,0.0,0.0,0.0,38.41146307793787,-14.619179185084242,False,False,False,True,False,
2022-08-26 00:00:00+00:00,12.17,12.65,11.89,12.31,1936190,15.751197528799288,,,,,,15.751197528799288,"rgba(239, 83, 80, 0.5)",,15.080983164238923,,0,,,0.0,0.0,0.0,0.0,36.91074223922358,-14.619179185084242,False,False,False,True,False,
2022-09-02 00:00:00+00:00,11.77,12.35,11.14,12.05,2587710,15.503039404656501,,,,,,15.503039404656501,"rgba(239, 83, 80, 0.5)",,14.816475675499223,,0,,,0.0,0.0,0.0,0.0,35.53741998203833,-14.619179185084242,False,False,False,True,False,
2022-09-09 00:00:00+00:00,11.8,11.86,11.133,11.85,1142460,15.398868417391435,,,,,,15.398868417391435,"rgba(239, 83, 80, 0.5)",,14.708959404027368,,0,,,0.0,0.0,0.0,0.0,34.60593746471931,-7.525816503064803,False,False,False,True,False,
2022-09-16 00:00:00+00:00,11.42,12.15,11.315,12.07,1921043,15.237012477447793,,,,,,15.237012477447793,"rgba(239, 83, 80, 0.5)",,14.547527061829284,,0,,,0.0,0.0,0.0,0.0,33.632149294692,-8.850224032572555,False,False,False,True,False,
2022-09-23 00:00:00+00:00,10.49,11.59,10.17,11.37,2170846,15.029424155004788,,,,,,15.029424155004788,"rgba(239, 83, 80, 0.5)",,14.33277902021939,,0,,,0.0,0.0,0.0,0.0,32.21787536458593,-10.573060720989645,False,False,False,True,False,
2022-09-30 00:00:00+00:00,10.24,10.76,10.11,10.4,1868405,14.85099646674488,,,,,,14.85099646674488,"rgba(239, 83, 80, 0.5)",,14.149628059098491,,0,,,0.0,0.0,0.0,0.0,31.021687710485935,-12.05271684825081,False,False,False,True,False,
2022-10-07 00:00:00+00:00,10.73,11.44,10.23,10.36,2442512,14.657869372794611,,,,,,14.657869372794611,"rgba(239, 83, 80, 0.5)",,13.962906727890985,,0,,,0.0,0.0,0.0,0.0,31.102725998965198,-12.29248975690409,False,False,False,True,False,
2022-10-14 00:00:00+00:00,10.12,10.77,9.795,10.73,2221838,14.473758996289178,,,,,,14.473758996289178,"rgba(239, 83, 80, 0.5)",,13.78192532413968,,0,,,0.0,0.0,0.0,0.0,30.648915747739277,-13.070303086635242,False,False,False,True,False,
2022-10-21 00:00:00+00:00,9.69,10.44,9.59,10.33,2020487,14.307421237482778,,,,,,14.307421237482778,"rgba(239, 83, 80, 0.5)",,13.61858246679251,,0,,,0.0,0.0,0.0,0.0,29.97549853585241,-14.053094857440513,False,False,False,True,False,
2022-10-28 00:00:00+00:00,10.01,10.1,9.48,9.76,1551398,14.186522311994308,,,,,,14.186522311994308,"rgba(239, 83, 80, 0.5)",,13.501457994761314,,0,,,0.0,0.0,0.0,0.0,30.149462826189556,-14.199785019877254,False,False,False,True,False,
2022-11-04 00:00:00+00:00,9.54,10.725,9.0,9.9,3526732,13.928426027990868,,,,,,13.928426027990868,"rgba(239, 83, 80, 0.5)",,13.25463889069151,,0,,,0.0,0.0,0.0,0.0,29.855168631024668,-14.811779069054282,False,False,False,True,False,
2022-11-11 00:00:00+00:00,9.93,10.0,8.9,9.54,3693613,13.680158960662672,,,,,,13.680158960662672,"rgba(239, 83, 80, 0.5)",,11.873585774506928,,0,,,0.0,0.0,0.0,0.0,30.472135138824946,-14.811779069054282,False,False,False,True,False,
