date,Close,High,Low,Open,Volume,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-07-22 00:00:00+00:00,837.15,837.89,833.6,835.27,541950,834.0819279582423,"rgba(38, 166, 154, 0.5)",,833.9628203018495,,0,,,0.0,0.0,0.0,0.0,70.43123160807369,14.925792867610213,False,False,True,False,True,
2022-07-29 00:00:00+00:00,837.48,839.6,836.55,837.5,451662,834.3358512633276,"rgba(38, 166, 154, 0.5)",,834.2246163634811,,0,,,0.0,0.0,0.0,0.0,70.55353206042587,15.460990996833957,False,False,True,False,True,
2022-08-05 00:00:00+00:00,837.2,838.3475,836.88,837.1,317276,834.4705759647472,"rgba(38, 166, 154, 0.5)",,834.3658436070593,,0,,,0.0,0.0,0.0,0.0,70.58992360682387,15.891088118511732,False,False,True,False,True,
2022-08-12 00:00:00+00:00,838.5,838.95,837.0,837.0,267544,834.5939365985172,"rgba(38, 166, 154, 0.5)",,834.4956908739125,,0,,,0.0,0.0,0.0,0.0,70.71952179258946,16.388449039071702,False,False,True,False,True,
2022-08-19 00:00:00+00:00,842.19,843.5,838.32,838.9,187626,834.7441987467681,"rgba(38, 166, 154, 0.5)",,837.5599516168415,,0,,,0.0,0.0,0.0,0.0,71.11199670718638,17.108701837377282,False,False,True,False,True,
2022-08-26 00:00:00+00:00,841.21,841.82,840.8,840.8,179313,834.878077051268,"rgba(38, 166, 154, 0.5)",,837.6605491858882,,0,,,0.0,0.0,0.0,0.0,71.18203658321508,17.48841783224087,False,False,True,False,True,
2022-09-02 00:00:00+00:00,840.02,842.045,840.02,840.9,311191,835.0735292080209,"rgba(38, 166, 154, 0.5)",,837.7445378276677,,0,,,0.0,0.0,0.0,0.0,70.9648047424057,17.55411469660416,False,False,True,False,True,
2022-09-09 00:00:00+00:00,841.01,843.3,839.9,840.33,332098,835.2878908004412,"rgba(38, 166, 154, 0.5)",,837.9451958813326,,0,,,0.0,0.0,0.0,0.0,70.90724507183569,17.76331655341332,False,False,True,False,True,
2022-09-16 00:00:00+00:00,843.0,843.525,841.25,841.57,397551,835.5670959039415,"rgba(38, 166, 154, 0.5)",,838.2699114473023,,0,,,0.0,0.0,0.0,0.0,71.06887198005312,18.16946766758764,False,False,True,False,True,
2022-09-23 00:00:00+00:00,841.98,845.66,841.46,841.52,330960,835.7930091734794,"rgba(38, 166, 154, 0.5)",,839.2649393664655,,0,,,0.0,0.0,0.0,0.0,70.91571397165478,18.240450868173028,False,False,True,False,True,
2022-09-30 00:00:00+00:00,839.37,842.69,839.37,841.26,605516,836.0273421066064,"rgba(38, 166, 154, 0.5)",,840.0572847550276,,0,,,0.0,0.0,0.0,0.0,70.10488762697308,18.240450868173028,False,False,True,False,True,
2022-10-07 00:00:00+00:00,843.1,844.41,840.83,840.99,448540,836.2698400939529,"rgba(38, 166, 154, 0.5)",,840.5608774541658,,0,,,0.0,0.0,0.0,0.0,69.9872193701962,18.240450868173028,False,False,True,False,True,
2022-10-14 00:00:00+00:00,842.19,843.25,841.05,842.21,358234,836.4306936744014,"rgba(38, 166, 154, 0.5)",,840.6949658972082,,0,,,0.0,0.0,0.0,0.0,69.64324336873881,18.240450868173028,False,False,True,False,True,
2022-10-21 00:00:00+00:00,847.79,848.0,847.6,847.74,868558,837.1464791487045,"rgba(38, 166, 154, 0.5)",,842.3674907609552,,0,,,0.0,0.0,0.0,0.0,70.10435550583806,18.240450868173028,False,False,True,False,True,
2022-10-28 00:00:00+00:00,847.79,847.79,847.79,847.79,0,837.1464791487045,"rgba(38, 166, 154, 0.5)",,842.3674907609552,,0,,,0.0,0.0,0.0,0.0,70.43372131805181,18.454363345679255,False,False,True,False,True,
