date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_104,aVWAP_BoS_CHoCH_bear_19,aVWAP_BoS_CHoCH_bear_67,aVWAP_BoS_CHoCH_bear_85,aVWAP_BoS_CHoCH_bear_110,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,15.0,17.8,14.7,17.0,60852,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,15.5,16.4,14.25,15.1,53847,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,13.2,16.8,12.0,16.3,92810,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,76.24784853700517,-56.884681583476734,False,False,True,False,True,
2022-01-21 00:00:00+00:00,14.8,17.4,11.9,13.2,11484613,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,68.36892779210707,-56.884681583476734,False,False,True,False,True,
2022-01-28 00:00:00+00:00,18.3,23.5,12.9,13.0,4083380,,,,,,,"rgba(38, 166, 154, 0.5)",,18.233333333333334,,0,,,0.0,0.0,0.0,0.0,69.67420161965985,-56.884681583476734,False,False,True,False,True,
2022-02-04 00:00:00+00:00,22.6,23.2,16.602,17.9,305048,,,,,,,"rgba(38, 166, 154, 0.5)",,18.41179356981589,,0,,,0.0,0.0,0.0,0.0,73.57253544390053,-54.33216059732477,False,False,True,False,True,
2022-02-11 00:00:00+00:00,22.0,23.3,21.12,22.8,99934,,,,,,,"rgba(38, 166, 154, 0.5)",,18.49480260103798,,0,,,0.0,0.0,0.0,0.0,75.0659302542134,-49.803542423259486,False,False,True,False,True,
2022-02-18 00:00:00+00:00,17.6,22.634,17.5,21.9,57582,,,,,,,"rgba(38, 166, 154, 0.5)",,18.50430088624057,,0,,,0.0,0.0,0.0,0.0,69.40517222663024,-49.803542423259486,False,False,True,False,True,
2022-02-25 00:00:00+00:00,14.5,17.65,13.219,17.2,31772,,,,,,,"rgba(38, 166, 154, 0.5)",,18.480832699975274,,0,,,0.0,0.0,0.0,0.0,62.45625869142257,-49.803542423259486,False,False,True,False,True,
2022-03-04 00:00:00+00:00,12.8,15.399,12.6,14.2,42402,,,,,,,"rgba(38, 166, 154, 0.5)",,18.436034882658845,,0,,,0.0,0.0,0.0,0.0,56.23572562177775,-49.803542423259486,False,False,True,False,True,
2022-03-11 00:00:00+00:00,13.1,14.5,12.1,12.8,76329,,,,,,,#000000,,18.351477981120624,,0,,,0.0,0.0,0.0,0.0,52.09952100982369,-49.803542423259486,False,False,False,False,True,
2022-03-18 00:00:00+00:00,14.6,15.4,11.2,13.1,76282,,,,,,,#000000,,16.005500009533332,,0,,,0.0,0.0,0.0,0.0,50.6172324416888,-49.803542423259486,False,False,False,False,True,
2022-03-25 00:00:00+00:00,13.7,16.5,13.5,14.6,77338,,,,,,,#000000,,16.18567809189956,,0,,,0.0,0.0,0.0,0.0,48.83719372808435,-49.803542423259486,False,False,False,False,True,
2022-04-01 00:00:00+00:00,15.9,17.2,13.6,13.7,114232,,,,,,,#000000,,16.456643134008143,,0,,,0.0,0.0,0.0,0.0,49.528512335241444,-49.803542423259486,False,False,False,False,True,
2022-04-08 00:00:00+00:00,14.9,17.8,13.7,15.6,71524,,,,,,,#000000,,16.163849482575255,,0,,,0.0,0.0,0.0,0.0,49.19128296632405,-49.361532670981894,False,False,False,False,True,
2022-04-15 00:00:00+00:00,14.3,15.4,13.6,14.708,10435,,,,,,,#000000,,16.112757989387507,,0,,,0.0,0.0,0.0,0.0,48.464223251394614,-46.75663054125794,False,False,False,False,True,
2022-04-22 00:00:00+00:00,14.2,15.0,13.6,13.7,11142,,,,,,,#000000,,16.060882554792794,,0,,,0.0,0.0,0.0,0.0,47.86165549374425,-44.13454209533185,False,False,False,False,True,
2022-04-29 00:00:00+00:00,10.4,15.3,8.9,13.7,44098,,,,,,,"rgba(239, 83, 80, 0.5)",,15.527165375954938,,0,,,0.0,0.0,0.0,0.0,44.74616602735983,-44.13454209533185,False,False,False,True,True,
2022-05-06 00:00:00+00:00,9.5,11.6,9.264,11.3,55743,,,,,,,"rgba(239, 83, 80, 0.5)",,14.945624754953819,,0,,,0.0,0.0,0.0,0.0,42.004166622047066,-44.13454209533185,False,False,False,True,True,
2022-05-13 00:00:00+00:00,10.3,10.8,8.553,10.2,45925,,,,,,9.884333333333334,"rgba(239, 83, 80, 0.5)",,13.424864929421283,,0,,,-1.0,0.0,8.553,41.0,40.870569955531465,-42.85896217822339,False,False,False,True,True,
2022-05-20 00:00:00+00:00,10.2,11.4,9.6,9.991,78572,,,,,,10.209778615816713,"rgba(239, 83, 80, 0.5)",,13.252013215781421,,0,,,0.0,0.0,0.0,0.0,39.99643852114898,-41.27111855675859,False,False,False,True,True,
2022-05-27 00:00:00+00:00,12.7,13.8,10.0,10.1,88932,,,,,,11.025178435607783,"rgba(239, 83, 80, 0.5)",,13.416999350790523,,0,,,0.0,0.0,0.0,0.0,41.806685219143716,-37.18636449358505,False,False,False,True,True,
2022-06-03 00:00:00+00:00,12.5,13.5,11.6,13.1,30279,,,,,,11.21255604384482,"rgba(239, 83, 80, 0.5)",,13.461872890562198,,0,,,0.0,0.0,0.0,0.0,42.94604978667385,-33.914872822615315,False,False,False,True,True,
2022-06-10 00:00:00+00:00,12.134,14.1,11.6,12.2,64383,,,,,,11.504864089938796,"rgba(239, 83, 80, 0.5)",,13.532517692188044,,0,,,0.0,0.0,0.0,0.0,43.46870596897013,-31.36868767094728,False,False,False,True,True,
2022-06-17 00:00:00+00:00,11.5,12.5,10.599,11.1,17936,,,,,,11.506411954633613,"rgba(239, 83, 80, 0.5)",,13.515266913305348,,0,,,0.0,0.0,0.0,0.0,43.334602753182544,-29.572776013549284,False,False,False,True,True,
2022-06-24 00:00:00+00:00,13.9,16.0,11.2,12.1,52279,,,,,,11.809549069624412,"rgba(239, 83, 80, 0.5)",,12.671785155128909,,0,,,0.0,0.0,0.0,0.0,45.49573299659657,-25.694237149809066,False,False,False,True,True,
2022-07-01 00:00:00+00:00,14.0,14.6,12.1,14.5,55321,,,,,,12.033717542957426,#000000,,12.750115047043451,,0,,,0.0,0.0,0.0,0.0,47.12565630344319,-22.50746601533079,False,False,False,False,True,
2022-07-08 00:00:00+00:00,12.9,14.2,12.3,13.7,26274,,,,,,12.096538248449122,#000000,,12.750464478779211,,0,,,0.0,0.0,0.0,0.0,47.30143486271192,-20.842571191760744,False,False,False,False,True,
2022-07-15 00:00:00+00:00,13.8,15.2,12.2,12.4,88457,,,,,,12.360573755952618,#000000,,12.893325324342058,,0,,,0.0,0.0,0.0,0.0,48.26195068404829,-18.510978844946877,False,False,False,False,True,
2022-07-22 00:00:00+00:00,14.0,15.6,13.411,14.099,54760,,,,,,12.540023052979128,#000000,,13.021463155267282,,0,,,0.0,0.0,0.0,0.0,49.13325028642355,-16.375520950867255,False,False,False,False,True,
2022-07-29 00:00:00+00:00,14.3,15.2,13.0,13.8,33137,,,,,,12.624740798893525,#000000,,13.076568674492624,,0,,,0.0,0.0,0.0,0.0,50.04329087221025,-14.30505246694694,False,False,False,False,True,
2022-08-05 00:00:00+00:00,15.4,16.2,14.2,14.6,63704,,,,,,12.865185232754108,#000000,,13.27358182921404,,0,,,0.0,0.0,0.0,0.0,51.71696801259475,-11.610259070994346,False,False,False,False,True,
2022-08-12 00:00:00+00:00,14.8,17.1,14.2,15.205,60174,,,,,,13.06320866260685,#000000,,13.433469354785304,,0,,,0.0,0.0,0.0,0.0,52.240592480373024,-10.125240259947283,False,False,False,False,True,
2022-08-19 00:00:00+00:00,15.5,17.3,14.905,16.934,75356,,15.901666666666667,,,,14.610443444098806,#000000,,14.235107679336108,,0,,,0.0,0.0,0.0,0.0,53.277590152054266,-8.215669717803443,False,False,False,False,True,
2022-08-26 00:00:00+00:00,14.2,16.6,13.8,15.9,68424,,15.409116659711596,,,,14.422737393364493,#000000,,14.178085749965668,,0,,,0.0,0.0,0.0,0.0,52.57504612881146,-8.108988327902892,False,False,False,False,True,
