date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_23,aVWAP_BoS_CHoCH_bull_68,aVWAP_BoS_CHoCH_bull_118,aVWAP_BoS_CHoCH_bear_19,aVWAP_BoS_CHoCH_bear_148,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,7.43,7.79,7.29,7.45,420297,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,7.6,8.02,7.34,7.41,474146,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,7.17,7.55,6.94,7.53,297596,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,79.12959068111957,-43.91684193496195,False,False,True,False,True,
2022-01-21 00:00:00+00:00,7.02,7.39,6.79,7.17,476135,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,62.570573831860244,-43.91684193496195,False,False,True,False,True,
2022-01-28 00:00:00+00:00,6.81,7.27,6.62,6.95,452961,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,49.27030012451457,-43.91684193496195,False,False,False,False,True,
2022-02-04 00:00:00+00:00,6.64,6.875,6.5,6.77,340963,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,38.9722824144188,-43.91684193496195,False,False,False,True,True,
2022-02-11 00:00:00+00:00,6.63,6.78,6.58,6.59,266634,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,31.575488534287253,-43.91684193496195,False,False,False,True,False,
2022-02-18 00:00:00+00:00,6.67,7.18,6.6,6.62,255869,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,27.39710941144065,-43.91684193496195,False,False,False,True,False,
2022-02-25 00:00:00+00:00,6.75,6.78,6.37,6.73,206707,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,26.478171112903812,-43.91684193496195,False,False,False,True,False,
2022-03-04 00:00:00+00:00,6.39,7.01,6.27,6.7,326753,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,23.779294117112435,-43.91684193496195,False,False,False,True,False,
