date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_564,aVWAP_BoS_CHoCH_bull_678,aVWAP_BoS_CHoCH_bull_793,aVWAP_BoS_CHoCH_bear_240,aVWAP_BoS_CHoCH_bear_538,aVWAP_BoS_CHoCH_bear_696,aVWAP_BoS_CHoCH_bear_731,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-02-10 15:00:00+00:00,17.44,17.44,17.06,17.29,106.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2025-02-10 16:00:00+00:00,17.29,17.485,17.29,17.485,100.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2025-02-10 17:00:00+00:00,17.485,17.57,17.485,17.57,8.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2025-02-10 18:00:00+00:00,17.57,17.57,17.3,17.3,69.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,81.98665678280213,33.78799110452192,False,False,True,False,False,
2025-02-10 19:00:00+00:00,17.3,17.5,17.3,17.5,700.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,75.57096652033476,29.094670461333166,False,False,True,False,False,
2025-02-10 20:00:00+00:00,17.5,17.5,17.05,17.05,281.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,62.090410285720644,17.923538248878828,False,False,True,False,False,
2025-02-11 15:00:00+00:00,17.05,17.05,16.57,16.605,110.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,49.254692488232564,7.616098486795494,False,False,False,True,False,
2025-02-11 16:00:00+00:00,16.605,16.605,16.51,16.51,43.0,,,,,,,,,"rgba(239, 83, 80, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,40.12241699465362,0.6806922452909561,False,False,False,True,False,
2025-02-11 17:00:00+00:00,16.51,16.61,16.51,16.61,1.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,36.11101778024742,-1.945901736372484,False,False,False,True,False,
2025-02-11 18:00:00+00:00,16.61,16.61,16.61,16.61,0.0,,,,,,,,,"rgba(38, 166, 154, 1.0)",,,,0,,,0.0,0.0,0.0,0.0,33.43675163730995,-3.9441891353960514,False,False,False,True,False,
