date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_56,aVWAP_BoS_CHoCH_bull_83,aVWAP_BoS_CHoCH_bull_113,aVWAP_BoS_CHoCH_bear_28,aVWAP_BoS_CHoCH_bear_41,aVWAP_BoS_CHoCH_bear_127,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,11.5400894164,11.5594845247,10.696402207,11.5303918623,111952,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,11.7339783965,11.8990103854,11.4916016458,11.6467625119,29172,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,11.5784656159,11.8504429961,11.5493251823,11.6853138724,81005,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,86.79482469777427,-9.423288860015766,False,False,True,False,True,
2022-01-21 00:00:00+00:00,11.3647691028,11.8018756068,11.3356286692,11.6076060495,237004,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,71.1403432507237,-9.423288860015766,False,False,True,False,True,
2022-01-28 00:00:00+00:00,11.1704995455,11.6561734388,10.4517021835,11.3162017135,176599,,,,,,,,"rgba(38, 166, 154, 0.5)",,11.092791722600001,,0,,,0.0,0.0,0.0,0.0,57.37217367710213,-9.423288860015766,False,False,True,False,False,
2022-02-04 00:00:00+00:00,10.990800205,11.5200876139,10.9276625989,11.1025052005,40213,,,,,,,,#000000,,11.102694506775922,,0,,,0.0,0.0,0.0,0.0,46.10198144093328,-9.423288860015766,False,False,False,False,False,
2022-02-11 00:00:00+00:00,11.2384938906,11.3744825807,10.9277597336,10.9277597336,18050,,,,,,,,"rgba(239, 83, 80, 0.5)",,11.108654575463817,,0,,,0.0,0.0,0.0,0.0,43.78156535607539,-9.423288860015766,False,False,False,True,False,
2022-02-18 00:00:00+00:00,11.3113449746,11.3162017135,10.9276625989,11.1704995455,31302,,,,,,,,"rgba(239, 83, 80, 0.5)",,11.11764132115215,,0,,,0.0,0.0,0.0,0.0,43.39098286359913,-9.423288860015766,False,False,False,True,False,
2022-02-25 00:00:00+00:00,10.9762299882,11.3647691028,10.5735091959,11.2070222223,49484,,,,,,,,"rgba(239, 83, 80, 0.5)",,11.094731242690575,,0,,,0.0,0.0,0.0,0.0,39.95450165821288,33.26364478306205,False,False,False,True,False,
2022-03-04 00:00:00+00:00,10.8013873866,11.4521904036,10.6945391301,11.0830782447,134637,,,,,,,,"rgba(239, 83, 80, 0.5)",,11.061235143429023,,0,,,0.0,0.0,0.0,0.0,36.360635398913246,28.11888468351097,False,False,False,True,False,
2022-03-11 00:00:00+00:00,10.5196965285,10.8305278202,10.3739943605,10.8305278202,56067,,,,,,,,"rgba(239, 83, 80, 0.5)",,11.007366792300962,,0,,,0.0,0.0,0.0,0.0,32.38597240811818,22.52171033351064,False,False,False,True,False,
2022-03-18 00:00:00+00:00,11.1122186783,11.1122186783,10.3545674048,10.5294100064,71067,,,,,,,,"rgba(239, 83, 80, 0.5)",,10.924428376316786,,0,,,0.0,0.0,0.0,0.0,35.94043781552237,22.52171033351064,False,False,False,True,False,
2022-03-25 00:00:00+00:00,10.626544785,11.1219321562,10.412848272,10.9568030325,19261,,,,,,,,"rgba(239, 83, 80, 0.5)",,10.905246852514477,,0,,,0.0,0.0,0.0,0.0,35.88993955727039,22.470118360437112,False,False,False,True,False,
2022-04-01 00:00:00+00:00,11.5784656159,11.6561734388,10.4225617499,10.6653986965,402183,,,,,,,,"rgba(239, 83, 80, 0.5)",,11.147779648793444,,0,,,0.0,0.0,0.0,0.0,41.323767433553286,22.470118360437112,False,False,False,True,False,
2022-04-08 00:00:00+00:00,11.3647691028,11.6464599609,11.1612151905,11.6464599609,5655,,,,,,,,"rgba(239, 83, 80, 0.5)",,11.15008304205457,,0,,,0.0,0.0,0.0,0.0,44.155700367169686,22.470118360437112,False,False,False,True,False,
2022-04-15 00:00:00+00:00,10.8077202748,11.3842293239,10.5863602602,11.1896271132,15056,,,,,,,,"rgba(239, 83, 80, 0.5)",,11.14363473197484,,0,,,0.0,0.0,0.0,0.0,43.87421673991744,22.470118360437112,False,False,False,True,False,
2022-04-22 00:00:00+00:00,10.5377097075,10.8490732446,10.5377097075,10.8489759435,10160,,,,,,,,"rgba(239, 83, 80, 0.5)",,11.134501378323419,,0,,,0.0,0.0,0.0,0.0,42.741024644829295,22.287620298881947,False,False,False,True,False,
2022-04-29 00:00:00+00:00,9.944172965,10.7031215866,9.7690309754,10.5377097075,83235,,,,,,,,"rgba(239, 83, 80, 0.5)",,11.00881823472132,,0,,,0.0,0.0,0.0,0.0,40.208779714059254,18.045775271151584,False,False,False,True,False,
2022-05-06 00:00:00+00:00,9.3506362224,9.8274116386,9.3506362224,9.7301105332,71164,,,,,,,,"rgba(239, 83, 80, 0.5)",,10.865573498405915,,0,,,0.0,0.0,0.0,0.0,37.05138317697878,13.317183227377882,False,False,False,True,False,
2022-05-13 00:00:00+00:00,8.1635627374,9.3019856698,7.8055919709,9.3019856698,129756,,,,,,,,"rgba(239, 83, 80, 0.5)",,9.98712397998855,,0,,,0.0,0.0,0.0,0.0,32.88067719968416,7.761213047617069,False,False,False,True,False,
2022-05-20 00:00:00+00:00,8.5722273798,8.6792585957,8.0857218531,8.0857218531,10204,,,,,,,,"rgba(239, 83, 80, 0.5)",,9.970113056530456,,0,,,0.0,0.0,0.0,0.0,31.633684927998004,5.133064388151624,False,False,False,True,False,
2022-05-27 00:00:00+00:00,8.8835909168,8.922511359,8.4651961639,8.922511359,21924,,,,,,,,"rgba(239, 83, 80, 0.5)",,9.950879813973033,,0,,,0.0,0.0,0.0,0.0,31.968193786256393,4.061241036137602,False,False,False,True,False,
2022-06-03 00:00:00+00:00,8.2705939533,8.94197158,8.2705939533,8.9127812484,36188,,,,,,,,"rgba(239, 83, 80, 0.5)",,9.89741159838511,,0,,,0.0,0.0,0.0,0.0,31.154328821663093,1.869957350026283,False,False,False,True,False,
2022-06-10 00:00:00+00:00,7.8911196425,8.2705939533,7.7840884266,8.2705939533,64712,,,,,,,,"rgba(239, 83, 80, 0.5)",,9.755164526488512,,0,,,0.0,0.0,0.0,0.0,29.996124943348548,-0.6031751581108438,False,False,False,True,False,
