date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_102,aVWAP_BoS_CHoCH_bull_135,aVWAP_BoS_CHoCH_bull_198,aVWAP_BoS_CHoCH_bull_268,aVWAP_BoS_CHoCH_bull_372,aVWAP_BoS_CHoCH_bull_416,aVWAP_BoS_CHoCH_bull_509,aVWAP_BoS_CHoCH_bull_615,aVWAP_BoS_CHoCH_bear_147,aVWAP_BoS_CHoCH_bear_354,aVWAP_BoS_CHoCH_bear_529,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-12-01 00:00:00+00:00,29.082433317,33.1721505022,29.082433317,29.5822876397,4000,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-12-02 00:00:00+00:00,30.0003476186,30.9000853993,28.1736072759,29.9549063165,42200,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-12-05 00:00:00+00:00,29.9367297957,30.9000853993,29.6277289417,29.6277289417,39700,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,97.63876111564156,40.55504446256623,False,False,True,False,True,
2022-12-06 00:00:00+00:00,29.082433317,29.5368463376,28.5189611715,29.5368463376,9800,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,80.22767494625647,38.56554553975069,False,False,True,False,False,
2022-12-07 00:00:00+00:00,30.0003476186,31.1182036492,28.9188446296,29.082433317,10300,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,75.47541564646089,34.84864056818745,False,False,True,False,False,
2022-12-08 00:00:00+00:00,29.082433317,32.835884867,28.9551976713,30.8909971389,15200,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,65.86479157898276,26.497530542001456,False,False,True,False,False,
2022-12-09 00:00:00+00:00,29.082433317,29.9549063165,29.0733450566,29.9549063165,31000,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,59.45770886733068,21.203680058244956,False,False,True,False,False,
2022-12-12 00:00:00+00:00,29.4459637335,29.9821710978,27.6192233908,29.2096689628,3548817,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,57.37587284474963,19.742131329392194,False,False,True,False,False,
2022-12-13 00:00:00+00:00,27.955489026,30.5729080245,27.8100768594,30.3366132538,3388922,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,49.655646576864825,12.752505135457909,False,False,False,False,False,
2022-12-14 00:00:00+00:00,26.8103682141,28.26448988,26.4468377977,28.1736072759,3393125,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,41.86534919584572,5.754958738695123,False,False,False,True,False,
2022-12-15 00:00:00+00:00,25.8833656521,27.0648395057,25.8833656521,26.4286612768,3034947,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,35.17284578715601,-0.21513702306048543,False,False,False,True,False,
2022-12-16 00:00:00+00:00,24.6382739758,25.8742773917,24.3201848614,25.6925121835,4467275,,,,,,,,,,,,24.944245409633336,#000000,,24.944245409633336,,0,,,0.0,0.0,0.0,0.0,29.245811997699803,-5.552468719407308,False,False,False,True,False,
2022-12-19 00:00:00+00:00,25.4562174128,25.8651891313,24.6291857154,24.6473622362,4974336,,,,,,,,,,,,25.140560476904188,#000000,,25.140560476904188,,0,,,0.0,0.0,0.0,0.0,28.798419893004706,-5.975332786354436,False,False,False,True,False,
2022-12-20 00:00:00+00:00,26.6831325684,26.7013090892,25.6288943606,25.9742482563,3326943,,,,,,,,,,,,25.45250470301518,#000000,,25.45250470301518,,0,,,0.0,0.0,0.0,0.0,32.6704039521713,-5.975332786354436,False,False,False,True,False,
2022-12-21 00:00:00+00:00,25.6288943606,26.9012508182,25.6107178398,26.7013090892,3028338,,,,,,,,,,,,25.566463475624005,#000000,,25.566463475624005,,0,,,0.0,0.0,0.0,0.0,33.35352644750672,-5.975332786354436,False,False,False,True,False,
2022-12-22 00:00:00+00:00,25.4925704545,25.8470126105,25.0018043922,25.8106595689,2692211,,,,,,,,,,,,25.549087122771127,#000000,,25.549087122771127,,0,,,0.0,0.0,0.0,0.0,33.58154132013326,-5.975332786354436,False,False,False,True,False,
2022-12-23 00:00:00+00:00,25.483482194,25.8288360897,25.2653639442,25.6470708814,1478067,,,,,,,,,,,,25.547370260686456,#000000,,25.547370260686456,,0,,,0.0,0.0,0.0,0.0,33.71722641138183,-5.975332786354436,False,False,False,True,False,
2022-12-27 00:00:00+00:00,26.3014256311,27.1466338494,25.4471291524,25.592541319,979950,,,,,,,,,,,,25.582504822381672,#000000,,25.582504822381672,,0,,,0.0,0.0,0.0,0.0,36.551207999440436,-5.975332786354436,False,False,False,True,True,
2022-12-28 00:00:00+00:00,25.5743647982,26.365043454,25.3471582879,26.2741608498,1951090,,,,,,,,,,,,25.597815176466437,#000000,,25.597815176466437,,0,,,0.0,0.0,0.0,0.0,36.91127206693044,-5.975332786354436,False,False,False,True,True,
2022-12-29 00:00:00+00:00,26.6104264851,27.0830160265,25.3380700275,25.6107178398,1114691,,,,,,,,,,,,25.63244591035278,#000000,,25.63244591035278,,0,,,0.0,0.0,0.0,0.0,40.177076681265866,-5.975332786354436,False,False,False,True,True,
2022-12-30 00:00:00+00:00,26.0560426,26.3832199748,25.5471000169,26.365043454,850717,,,,,,,,,,,,25.644866360216117,#000000,,25.644866360216117,,0,,,0.0,0.0,0.0,0.0,41.125743718586804,-5.975332786354436,False,False,False,True,True,
2023-01-03 00:00:00+00:00,25.8651891313,26.7376621308,25.6834239231,26.3559551936,1111667,,,,,,,,,,,,25.66414896828142,#000000,,25.66414896828142,,0,,,0.0,0.0,0.0,0.0,41.34209880195942,-5.975332786354436,False,False,False,True,True,
2023-01-04 00:00:00+00:00,26.9648686411,27.0739277661,26.0651308604,26.1469252041,1123953,,,,,,,,,,,,25.70716564754697,#000000,,25.70716564754697,,0,,,0.0,0.0,0.0,0.0,44.50102504156973,-14.632859938591537,False,False,False,True,True,
